date,open,high,low,close,volume,trade
01/03/2018,24.5,25.5,24.5,25.4,73478.0,33.0
01/04/2018,25.5,25.5,25.0,25.0,1740.0,7.0
01/07/2018,25.0,25.3,24.8,25.0,10000.0,21.0
01/08/2018,24.9,25.4,24.9,25.2,5588.0,7.0
01/09/2018,25.8,25.8,24.8,24.8,41691.0,26.0
01/10/2018,24.8,25.5,24.7,25.0,11586.0,11.0
01/11/2018,24.7,24.7,24.7,24.7,5.0,1.0
01/14/2018,24.8,24.8,24.8,24.8,5.0,1.0
01/15/2018,25.8,25.8,24.6,25.1,19695.0,25.0
01/16/2018,25.8,25.8,24.6,25.1,19695.0,0.0
01/17/2018,25.0,25.0,24.6,25.0,7275.0,4.0
01/18/2018,25.0,25.0,24.6,25.0,7275.0,0.0
01/21/2018,24.9,25.3,24.4,25.0,13407.0,25.0
01/22/2018,25.0,26.9,25.0,26.9,215404.0,193.0
01/23/2018,26.7,27.5,26.7,26.9,254410.0,98.0
01/24/2018,27.0,27.8,26.2,26.5,427317.0,144.0
01/25/2018,27.0,27.0,25.3,25.3,6917.0,24.0
01/28/2018,27.0,27.0,25.3,25.3,6917.0,0.0
01/29/2018,25.5,26.8,25.5,26.3,28372.0,20.0
01/30/2018,26.9,27.7,26.5,27.6,352275.0,303.0
01/31/2018,27.6,27.9,27.2,27.7,101572.0,76.0
02/01/2018,27.0,28.6,26.8,28.1,137027.0,109.0
02/04/2018,27.3,27.5,26.7,26.8,19578.0,31.0
02/05/2018,26.8,27.3,26.6,27.0,50231.0,44.0
02/06/2018,26.8,27.0,26.7,26.9,50284.0,44.0
02/07/2018,26.3,26.9,26.2,26.6,13435.0,12.0
02/08/2018,26.4,26.4,26.4,26.4,100.0,1.0
02/11/2018,27.3,27.8,27.3,27.5,19561.0,45.0
02/12/2018,27.1,27.7,26.9,27.0,46889.0,36.0
02/13/2018,27.8,27.8,26.6,27.1,52105.0,20.0
02/14/2018,27.1,27.3,25.5,26.9,6599.0,9.0
02/15/2018,27.2,27.2,27.0,27.2,12050.0,11.0
02/18/2018,27.3,27.3,26.1,26.7,59120.0,30.0
02/19/2018,27.2,27.2,25.9,25.9,41397.0,31.0
02/20/2018,25.8,27.4,25.8,27.1,25115.0,13.0
02/22/2018,27.1,27.1,26.9,27.0,12081.0,9.0
02/25/2018,26.5,26.9,26.1,26.5,21738.0,25.0
02/26/2018,25.7,25.7,25.6,25.6,108183.0,124.0
02/27/2018,26.0,26.4,25.1,26.0,18740.0,18.0
02/28/2018,26.0,26.4,25.2,25.9,7177.0,16.0
03/01/2018,26.0,26.0,25.7,26.0,6573.0,11.0
03/04/2018,25.0,27.0,25.0,25.4,1584.0,5.0
03/05/2018,26.0,26.0,26.0,26.0,20.0,1.0
03/06/2018,26.2,26.5,25.3,25.8,12431.0,10.0
03/07/2018,26.2,26.5,25.3,25.8,12431.0,0.0
03/08/2018,26.0,27.1,26.0,26.8,14763.0,30.0
03/11/2018,26.0,27.1,26.0,26.8,14763.0,0.0
03/12/2018,26.5,26.5,26.5,26.5,1310.0,5.0
03/13/2018,25.4,25.4,25.4,25.4,300.0,3.0
03/14/2018,25.4,25.4,25.4,25.4,300.0,0.0
03/15/2018,26.2,26.2,26.2,26.2,10.0,1.0
03/18/2018,26.2,26.2,26.2,26.2,10.0,0.0
03/19/2018,25.1,25.8,25.1,25.6,9384.0,5.0
03/20/2018,26.0,26.0,26.0,26.0,1500.0,3.0
03/21/2018,26.0,26.0,26.0,26.0,1500.0,0.0
03/22/2018,25.9,26.5,24.5,25.8,15086.0,15.0
03/25/2018,25.0,25.0,25.0,25.0,4163.0,7.0
03/27/2018,25.0,25.0,24.6,24.6,5143.0,5.0
03/28/2018,24.0,27.0,24.0,24.8,30770.0,28.0
03/29/2018,26.5,27.0,24.6,26.9,55086.0,52.0
04/01/2018,25.4,26.8,25.2,26.0,8651.0,9.0
04/02/2018,26.0,26.0,26.0,26.0,10000.0,19.0
04/03/2018,25.9,25.9,24.0,24.2,59394.0,57.0
04/04/2018,25.7,25.8,25.2,25.8,2249.0,5.0
04/05/2018,24.8,26.0,24.8,25.6,34086.0,63.0
04/08/2018,26.3,26.3,25.1,25.2,4139.0,13.0
04/09/2018,25.2,26.0,25.1,25.5,8401.0,13.0
04/10/2018,25.9,26.0,25.6,25.9,27400.0,26.0
04/11/2018,26.0,26.4,26.0,26.3,60165.0,87.0
04/12/2018,26.3,26.6,26.2,26.6,70149.0,96.0
04/15/2018,26.3,26.5,26.3,26.4,35600.0,13.0
04/16/2018,26.4,26.5,26.3,26.4,50939.0,44.0
04/17/2018,26.4,26.7,26.3,26.5,218184.0,61.0
04/18/2018,26.9,27.2,26.7,26.9,231614.0,77.0
04/19/2018,27.3,27.4,26.3,27.0,35596.0,33.0
04/22/2018,27.1,27.1,26.7,26.8,24679.0,54.0
04/23/2018,27.1,27.1,26.7,26.8,24679.0,0.0
04/24/2018,26.8,26.8,23.2,23.8,5045.0,39.0
04/25/2018,24.1,24.1,24.0,24.0,490.0,6.0
04/26/2018,25.5,25.7,24.2,25.7,21860.0,14.0
04/30/2018,24.1,24.1,24.0,24.0,1200.0,2.0
05/03/2018,23.3,26.4,23.3,26.3,19295.0,19.0
05/06/2018,24.1,25.5,24.1,24.2,88.0,3.0
05/07/2018,23.9,25.4,23.9,24.0,129.0,4.0
05/08/2018,23.4,24.0,23.3,23.7,11645.0,19.0
05/09/2018,23.5,24.0,23.5,24.0,2427.0,8.0
05/10/2018,23.3,24.5,23.3,24.0,986.0,5.0
05/13/2018,24.0,24.0,24.0,24.0,1100.0,2.0
05/14/2018,23.8,24.7,23.0,23.8,25117.0,49.0
05/15/2018,23.8,24.7,23.0,23.8,25117.0,0.0
05/16/2018,22.9,23.5,22.9,23.1,4609.0,13.0
05/17/2018,23.0,23.2,22.7,22.7,3557.0,9.0
05/20/2018,22.6,22.6,22.1,22.4,1354.0,6.0
05/21/2018,23.0,23.0,23.0,23.0,15000.0,11.0
05/22/2018,23.0,23.0,23.0,23.0,15000.0,0.0
05/23/2018,22.2,22.2,22.2,22.2,8.0,1.0
05/24/2018,23.9,24.0,22.6,24.0,1767.0,3.0
05/27/2018,24.4,24.8,23.3,24.7,17624.0,12.0
05/28/2018,23.1,23.1,23.0,23.1,955.0,4.0
05/29/2018,22.3,23.9,22.1,23.2,1720.0,6.0
05/30/2018,22.7,22.7,22.7,22.7,52.0,1.0
05/31/2018,21.8,22.3,21.8,22.2,1302.0,11.0
06/03/2018,22.0,22.5,21.7,22.0,698.0,11.0
06/04/2018,21.7,22.0,21.6,21.7,1962.0,5.0
06/05/2018,21.7,22.0,21.6,21.7,1962.0,0.0
06/06/2018,22.0,22.5,21.7,22.4,6992.0,13.0
06/07/2018,22.1,22.5,22.1,22.5,295.0,3.0
06/10/2018,22.0,22.0,22.0,22.0,433.0,1.0
06/11/2018,22.2,22.2,22.2,22.2,3.0,1.0
06/12/2018,22.0,22.4,22.0,22.1,2396.0,7.0
06/18/2018,21.2,21.2,21.2,21.2,42.0,1.0
06/19/2018,21.7,21.7,21.5,21.5,3129.0,5.0
06/20/2018,21.7,21.7,21.6,21.6,450.0,2.0
06/21/2018,22.2,22.3,21.8,22.1,1745.0,5.0
06/24/2018,22.0,22.2,22.0,22.0,2621.0,5.0
06/25/2018,22.0,22.0,22.0,22.0,247.0,5.0
06/26/2018,21.7,22.3,21.6,21.9,4601.0,14.0
06/27/2018,21.5,23.9,20.7,22.5,5966.0,20.0
06/28/2018,22.0,22.7,22.0,22.4,2500.0,16.0
07/02/2018,22.4,24.4,22.0,23.8,4335.0,6.0
07/03/2018,22.1,22.1,22.0,22.1,685.0,4.0
07/04/2018,22.5,23.0,22.0,22.3,25557.0,27.0
07/05/2018,22.1,24.5,22.0,23.4,5622.0,12.0
07/08/2018,22.5,22.5,22.4,22.5,2320.0,5.0
07/09/2018,22.4,22.4,22.3,22.4,2065.0,8.0
07/10/2018,22.9,24.4,22.9,23.8,5146.0,9.0
07/11/2018,23.1,23.2,23.0,23.1,2316.0,6.0
07/12/2018,22.6,23.8,22.6,23.3,4614.0,5.0
07/15/2018,23.2,23.4,23.2,23.3,969.0,6.0
07/16/2018,23.2,23.3,23.2,23.2,3906.0,7.0
07/17/2018,22.0,22.7,22.0,22.5,1310.0,3.0
07/18/2018,22.8,23.9,22.3,23.5,4610.0,12.0
07/19/2018,23.0,23.8,22.8,23.6,1272.0,6.0
07/22/2018,23.9,24.0,23.6,23.8,2694.0,4.0
07/23/2018,23.0,23.9,22.5,23.3,1019.0,7.0
07/24/2018,22.3,23.0,22.4,22.7,4700.0,10.0
07/25/2018,22.3,22.5,22.3,22.5,133.0,3.0
07/26/2018,22.5,22.5,22.0,22.4,4995.0,12.0
07/29/2018,22.0,22.2,22.0,22.2,1394.0,5.0
07/30/2018,22.5,23.4,22.5,22.8,5275.0,
07/31/2018,23.2,24.0,22.7,23.7,9552.0,16.0
08/01/2018,23.2,24.0,22.7,23.7,9552.0,0.0
08/02/2018,24.0,24.4,23.0,24.1,9745.0,8.0
08/05/2018,23.1,24.3,23.1,23.9,2991.0,9.0
08/06/2018,24.0,24.0,24.0,24.0,111.0,1.0
08/07/2018,24.0,24.1,23.2,24.0,2916.0,6.0
08/08/2018,23.6,24.2,23.6,24.2,1050.0,2.0
08/09/2018,23.3,24.3,23.3,24.1,2633.0,8.0
08/12/2018,24.0,24.0,23.1,23.2,2463.0,6.0
08/13/2018,23.2,23.2,23.2,23.2,156.0,1.0
08/14/2018,23.0,24.2,23.0,24.2,1018.0,6.0
08/16/2018,24.8,24.9,24.0,24.3,4744.0,12.0
08/19/2018,24.2,24.8,24.1,24.5,7104.0,15.0
08/20/2018,25.0,25.0,24.0,24.2,5031.0,12.0
08/26/2018,25.0,25.0,24.2,24.5,4189.0,19.0
08/27/2018,24.0,25.0,23.2,24.9,27391.0,14.0
08/28/2018,24.0,25.0,23.2,24.9,27391.0,0.0
08/29/2018,25.9,25.9,24.0,24.1,9044.0,21.0
08/30/2018,24.0,24.1,24.0,24.0,33261.0,7.0
09/03/2018,24.3,24.5,24.0,24.2,13319.0,12.0
09/04/2018,23.7,24.0,23.7,24.0,2879.0,3.0
09/05/2018,24.3,24.3,24.3,24.3,45000.0,10.0
09/06/2018,23.5,23.6,23.1,23.5,3411.0,6.0
09/09/2018,23.5,23.5,23.0,23.2,1513.0,6.0
09/10/2018,23.1,23.1,23.0,23.0,378.0,4.0
09/11/2018,22.5,25.0,22.5,24.9,91294.0,51.0
09/12/2018,23.5,25.5,23.5,25.4,7472.0,20.0
09/13/2018,24.0,24.2,24.0,24.2,606.0,3.0
09/16/2018,24.0,24.2,23.0,23.4,24711.0,36.0
09/17/2018,23.2,25.0,23.1,23.7,1781.0,10.0
09/18/2018,24.8,25.4,24.8,25.2,30414.0,18.0
09/19/2018,25.2,25.2,23.8,24.2,5632.0,10.0
09/20/2018,23.7,23.7,23.6,23.7,333.0,4.0
09/23/2018,23.7,23.7,23.6,23.7,333.0,0.0
09/24/2018,23.7,25.5,23.3,23.3,7631.0,15.0
09/25/2018,25.0,26.0,24.2,24.7,51686.0,52.0
09/26/2018,25.8,26.0,24.7,25.7,11752.0,22.0
09/27/2018,25.0,26.0,25.0,26.0,57100.0,14.0
09/30/2018,26.0,26.0,24.5,25.6,3623.0,12.0
10/01/2018,25.1,25.2,24.6,24.7,25172.0,12.0
10/02/2018,24.4,24.8,24.1,24.3,17149.0,40.0
10/03/2018,25.0,25.5,24.4,24.9,6903.0,31.0
10/04/2018,25.3,25.3,25.3,25.3,500.0,1.0
10/07/2018,25.0,25.9,24.5,24.7,40008.0,0.0
10/08/2018,24.9,25.4,24.9,25.0,20331.0,
10/09/2018,26.0,26.0,25.0,26.0,58102.0,
