date,open,high,low,close,volume,trade
06/13/2021,13.2,13.2,13.2,13.2,1.0,1.0
06/14/2021,14.5,14.5,14.5,14.5,1.0,1.0
06/15/2021,15.9,15.9,15.9,15.9,46.0,2.0
06/16/2021,17.4,17.4,17.4,17.4,1.0,1.0
06/17/2021,19.1,19.1,19.1,19.1,50.0,1.0
06/20/2021,21.0,21.0,21.0,21.0,100.0,2.0
06/21/2021,23.1,23.1,23.1,23.1,476.0,6.0
06/22/2021,25.4,25.4,25.4,25.4,309.0,2.0
06/23/2021,27.9,27.9,27.9,27.9,100.0,1.0
06/24/2021,30.6,30.6,30.6,30.6,600.0,2.0
06/27/2021,33.6,33.6,33.6,33.6,90.0,1.0
06/28/2021,36.9,36.9,36.9,36.9,45.0,2.0
06/29/2021,40.5,40.5,40.5,40.5,1182.0,5.0
06/30/2021,44.5,44.5,44.5,44.5,1146.0,9.0
07/05/2021,48.9,48.9,48.9,48.9,1788.0,8.0
07/06/2021,53.7,53.7,53.7,53.7,7411.0,14.0
07/07/2021,59.0,59.0,59.0,59.0,9334.0,15.0
07/08/2021,64.9,64.9,64.9,64.9,10288.0,17.0
07/12/2021,71.3,71.3,71.3,71.3,50542.0,29.0
07/13/2021,78.4,78.4,78.4,78.4,8405.0,12.0
07/14/2021,86.2,86.2,86.2,86.2,9990.0,20.0
07/15/2021,94.7,94.7,86.0,90.3,117494.0,334.0
07/18/2021,89.9,89.9,81.3,81.3,6790.0,56.0
07/19/2021,74.0,87.9,73.2,87.0,44844.0,160.0
07/25/2021,92.0,92.5,86.8,87.7,27766.0,88.0
07/26/2021,88.2,89.8,85.7,86.4,10543.0,56.0
07/27/2021,80.6,82.9,78.0,80.0,10952.0,74.0
07/28/2021,80.2,80.2,76.4,77.4,5281.0,42.0
07/29/2021,78.3,78.3,70.2,76.5,8348.0,51.0
08/02/2021,84.0,84.0,77.0,78.2,3094.0,32.0
08/03/2021,80.0,83.9,80.0,80.4,9199.0,57.0
08/05/2021,80.5,82.6,79.0,79.2,23564.0,101.0
08/09/2021,79.2,80.0,76.2,77.9,9493.0,60.0
08/10/2021,77.1,77.1,75.0,75.9,17616.0,71.0
08/11/2021,75.0,83.4,75.0,83.1,22813.0,98.0
08/12/2021,84.0,85.0,77.0,82.5,6635.0,41.0
08/16/2021,83.5,83.5,78.6,80.7,487.0,7.0
08/17/2021,82.0,85.0,79.0,82.2,3690.0,18.0
08/18/2021,83.9,84.0,80.0,80.0,5845.0,53.0
08/19/2021,83.5,83.5,80.0,80.4,5704.0,42.0
08/22/2021,85.0,85.0,78.0,82.2,19786.0,70.0
08/23/2021,80.0,83.9,80.0,82.9,10724.0,63.0
08/24/2021,81.7,83.0,81.7,82.3,17126.0,95.0
08/25/2021,84.9,90.0,84.9,87.2,48822.0,233.0
08/26/2021,88.0,94.8,88.0,90.0,32017.0,180.0
08/29/2021,91.0,95.0,90.8,94.5,37835.0,135.0
08/31/2021,98.0,103.9,98.0,103.9,63136.0,157.0
09/01/2021,113.5,114.2,113.5,114.2,37965.0,77.0
09/02/2021,125.6,125.6,120.2,125.6,67830.0,277.0
09/05/2021,137.9,138.1,129.0,138.1,45976.0,111.0
09/06/2021,150.9,151.9,145.5,151.9,34758.0,162.0
09/07/2021,167.0,167.0,167.0,167.0,7329.0,43.0
09/08/2021,183.7,183.7,183.7,183.7,33022.0,67.0
