date,open,high,low,close,volume,trade
07/14/2024,26.4,26.4,26.0,26.4,,19.0
07/15/2024,29.0,29.0,29.0,29.0,630.0,9.0
07/16/2024,31.9,31.9,32.0,31.9,,13.0
07/18/2024,35.0,35.0,35.0,35.0,,19.0
07/24/2024,38.5,38.5,39.0,38.5,,19.0
07/25/2024,42.3,42.3,42.0,42.3,,47.0
07/28/2024,46.5,46.5,47.0,46.5,,
07/29/2024,51.1,51.1,51.0,51.1,,1479.0
07/30/2024,56.2,56.2,52.0,56.2,,41139.0
07/31/2024,57.2,60.9,57.0,57.8,,14885.0
08/01/2024,56.3,63.5,56.0,63.5,,15759.0
08/04/2024,63.9,69.7,62.0,61.6,,687.0
08/06/2024,63.0,67.7,60.0,59.8,,3718.0
08/07/2024,58.1,58.1,58.0,58.1,,185.0
08/08/2024,56.4,61.2,56.0,57.3,,12337.0
08/11/2024,58.0,60.0,56.0,55.6,,5675.0
08/12/2024,54.3,59.7,54.0,57.4,,11257.0
08/13/2024,57.7,58.9,56.0,55.8,,6012.0
08/14/2024,55.1,55.5,54.0,54.2,,2181.0
08/15/2024,52.6,54.8,53.0,52.6,,4666.0
08/18/2024,52.6,53.0,51.0,51.5,,3686.0
08/19/2024,51.0,53.6,51.0,51.5,,3612.0
08/20/2024,51.6,52.6,50.0,50.0,,2443.0
08/21/2024,48.5,49.6,49.0,48.5,,343.0
08/22/2024,47.1,48.0,47.0,47.1,,1389.0
08/25/2024,45.7,46.7,46.0,45.7,,392.0
08/27/2024,44.4,45.0,44.0,44.4,,1349.0
08/28/2024,43.1,47.5,43.0,46.7,,3767.0
08/29/2024,45.2,47.6,45.0,45.7,,3075.0
09/01/2024,46.3,50.2,46.0,50.2,,4017.0
09/02/2024,51.8,52.0,48.0,48.3,,4371.0
09/03/2024,46.0,48.5,45.0,45.7,,3705.0
09/04/2024,45.7,46.7,46.0,45.6,,2101.0
09/05/2024,45.6,46.3,44.0,44.7,,2162.0
09/08/2024,45.1,45.4,40.0,40.5,,3481.0
09/09/2024,41.8,41.8,39.0,40.8,,2747.0
09/10/2024,43.0,43.0,40.0,41.3,,1601.0
09/11/2024,42.2,43.5,41.0,42.5,,2580.0
09/12/2024,42.8,45.3,43.0,43.9,,2451.0
09/15/2024,44.0,44.0,42.0,42.5,,2151.0
09/17/2024,42.8,44.4,43.0,43.5,,2325.0
09/18/2024,43.0,45.7,43.0,44.6,,3269.0
09/19/2024,44.6,45.3,44.0,43.8,,2071.0
09/22/2024,44.1,45.7,44.0,44.7,,2584.0
09/23/2024,44.7,48.9,45.0,47.1,,4002.0
09/24/2024,47.1,47.5,45.0,45.2,,2481.0
09/25/2024,45.3,45.5,43.0,43.3,,1979.0
09/26/2024,42.5,45.6,42.0,45.0,,1675.0
09/29/2024,45.0,46.0,44.0,44.0,,1583.0
09/30/2024,44.0,46.6,44.0,46.1,,1937.0
10/01/2024,46.7,46.8,45.0,45.3,,1936.0
10/02/2024,44.8,44.8,44.0,44.0,,1425.0
10/03/2024,44.3,45.7,44.0,45.1,,1486.0
10/06/2024,45.2,47.5,45.0,45.8,,2728.0
10/07/2024,46.0,46.3,45.0,44.8,,1537.0
10/08/2024,45.2,45.8,45.0,44.9,,1382.0
10/09/2024,45.3,47.3,45.0,47.0,,2641.0
10/14/2024,47.1,49.9,47.0,48.9,,4158.0
10/15/2024,49.0,49.6,48.0,47.8,,2477.0
10/16/2024,48.0,49.2,47.0,47.1,,2677.0
10/17/2024,47.6,47.8,46.0,45.7,,1882.0
10/20/2024,45.8,46.5,43.0,43.5,,1734.0
10/21/2024,44.0,44.6,42.0,44.1,,1788.0
10/22/2024,44.2,45.3,43.0,43.1,,2631.0
10/23/2024,43.0,43.1,40.0,40.1,,3263.0
10/24/2024,40.0,40.1,38.0,38.0,,2326.0
10/27/2024,38.2,38.2,34.0,34.3,,1776.0
10/28/2024,35.6,38.6,35.0,36.1,,2972.0
10/29/2024,36.5,38.3,35.0,37.8,,1847.0
10/30/2024,38.2,39.2,38.0,38.2,,2788.0
10/31/2024,38.6,38.9,38.0,38.6,,1741.0
11/03/2024,38.6,41.1,39.0,39.1,,2584.0
11/04/2024,39.0,41.0,38.0,40.5,,2204.0
11/05/2024,41.4,42.4,40.0,39.9,,2659.0
11/06/2024,39.9,40.7,39.0,39.6,,1825.0
11/07/2024,39.6,40.8,39.0,39.3,,1643.0
11/10/2024,39.4,39.8,38.0,37.8,,1446.0
11/11/2024,38.0,38.4,37.6,38.2,,1079.0
11/12/2024,38.7,39.2,37.5,37.7,,1416.0
11/13/2024,37.8,38.0,37.0,37.1,,1039.0
11/14/2024,37.2,38.3,37.0,37.6,,915.0
11/17/2024,38.3,38.3,36.8,37.7,,1385.0
11/18/2024,37.7,37.7,37.7,37.7,0.0,0.0
11/19/2024,37.0,37.1,36.0,36.3,988770.0,1161.0
11/20/2024,36.4,36.8,35.1,35.5,612187.0,975.0
11/21/2024,36.8,36.8,34.7,34.8,672196.0,813.0
11/24/2024,34.7,35.5,34.6,35.0,327923.0,581.0
11/25/2024,35.1,36.2,35.1,36.0,806477.0,1059.0
11/26/2024,36.3,36.4,35.3,35.5,650566.0,842.0
11/27/2024,35.4,38.2,35.3,37.1,1229696.0,1219.0
11/28/2024,37.5,38.1,36.8,37.1,1207845.0,1255.0
12/01/2024,37.0,37.5,36.5,37.3,958346.0,955.0
12/02/2024,37.5,40.5,37.5,39.4,2630068.0,2759.0
12/03/2024,39.4,40.2,38.9,39.0,1590038.0,1995.0
12/04/2024,38.9,39.3,37.7,37.9,1307432.0,1443.0
12/05/2024,38.1,38.1,37.0,37.1,840707.0,1056.0
12/08/2024,34.9,37.3,34.9,36.8,630628.0,680.0
12/09/2024,36.9,37.6,36.9,37.0,545140.0,714.0
12/10/2024,37.3,38.2,37.1,37.4,1558470.0,1511.0
12/11/2024,37.5,38.5,37.5,37.6,956901.0,1296.0
12/12/2024,37.8,38.0,37.0,37.2,634756.0,680.0
12/15/2024,37.4,37.5,36.5,36.7,829645.0,1158.0
12/17/2024,37.0,37.5,36.7,36.9,640277.0,728.0
12/18/2024,37.2,37.2,36.0,36.1,453933.0,808.0
12/19/2024,36.4,36.5,35.9,36.0,333587.0,618.0
12/22/2024,36.0,36.6,35.6,35.8,462225.0,716.0
12/23/2024,36.0,36.5,35.7,35.8,343677.0,566.0
12/24/2024,36.0,36.2,35.5,35.6,371841.0,491.0
12/26/2024,35.8,35.9,35.3,35.7,252348.0,426.0
12/29/2024,35.8,36.3,35.6,36.0,429200.0,541.0
12/30/2024,36.4,36.4,35.7,35.9,363667.0,494.0
01/01/2025,36.1,36.2,35.0,35.2,440414.0,653.0
01/02/2025,35.2,35.3,34.8,34.9,474362.0,621.0
01/05/2025,35.3,35.3,33.9,34.1,360225.0,615.0
01/06/2025,34.1,34.9,34.1,34.4,513393.0,676.0
01/07/2025,34.8,35.1,34.1,34.4,669192.0,831.0
01/08/2025,34.3,35.5,33.9,35.1,1121558.0,1330.0
01/09/2025,35.3,35.4,34.7,34.9,424229.0,666.0
01/12/2025,35.2,35.3,34.3,34.4,845737.0,910.0
01/13/2025,34.5,34.6,33.2,33.6,649463.0,941.0
01/14/2025,33.6,34.4,33.6,33.8,749355.0,1001.0
01/15/2025,33.8,36.2,33.8,35.6,1486285.0,1747.0
01/16/2025,35.8,35.9,34.9,35.6,910853.0,1121.0
01/19/2025,35.7,36.7,35.5,36.3,1531000.0,1929.0
01/20/2025,36.4,36.7,36.0,36.2,1260333.0,1305.0
01/21/2025,36.2,36.9,35.9,36.1,1219818.0,1320.0
01/22/2025,36.4,36.4,35.1,35.3,840076.0,953.0
01/23/2025,35.2,35.5,34.4,34.5,599696.0,823.0
01/26/2025,34.4,35.2,34.3,34.4,435567.0,677.0
01/27/2025,34.9,35.1,34.3,34.8,340115.0,544.0
01/28/2025,35.2,35.5,34.3,34.4,370047.0,683.0
01/29/2025,34.2,34.5,33.7,33.8,709361.0,858.0
01/30/2025,34.0,34.0,33.3,33.6,484311.0,664.0
02/02/2025,33.1,33.8,33.0,33.4,484892.0,547.0
02/03/2025,33.6,34.8,33.5,34.4,631357.0,943.0
02/04/2025,34.6,35.8,34.6,34.9,1334377.0,1519.0
02/05/2025,35.0,35.3,34.4,34.6,567859.0,731.0
02/06/2025,34.5,34.8,34.0,34.2,789733.0,960.0
02/09/2025,34.4,34.6,33.9,34.2,443429.0,670.0
02/10/2025,34.1,35.2,34.1,35.0,1039569.0,1245.0
02/11/2025,35.3,35.8,34.7,34.9,1136925.0,1168.0
02/12/2025,35.0,35.1,34.0,34.2,671024.0,933.0
02/13/2025,34.3,34.6,34.0,34.1,572838.0,718.0
