date,open,high,low,close,volume,trade
05/11/2023,11.0,11.0,11.0,11.0,486.0,16.0
05/14/2023,12.1,12.1,12.1,12.1,909.0,26.0
05/15/2023,13.3,13.3,13.3,13.3,570.0,19.0
05/16/2023,14.6,14.6,14.6,14.6,654.0,21.0
05/17/2023,16.0,16.0,16.0,16.0,595.0,20.0
05/18/2023,17.6,17.6,17.6,17.6,271.0,11.0
05/21/2023,19.3,19.3,19.3,19.3,370.0,12.0
05/22/2023,21.2,21.2,21.2,21.2,831.0,25.0
05/23/2023,23.3,23.3,23.3,23.3,586.0,17.0
05/24/2023,25.6,25.6,25.6,25.6,643.0,22.0
05/25/2023,28.1,28.1,28.1,28.1,724.0,28.0
05/28/2023,30.9,30.9,30.9,30.9,1308.0,40.0
05/29/2023,33.9,33.9,33.9,33.9,1198.0,38.0
05/30/2023,37.2,37.2,37.2,37.2,3262.0,52.0
05/31/2023,40.9,40.9,40.9,40.9,9159.0,69.0
06/01/2023,44.9,44.9,44.9,44.9,5889.0,155.0
06/04/2023,49.3,49.3,49.3,49.3,7961.0,197.0
06/05/2023,54.2,54.2,54.2,54.2,15890.0,337.0
06/06/2023,59.6,59.6,59.6,59.6,98426.0,1329.0
06/07/2023,65.5,65.5,65.5,65.5,125476.0,2478.0
06/08/2023,72.0,72.0,72.0,72.0,219124.0,3105.0
06/11/2023,79.2,79.2,79.0,79.2,4324782.0,60247.0
06/12/2023,78.1,86.9,78.1,82.5,2429505.0,50348.0
06/13/2023,82.0,83.7,75.0,76.8,2647926.0,16172.0
06/14/2023,77.0,79.7,70.0,71.1,1556272.0,9226.0
06/15/2023,70.1,73.0,66.3,69.8,1159679.0,5627.0
06/18/2023,70.4,72.1,69.2,70.7,943586.0,4781.0
06/19/2023,70.7,77.7,70.7,77.7,1519784.0,5261.0
06/20/2023,78.2,81.0,74.6,76.6,1951072.0,7497.0
06/21/2023,76.6,80.9,74.0,79.8,1321150.0,4751.0
06/22/2023,80.5,81.8,76.0,76.6,1807335.0,5706.0
06/25/2023,76.6,77.4,74.8,75.3,867325.0,2642.0
06/26/2023,75.3,77.9,75.3,76.7,1006313.0,3334.0
07/02/2023,77.1,77.5,74.4,74.9,847526.0,2460.0
07/03/2023,75.1,75.8,71.7,72.5,848697.0,2883.0
07/04/2023,72.9,74.2,70.3,70.5,729448.0,2365.0
07/05/2023,71.2,71.5,67.7,68.2,947459.0,2977.0
07/06/2023,68.2,70.9,66.8,70.3,677192.0,2484.0
07/09/2023,71.0,71.4,67.0,67.2,894262.0,2948.0
07/10/2023,67.5,68.1,63.7,64.1,815056.0,2627.0
07/11/2023,64.2,66.3,63.9,65.4,710882.0,2147.0
07/12/2023,65.4,66.1,63.8,64.0,544476.0,1871.0
07/13/2023,64.5,64.7,61.5,62.0,548719.0,1930.0
07/16/2023,62.1,64.8,61.7,63.5,536413.0,1915.0
07/17/2023,63.5,64.8,62.6,62.9,449164.0,1299.0
07/18/2023,62.9,63.2,61.3,61.4,470841.0,1528.0
07/19/2023,62.5,63.0,60.8,62.4,370919.0,1398.0
07/20/2023,62.2,64.3,62.2,62.8,607031.0,1796.0
07/23/2023,62.2,63.1,57.0,60.3,434077.0,1512.0
07/24/2023,60.0,60.9,59.0,60.2,351651.0,1074.0
07/25/2023,60.0,62.5,60.0,60.6,362644.0,1218.0
07/26/2023,60.6,61.2,59.3,60.8,349189.0,963.0
07/27/2023,60.7,61.7,60.6,60.9,274035.0,881.0
07/30/2023,60.9,64.7,60.9,63.5,851312.0,2868.0
07/31/2023,63.9,64.1,61.9,62.0,422865.0,1282.0
08/01/2023,62.1,62.4,61.0,61.5,422304.0,1345.0
