date,open,high,low,close,volume,trade
01/01/2018,44.5,44.5,44.0,44.5,255812.0,190.0
01/02/2018,44.3,44.7,44.3,44.7,46750.0,223.0
01/03/2018,45.0,45.2,44.4,44.9,312328.0,280.0
01/04/2018,44.8,45.5,44.8,45.3,486033.0,526.0
01/07/2018,45.5,45.5,44.6,44.8,119880.0,208.0
01/08/2018,44.8,45.2,44.2,44.3,472983.0,386.0
01/09/2018,44.3,44.7,44.2,44.2,53217.0,135.0
01/10/2018,44.7,44.7,43.9,44.0,339158.0,277.0
01/11/2018,44.2,44.3,43.5,43.9,284100.0,287.0
01/14/2018,44.2,44.2,43.4,43.5,99436.0,181.0
01/15/2018,43.6,43.6,43.0,43.1,315374.0,340.0
01/16/2018,43.4,44.7,43.0,44.3,482349.0,305.0
01/17/2018,44.3,44.3,43.7,43.8,154800.0,221.0
01/18/2018,43.7,44.6,43.4,43.7,355090.0,263.0
01/21/2018,44.0,44.4,43.7,44.2,210502.0,197.0
01/22/2018,44.3,44.3,43.8,43.9,81512.0,137.0
01/23/2018,44.0,44.5,44.0,44.3,179798.0,229.0
01/24/2018,44.2,44.6,44.0,44.5,151359.0,220.0
01/25/2018,44.2,44.5,44.2,44.4,96915.0,121.0
01/28/2018,44.0,44.4,43.8,43.9,99881.0,129.0
01/29/2018,43.2,43.9,43.2,43.5,112002.0,162.0
01/30/2018,43.5,43.8,43.4,43.5,102081.0,127.0
01/31/2018,43.5,43.5,42.9,43.0,188490.0,256.0
02/01/2018,43.0,43.1,42.7,42.8,142410.0,224.0
02/04/2018,42.8,42.8,42.0,42.1,292899.0,326.0
02/05/2018,42.2,42.3,41.3,42.0,286962.0,310.0
02/06/2018,42.0,42.1,41.6,41.8,296681.0,272.0
02/07/2018,41.7,42.5,41.3,42.1,123107.0,166.0
02/08/2018,42.2,42.3,41.7,42.1,46346.0,86.0
02/11/2018,42.7,42.7,42.4,42.6,152998.0,164.0
02/12/2018,43.1,43.4,42.7,43.3,214793.0,320.0
02/13/2018,42.8,43.2,42.6,42.8,173970.0,241.0
02/14/2018,43.2,43.4,42.9,43.0,184487.0,206.0
02/15/2018,43.0,43.0,42.7,42.8,66759.0,104.0
02/18/2018,42.6,42.9,42.1,42.5,159669.0,154.0
02/19/2018,42.7,42.8,42.1,42.1,85500.0,130.0
02/20/2018,42.6,42.6,42.0,42.1,105383.0,129.0
02/22/2018,42.3,42.6,42.1,42.2,140639.0,146.0
02/25/2018,42.1,42.3,41.9,42.0,135250.0,117.0
02/26/2018,41.9,42.2,41.6,41.9,205478.0,262.0
02/27/2018,42.0,42.3,41.6,41.9,185237.0,172.0
02/28/2018,41.9,42.0,41.6,41.8,145037.0,181.0
03/01/2018,42.0,42.5,41.8,42.0,183754.0,152.0
03/04/2018,42.5,42.5,41.9,42.0,91655.0,139.0
03/05/2018,42.1,42.1,41.7,41.9,130627.0,126.0
03/06/2018,42.2,42.4,41.8,41.8,91992.0,107.0
03/07/2018,41.9,42.1,41.7,42.0,151171.0,109.0
03/08/2018,41.9,41.9,41.7,41.9,106684.0,85.0
03/11/2018,41.7,42.0,41.6,41.6,141594.0,142.0
03/12/2018,41.6,41.6,41.2,41.3,98378.0,140.0
03/13/2018,41.3,41.5,40.9,41.0,204392.0,212.0
03/14/2018,41.0,41.5,41.0,41.1,97420.0,107.0
03/15/2018,41.0,41.5,40.9,41.2,127988.0,146.0
03/18/2018,41.2,41.2,40.9,40.9,61511.0,113.0
03/19/2018,40.9,41.0,40.8,41.0,76905.0,129.0
03/20/2018,41.0,41.2,40.8,40.9,106302.0,122.0
03/21/2018,40.8,41.0,40.5,40.7,156593.0,143.0
03/22/2018,40.5,40.9,40.0,40.3,177858.0,187.0
03/25/2018,40.1,40.4,40.0,40.1,47209.0,91.0
03/27/2018,40.2,40.2,39.3,39.4,147720.0,215.0
03/28/2018,39.5,39.5,38.5,38.7,305025.0,291.0
03/29/2018,39.0,40.5,38.7,40.1,444751.0,388.0
