date,open,high,low,close,volume,trade
01/01/2018,23.7,24.0,23.2,23.5,159402.0,138.0
01/02/2018,23.7,23.9,23.2,23.2,139819.0,458.0
01/03/2018,23.9,24.3,23.2,23.4,446112.0,306.0
01/04/2018,23.5,23.7,23.3,23.4,270334.0,156.0
01/07/2018,23.4,23.4,23.1,23.2,197671.0,199.0
01/08/2018,23.2,23.5,23.1,23.2,106018.0,120.0
01/09/2018,23.5,23.7,23.1,23.2,352408.0,268.0
01/10/2018,23.2,23.3,23.0,23.0,189310.0,158.0
01/11/2018,23.1,23.1,22.8,22.9,103697.0,165.0
01/14/2018,22.9,23.6,22.4,22.6,168526.0,197.0
01/15/2018,22.8,23.2,22.2,22.4,167298.0,151.0
01/16/2018,22.4,22.8,22.0,22.6,141163.0,103.0
01/17/2018,22.7,23.1,22.4,22.6,148256.0,139.0
01/18/2018,22.4,22.9,22.4,22.5,49136.0,71.0
01/21/2018,22.5,22.7,22.4,22.5,87262.0,66.0
01/22/2018,22.9,23.2,22.4,22.6,79770.0,60.0
01/23/2018,22.4,22.8,22.4,22.5,182620.0,107.0
01/24/2018,22.8,22.8,22.2,22.4,243501.0,196.0
01/25/2018,22.6,22.7,22.3,22.3,29551.0,46.0
01/28/2018,22.1,22.1,21.6,21.8,95758.0,90.0
01/29/2018,22.0,22.8,21.8,21.8,77347.0,57.0
01/30/2018,21.9,22.0,20.6,21.5,66210.0,78.0
01/31/2018,21.9,21.9,20.8,21.0,141459.0,114.0
02/01/2018,21.4,21.8,20.7,21.0,83912.0,65.0
02/04/2018,20.8,20.9,20.2,20.3,49066.0,52.0
02/05/2018,19.9,20.4,19.7,20.4,60278.0,70.0
02/06/2018,20.6,20.6,20.2,20.3,90001.0,98.0
02/07/2018,20.1,20.5,20.1,20.2,36381.0,43.0
02/08/2018,20.5,20.5,20.3,20.4,41260.0,48.0
02/11/2018,20.6,21.0,20.4,20.9,240736.0,152.0
02/12/2018,21.1,21.3,20.8,20.9,177389.0,162.0
02/13/2018,21.0,21.1,20.8,21.0,87807.0,61.0
02/14/2018,20.7,21.6,20.7,21.0,279822.0,163.0
02/15/2018,21.2,21.6,21.0,21.3,323183.0,239.0
02/18/2018,21.2,21.3,20.5,20.6,214480.0,167.0
02/19/2018,20.6,21.0,20.1,20.3,165797.0,183.0
02/20/2018,20.5,20.5,20.3,20.3,68676.0,108.0
02/22/2018,21.2,21.3,20.3,20.4,80682.0,63.0
02/25/2018,20.4,20.4,20.2,20.3,34863.0,43.0
02/26/2018,20.1,20.2,19.9,20.1,41555.0,63.0
02/27/2018,20.1,20.5,20.0,20.2,33187.0,38.0
02/28/2018,20.1,20.5,20.1,20.1,62749.0,78.0
03/01/2018,20.1,20.4,20.1,20.3,55364.0,55.0
03/04/2018,20.5,20.6,20.2,20.3,54564.0,91.0
03/05/2018,20.0,20.4,20.0,20.2,81682.0,57.0
03/06/2018,20.4,20.4,20.2,20.3,37560.0,47.0
03/07/2018,20.5,21.1,20.4,20.9,172151.0,208.0
03/08/2018,20.8,21.4,20.4,20.6,166959.0,178.0
03/11/2018,20.9,21.4,20.8,21.3,330635.0,306.0
03/12/2018,21.3,21.4,19.8,20.4,111533.0,157.0
03/13/2018,20.8,20.8,20.0,20.1,38332.0,61.0
03/14/2018,20.4,20.4,19.8,20.2,101679.0,88.0
03/15/2018,20.1,20.5,20.1,20.4,91673.0,117.0
03/18/2018,20.4,20.5,20.3,20.4,81824.0,101.0
03/19/2018,19.8,20.2,19.8,20.0,82316.0,68.0
03/20/2018,20.4,20.4,19.9,19.9,117155.0,96.0
03/21/2018,19.8,20.0,19.4,19.6,93695.0,84.0
03/22/2018,19.7,20.0,19.2,19.8,179961.0,109.0
03/25/2018,20.1,20.1,19.5,19.5,157014.0,81.0
03/27/2018,19.3,19.8,19.2,19.3,54839.0,41.0
03/28/2018,19.8,19.8,19.0,19.2,26372.0,40.0
03/29/2018,19.4,19.8,19.3,19.6,93498.0,103.0
04/01/2018,20.2,20.4,19.9,20.3,119491.0,113.0
04/02/2018,20.4,20.8,20.1,20.3,360952.0,184.0
04/03/2018,20.5,21.0,20.3,20.5,277083.0,211.0
04/04/2018,20.7,20.8,20.2,20.3,234386.0,233.0
04/05/2018,20.1,20.5,20.1,20.4,144031.0,149.0
04/08/2018,20.8,21.0,20.5,20.6,227099.0,168.0
04/09/2018,20.7,21.4,20.6,21.2,295298.0,249.0
04/10/2018,21.4,21.6,20.8,20.9,388302.0,315.0
04/11/2018,21.0,21.1,19.8,20.4,237662.0,191.0
04/12/2018,20.2,20.4,19.8,19.9,175572.0,153.0
04/15/2018,20.4,20.4,19.7,19.7,92247.0,63.0
04/16/2018,20.0,20.5,19.6,20.4,249152.0,180.0
04/17/2018,20.7,20.7,19.9,20.1,145451.0,154.0
04/18/2018,20.1,20.4,20.0,20.2,191840.0,99.0
04/19/2018,19.9,20.5,19.9,20.4,185008.0,108.0
04/22/2018,20.4,20.5,19.7,19.8,380212.0,265.0
04/23/2018,20.0,20.2,19.6,19.7,193101.0,142.0
04/24/2018,19.6,19.8,19.4,19.5,51043.0,76.0
04/25/2018,19.9,20.4,19.6,19.7,75310.0,73.0
04/26/2018,19.6,19.8,19.3,19.4,37851.0,74.0
04/30/2018,19.2,19.2,17.6,17.6,564945.0,431.0
05/03/2018,17.6,17.7,17.3,17.4,177854.0,224.0
05/06/2018,17.1,18.0,17.1,17.8,349262.0,222.0
05/07/2018,18.0,18.6,17.8,17.9,188990.0,212.0
05/08/2018,17.9,18.0,17.5,17.5,101813.0,118.0
05/09/2018,17.7,17.7,17.3,17.5,151557.0,167.0
05/10/2018,17.6,18.2,17.4,17.6,192939.0,134.0
05/13/2018,17.8,17.9,17.4,17.4,101988.0,76.0
05/14/2018,17.7,18.3,17.5,17.6,79408.0,85.0
05/15/2018,17.6,17.6,17.4,17.5,67063.0,67.0
05/16/2018,17.4,17.6,17.2,17.2,124352.0,64.0
05/17/2018,17.3,17.3,16.4,16.4,87371.0,93.0
05/20/2018,17.0,17.0,16.3,16.5,41845.0,54.0
05/21/2018,16.9,17.0,16.2,16.6,158547.0,156.0
05/22/2018,16.7,16.7,16.3,16.4,61233.0,109.0
05/23/2018,16.6,16.8,16.2,16.3,59460.0,45.0
05/24/2018,16.6,16.8,16.2,16.7,53970.0,74.0
05/27/2018,16.8,17.0,16.5,16.6,99291.0,82.0
05/28/2018,16.8,16.9,16.5,16.5,55100.0,61.0
05/29/2018,16.7,17.0,16.4,16.6,164810.0,105.0
05/30/2018,16.9,16.9,16.6,16.7,115428.0,89.0
05/31/2018,16.5,16.6,16.5,16.6,36668.0,29.0
06/03/2018,16.4,17.5,16.4,16.5,101438.0,98.0
06/04/2018,16.8,16.8,16.4,16.4,44729.0,28.0
06/05/2018,16.7,17.2,16.4,16.5,46779.0,44.0
06/06/2018,16.6,16.7,16.4,16.6,33507.0,40.0
06/07/2018,16.8,17.1,16.5,16.6,93545.0,83.0
