date,open,high,low,close,volume,trade
01/01/2018,6.6,6.7,6.5,6.6,157160.0,37.0
01/02/2018,6.6,6.6,6.6,6.6,3000.0,26.0
01/03/2018,6.6,6.7,6.5,6.6,592762.0,62.0
01/04/2018,6.6,6.6,6.5,6.5,120341.0,56.0
01/07/2018,6.6,6.7,6.5,6.5,369284.0,49.0
01/08/2018,6.6,6.6,6.5,6.5,323125.0,38.0
01/09/2018,6.6,6.6,6.5,6.5,330374.0,35.0
01/10/2018,6.5,6.6,6.5,6.5,259480.0,34.0
01/11/2018,6.5,6.5,6.4,6.5,237319.0,42.0
01/14/2018,6.5,6.5,6.4,6.4,149662.0,47.0
01/15/2018,6.4,6.4,6.3,6.3,565124.0,92.0
01/16/2018,6.3,6.4,6.2,6.3,333860.0,81.0
01/17/2018,6.3,6.4,6.3,6.4,424881.0,42.0
01/18/2018,6.4,6.4,6.3,6.3,818524.0,56.0
01/21/2018,6.3,6.4,6.3,6.4,184257.0,26.0
01/22/2018,6.4,6.5,6.3,6.4,560982.0,47.0
01/23/2018,6.4,6.5,6.4,6.4,313090.0,47.0
01/24/2018,6.4,6.4,6.3,6.4,108026.0,36.0
01/25/2018,6.4,6.5,6.4,6.4,80938.0,22.0
01/28/2018,6.4,6.4,6.3,6.3,81317.0,15.0
01/29/2018,6.3,6.5,6.3,6.4,384652.0,38.0
01/30/2018,6.4,6.4,6.3,6.4,222117.0,45.0
01/31/2018,6.5,6.5,6.3,6.4,481110.0,83.0
02/01/2018,6.4,6.4,6.3,6.3,56140.0,26.0
02/04/2018,6.3,6.4,6.1,6.2,316131.0,77.0
02/05/2018,6.2,6.2,6.1,6.1,316101.0,57.0
02/06/2018,6.2,6.3,6.1,6.3,239048.0,37.0
02/07/2018,6.2,6.3,6.2,6.3,143169.0,15.0
02/08/2018,6.3,6.4,6.2,6.2,78115.0,25.0
02/11/2018,6.3,6.4,6.2,6.4,147327.0,39.0
02/12/2018,6.4,6.4,6.3,6.3,94331.0,37.0
02/13/2018,6.3,6.4,6.2,6.4,224159.0,62.0
02/14/2018,6.4,6.4,6.3,6.3,51013.0,20.0
02/15/2018,6.4,6.4,6.3,6.3,175240.0,41.0
02/18/2018,6.3,6.4,6.2,6.3,53673.0,29.0
02/19/2018,6.3,6.4,6.2,6.2,199868.0,46.0
02/20/2018,6.2,6.3,6.2,6.2,100364.0,22.0
02/22/2018,6.2,6.3,6.2,6.2,76079.0,27.0
02/25/2018,6.2,6.3,6.1,6.1,173696.0,47.0
02/26/2018,6.1,6.2,6.1,6.1,127139.0,42.0
02/27/2018,6.1,6.2,6.1,6.1,60999.0,37.0
02/28/2018,6.1,6.1,6.0,6.1,144060.0,42.0
03/01/2018,6.1,6.2,6.0,6.2,239970.0,37.0
03/04/2018,6.1,6.3,6.1,6.2,135947.0,39.0
03/05/2018,6.2,6.3,6.2,6.3,495393.0,49.0
03/06/2018,6.2,6.3,6.2,6.3,63441.0,26.0
03/07/2018,6.2,6.3,6.2,6.3,139187.0,38.0
03/08/2018,6.2,6.3,6.2,6.3,177022.0,31.0
03/11/2018,6.3,6.3,6.2,6.2,50540.0,10.0
03/12/2018,6.2,6.2,6.1,6.2,106617.0,14.0
03/13/2018,6.2,6.2,6.1,6.2,313207.0,45.0
03/14/2018,6.1,6.1,6.1,6.1,180300.0,37.0
03/15/2018,6.2,6.4,6.2,6.4,576278.0,120.0
03/18/2018,6.4,6.5,6.3,6.3,326879.0,64.0
03/19/2018,6.4,6.4,6.3,6.4,318988.0,81.0
03/20/2018,6.4,6.7,6.3,6.6,1341450.0,215.0
03/21/2018,6.5,6.6,6.3,6.4,475951.0,75.0
03/22/2018,6.3,6.4,6.1,6.3,1032686.0,87.0
03/25/2018,6.5,6.5,6.2,6.3,316087.0,56.0
03/27/2018,6.2,6.3,6.1,6.2,454889.0,55.0
03/28/2018,6.2,6.2,6.1,6.2,755861.0,40.0
03/29/2018,6.2,6.2,6.1,6.2,224704.0,52.0
04/01/2018,6.3,6.4,6.2,6.3,1055791.0,93.0
04/02/2018,6.4,6.4,6.3,6.3,580783.0,71.0
04/03/2018,6.3,6.5,6.3,6.4,1731498.0,121.0
04/04/2018,6.4,6.6,6.4,6.5,2169797.0,151.0
04/05/2018,6.5,6.7,6.4,6.6,1077581.0,114.0
04/08/2018,6.6,6.9,6.5,6.5,843505.0,69.0
04/09/2018,6.7,6.7,6.5,6.5,451108.0,47.0
04/10/2018,6.6,6.7,6.5,6.6,581043.0,57.0
04/11/2018,6.6,6.6,6.6,6.6,361682.0,35.0
04/12/2018,6.6,6.6,6.5,6.5,363495.0,66.0
04/15/2018,6.5,6.5,6.4,6.5,244708.0,25.0
04/16/2018,6.5,6.5,6.4,6.5,1781522.0,64.0
04/17/2018,6.5,6.6,6.4,6.5,1064143.0,65.0
04/18/2018,6.5,6.6,6.5,6.6,923680.0,65.0
04/19/2018,6.5,6.6,6.5,6.6,958624.0,61.0
04/22/2018,6.5,6.6,6.5,6.5,145111.0,31.0
04/23/2018,6.6,6.7,6.5,6.7,1762368.0,120.0
04/24/2018,6.6,6.8,6.6,6.8,1583809.0,159.0
04/25/2018,6.7,6.8,6.6,6.8,1393322.0,121.0
04/26/2018,6.7,6.8,6.7,6.8,540551.0,63.0
04/30/2018,6.7,6.7,6.5,6.6,1187943.0,89.0
05/03/2018,6.6,6.7,6.6,6.7,321421.0,40.0
05/06/2018,6.6,6.6,6.5,6.6,270627.0,31.0
05/07/2018,6.6,6.7,6.6,6.7,621488.0,57.0
05/08/2018,6.6,6.8,6.6,6.8,1853580.0,118.0
05/09/2018,6.7,6.8,6.7,6.8,1088800.0,64.0
05/10/2018,6.7,6.7,6.6,6.7,223945.0,26.0
05/13/2018,6.7,6.7,6.6,6.6,163206.0,37.0
05/14/2018,6.6,6.7,6.6,6.6,12672.0,10.0
05/15/2018,6.6,6.7,6.6,6.7,303709.0,38.0
05/16/2018,6.6,6.7,6.6,6.7,287330.0,32.0
05/17/2018,6.7,6.7,6.5,6.6,583153.0,33.0
05/20/2018,6.6,6.6,6.5,6.5,31809.0,13.0
05/21/2018,6.5,6.6,6.5,6.5,67636.0,17.0
05/22/2018,6.5,6.5,6.4,6.5,231392.0,25.0
05/23/2018,6.5,6.5,6.4,6.5,138419.0,17.0
05/24/2018,6.4,6.6,6.4,6.5,260306.0,34.0
05/27/2018,6.5,6.5,6.4,6.5,225863.0,22.0
05/28/2018,6.4,6.5,6.4,6.4,359942.0,23.0
05/29/2018,6.4,6.4,6.3,6.4,356265.0,45.0
05/30/2018,6.3,6.4,6.3,6.3,126704.0,24.0
05/31/2018,6.3,6.3,6.3,6.3,201917.0,24.0
06/03/2018,6.3,6.4,6.2,6.3,187388.0,26.0
06/04/2018,6.4,6.4,6.2,6.3,82185.0,20.0
06/05/2018,6.3,6.3,6.2,6.3,88692.0,18.0
06/06/2018,6.2,6.4,6.2,6.3,298563.0,32.0
06/07/2018,6.3,6.5,6.3,6.4,42836.0,14.0
06/10/2018,6.3,6.4,6.3,6.3,62363.0,10.0
06/11/2018,6.4,6.4,6.3,6.3,246009.0,23.0
06/12/2018,6.3,6.4,6.3,6.4,32048.0,15.0
06/18/2018,6.4,6.4,6.3,6.3,75678.0,18.0
06/19/2018,6.3,6.4,6.3,6.3,72309.0,20.0
06/20/2018,6.3,6.3,6.3,6.3,156866.0,22.0
06/21/2018,6.4,6.4,6.1,6.2,2695655.0,147.0
06/24/2018,6.2,6.3,6.1,6.2,957453.0,68.0
06/25/2018,6.2,6.3,6.1,6.2,348763.0,68.0
06/26/2018,6.2,6.2,6.1,6.2,215504.0,49.0
06/27/2018,6.2,6.3,6.1,6.3,1659868.0,67.0
06/28/2018,6.2,6.3,6.1,6.1,228120.0,58.0
07/02/2018,6.1,6.2,6.1,6.1,225014.0,30.0
07/03/2018,6.1,6.2,6.1,6.1,184247.0,38.0
07/04/2018,6.1,6.2,6.0,6.1,47518.0,33.0
07/05/2018,6.1,6.2,6.1,6.1,70240.0,56.0
07/08/2018,6.1,6.2,6.1,6.1,13034.0,10.0
07/09/2018,6.1,6.1,6.0,6.1,154324.0,61.0
07/10/2018,6.1,6.2,6.1,6.1,95323.0,50.0
07/11/2018,6.1,6.2,6.0,6.0,3112985.0,162.0
07/12/2018,6.1,6.2,6.0,6.1,290162.0,50.0
07/15/2018,6.1,6.1,6.0,6.1,310403.0,43.0
07/16/2018,6.0,6.1,6.0,6.0,224602.0,41.0
07/17/2018,6.1,6.1,6.0,6.0,131309.0,32.0
07/18/2018,6.0,6.1,5.9,6.0,181940.0,57.0
07/19/2018,6.0,6.0,5.9,6.0,246366.0,65.0
07/22/2018,5.9,6.0,5.8,6.0,345190.0,54.0
07/23/2018,5.9,6.0,5.9,6.0,475887.0,69.0
07/24/2018,6.0,6.1,5.9,6.1,425363.0,59.0
07/25/2018,6.0,6.1,6.0,6.1,352000.0,57.0
07/26/2018,6.0,6.1,6.0,6.1,458294.0,45.0
07/29/2018,6.0,6.1,6.0,6.1,293328.0,56.0
07/30/2018,6.0,6.1,6.0,6.1,250657.0,
07/31/2018,6.0,6.1,6.0,6.1,194449.0,37.0
08/01/2018,6.1,6.2,6.0,6.1,194016.0,31.0
08/02/2018,6.1,6.2,6.1,6.1,193174.0,38.0
08/05/2018,6.1,6.1,6.0,6.1,169654.0,29.0
08/06/2018,6.0,6.1,6.0,6.0,42182.0,17.0
08/07/2018,6.1,6.1,6.0,6.1,48472.0,18.0
08/08/2018,6.1,6.2,6.0,6.2,137137.0,33.0
08/09/2018,6.2,6.2,6.1,6.1,106075.0,27.0
08/12/2018,6.1,6.1,6.0,6.0,167895.0,39.0
08/13/2018,6.0,6.0,5.9,6.0,473018.0,75.0
08/14/2018,5.9,6.1,5.9,6.0,126989.0,34.0
08/16/2018,6.1,6.1,5.9,6.0,400899.0,83.0
08/19/2018,6.1,6.2,6.0,6.1,260548.0,79.0
08/20/2018,6.1,6.2,6.1,6.2,216807.0,50.0
08/26/2018,6.2,6.3,6.1,6.2,108190.0,28.0
08/27/2018,6.2,6.3,6.1,6.2,249962.0,43.0
08/28/2018,6.2,6.3,6.1,6.2,171680.0,36.0
08/29/2018,6.3,6.3,6.2,6.3,255736.0,57.0
08/30/2018,6.3,6.3,6.1,6.1,425047.0,73.0
09/03/2018,6.2,6.2,6.1,6.1,123485.0,41.0
09/04/2018,6.1,6.1,6.1,6.1,215120.0,41.0
09/05/2018,6.1,6.1,6.0,6.1,430437.0,46.0
09/06/2018,6.0,6.2,6.0,6.0,721148.0,77.0
09/09/2018,6.0,6.1,5.9,6.0,290310.0,65.0
09/10/2018,6.1,6.1,5.8,5.9,480263.0,84.0
09/11/2018,6.0,6.0,5.8,5.9,256413.0,46.0
09/12/2018,5.9,5.9,5.7,5.8,542394.0,73.0
09/13/2018,5.9,5.9,5.7,5.8,542394.0,0.0
09/16/2018,5.1,5.3,5.1,5.2,274035.0,59.0
09/17/2018,5.2,5.2,4.9,5.0,578636.0,93.0
09/18/2018,5.0,5.1,5.0,5.0,155459.0,44.0
09/19/2018,5.1,5.1,4.9,4.9,337323.0,57.0
09/20/2018,4.9,4.9,4.8,4.8,1111900.0,118.0
09/23/2018,4.9,4.9,4.6,4.6,1055180.0,128.0
09/24/2018,4.7,4.7,4.3,4.4,1565060.0,167.0
09/25/2018,4.3,4.5,4.3,4.3,665981.0,130.0
09/26/2018,4.3,4.5,4.2,4.4,1068655.0,122.0
09/27/2018,4.4,4.4,4.2,4.3,1117577.0,109.0
09/30/2018,4.4,4.4,4.3,4.3,212610.0,47.0
10/01/2018,4.4,4.4,4.3,4.4,132069.0,47.0
10/02/2018,4.4,4.4,4.3,4.4,393339.0,67.0
10/03/2018,4.4,4.5,4.3,4.4,292475.0,58.0
10/04/2018,4.5,4.5,4.3,4.4,361071.0,65.0
10/07/2018,4.4,4.5,4.4,4.4,294132.0,0.0
10/08/2018,4.4,4.5,4.4,4.4,307085.0,
10/09/2018,4.4,4.5,4.4,4.5,416620.0,
10/10/2018,4.5,4.5,4.3,4.4,711306.0,1.0
10/11/2018,4.5,4.5,4.3,4.4,213291.0,33.0
10/14/2018,4.4,4.5,4.3,4.4,360160.0,57.0
10/15/2018,4.3,4.4,4.2,4.3,620098.0,52.0
10/16/2018,4.3,4.3,4.2,4.3,163077.0,28.0
10/17/2018,4.3,4.3,4.2,4.3,1182494.0,104.0
10/18/2018,4.3,4.4,4.2,4.3,764252.0,67.0
10/21/2018,4.3,4.3,4.2,4.3,257838.0,47.0
10/22/2018,4.3,4.3,4.2,4.3,444362.0,44.0
10/23/2018,4.2,4.3,4.2,4.3,228612.0,45.0
10/24/2018,4.3,4.3,4.2,4.3,189743.0,30.0
10/25/2018,4.3,4.3,4.2,4.3,70707.0,
10/28/2018,4.3,4.3,4.2,4.2,1184774.0,
10/29/2018,4.3,4.3,4.2,4.3,761122.0,
10/30/2018,4.3,4.4,4.2,4.4,634146.0,
10/31/2018,4.4,4.4,4.3,4.3,27339.0,
11/01/2018,4.3,4.4,4.3,4.4,523629.0,
11/04/2018,4.3,4.4,4.3,4.4,225391.0,
11/05/2018,4.3,4.4,4.3,4.4,304865.0,
11/06/2018,4.3,4.4,4.2,4.3,646829.0,
11/07/2018,4.3,4.4,4.2,4.3,379177.0,
11/08/2018,4.3,4.4,4.3,4.4,193138.0,25.0
11/11/2018,4.4,4.4,4.3,4.4,226225.0,29.0
11/12/2018,4.3,4.4,4.3,4.3,119372.0,19.0
11/13/2018,4.4,4.4,4.3,4.3,190890.0,20.0
11/14/2018,4.3,4.4,4.3,4.3,67534.0,11.0
11/15/2018,4.3,4.4,4.3,4.3,219872.0,14.0
11/18/2018,4.3,4.4,4.3,4.3,38901.0,16.0
11/19/2018,4.3,4.4,4.3,4.3,40066.0,15.0
11/20/2018,4.4,4.4,4.2,4.3,396022.0,46.0
11/22/2018,4.3,4.4,4.3,4.3,94001.0,24.0
11/25/2018,4.3,4.4,4.3,4.3,84165.0,21.0
11/26/2018,4.3,4.3,4.3,4.3,195039.0,20.0
11/27/2018,4.3,4.4,4.3,4.3,120063.0,18.0
11/28/2018,4.3,4.4,4.3,4.3,13511.0,12.0
11/29/2018,4.3,4.4,4.2,4.3,175573.0,32.0
12/02/2018,4.3,4.3,4.2,4.2,278167.0,47.0
12/03/2018,4.2,4.3,4.2,4.3,92690.0,25.0
12/04/2018,4.3,4.3,4.2,4.3,224677.0,50.0
12/05/2018,4.3,4.4,4.3,4.4,301278.0,46.0
12/06/2018,4.4,4.4,4.3,4.4,156629.0,21.0
12/09/2018,4.3,4.4,4.3,4.3,129870.0,18.0
12/10/2018,4.3,4.4,4.2,4.2,196378.0,37.0
12/11/2018,4.2,4.4,4.2,4.3,215062.0,33.0
12/12/2018,4.2,4.3,4.2,4.3,91600.0,11.0
12/13/2018,4.2,4.4,4.2,4.3,147256.0,24.0
12/17/2018,4.3,4.4,4.2,4.3,238183.0,44.0
12/18/2018,4.3,4.3,4.2,4.2,211532.0,28.0
12/19/2018,4.3,4.3,4.2,4.3,301643.0,45.0
12/20/2018,4.3,4.3,4.2,4.3,174510.0,25.0
12/23/2018,4.3,4.3,4.2,4.2,62830.0,12.0
12/24/2018,4.3,4.4,4.2,4.3,176970.0,62.0
12/26/2018,4.3,4.4,4.3,4.4,294571.0,68.0
12/27/2018,4.4,4.4,4.3,4.4,280766.0,38.0
01/01/2019,4.4,4.5,4.3,4.5,328069.0,54.0
01/02/2019,4.5,4.6,4.4,4.5,348160.0,80.0
01/03/2019,4.5,4.7,4.4,4.7,643936.0,109.0
01/06/2019,4.8,5.0,4.7,4.9,847614.0,104.0
01/07/2019,5.0,5.1,4.9,5.0,945421.0,152.0
01/08/2019,5.0,5.3,5.0,5.2,1056600.0,136.0
01/09/2019,5.2,5.4,5.1,5.2,1225761.0,221.0
01/10/2019,5.2,5.3,5.2,5.2,738596.0,110.0
01/13/2019,5.3,5.3,5.1,5.2,195814.0,57.0
01/14/2019,5.2,5.2,5.1,5.1,613016.0,78.0
01/15/2019,5.1,5.2,5.0,5.1,345204.0,64.0
01/16/2019,5.1,5.2,5.0,5.1,316494.0,39.0
01/17/2019,5.1,5.2,5.1,5.1,141744.0,34.0
01/20/2019,5.2,5.6,5.1,5.6,2066306.0,271.0
01/21/2019,5.7,6.0,5.4,5.6,651000.0,200.0
01/22/2019,5.6,5.6,5.3,5.3,918650.0,163.0
01/23/2019,5.5,5.6,5.3,5.5,411822.0,79.0
01/24/2019,5.3,5.6,5.3,5.5,320072.0,65.0
01/27/2019,5.5,5.7,5.5,5.6,1230397.0,264.0
01/28/2019,5.5,5.6,5.4,5.5,262168.0,101.0
01/29/2019,5.5,5.7,5.4,5.5,302008.0,51.0
01/30/2019,5.5,5.5,5.4,5.4,192566.0,45.0
01/31/2019,5.4,5.4,5.3,5.3,185650.0,52.0
02/03/2019,5.4,5.4,5.1,5.2,293667.0,54.0
02/04/2019,5.3,5.3,5.1,5.2,306898.0,54.0
02/05/2019,5.3,5.3,5.0,5.0,521784.0,71.0
02/06/2019,5.2,5.2,5.0,5.0,381915.0,75.0
02/07/2019,5.1,5.1,4.9,4.9,634978.0,58.0
02/10/2019,4.9,5.0,4.9,4.9,318254.0,41.0
02/11/2019,5.0,5.0,4.7,4.9,488413.0,
02/12/2019,4.9,5.0,4.8,4.9,190288.0,45.0
02/13/2019,4.9,5.0,4.8,5.0,217720.0,42.0
02/14/2019,5.2,5.2,4.9,5.0,271146.0,43.0
02/17/2019,5.0,5.0,4.9,4.9,254823.0,47.0
02/18/2019,4.9,5.0,4.9,4.9,105780.0,23.0
02/19/2019,4.9,4.9,4.8,4.9,270088.0,47.0
