date,open,high,low,close,volume,trade
01/01/2018,33.7,34.2,33.6,33.8,481900.0,187.0
01/02/2018,33.5,33.8,33.5,33.8,103952.0,185.0
01/03/2018,33.8,34.2,33.6,33.9,169301.0,130.0
01/04/2018,33.8,33.8,33.3,33.5,329482.0,186.0
01/07/2018,33.5,33.6,33.1,33.1,181266.0,149.0
01/08/2018,33.1,33.4,32.7,32.7,247051.0,182.0
01/09/2018,32.3,32.7,32.3,32.3,458508.0,273.0
01/10/2018,32.3,32.7,32.3,32.3,186932.0,100.0
01/11/2018,32.7,32.7,32.1,32.2,226048.0,161.0
01/14/2018,31.9,31.9,31.3,31.5,158585.0,168.0
01/15/2018,31.4,31.4,30.1,30.6,411558.0,276.0
01/16/2018,30.7,32.3,30.1,31.6,516996.0,342.0
01/17/2018,31.6,31.9,30.9,31.0,325101.0,219.0
01/18/2018,30.9,31.9,30.5,31.6,299013.0,158.0
01/21/2018,31.5,31.8,31.2,31.5,232843.0,68.0
01/22/2018,31.5,32.7,31.5,32.3,499822.0,198.0
01/23/2018,31.6,32.3,31.6,32.1,235905.0,149.0
01/24/2018,32.0,32.0,31.6,31.6,108725.0,71.0
01/25/2018,31.0,31.8,31.0,31.6,224297.0,111.0
01/28/2018,30.9,31.4,30.7,30.9,65749.0,79.0
01/29/2018,30.6,31.5,30.6,30.9,319896.0,109.0
01/30/2018,31.2,31.5,30.9,30.9,136254.0,97.0
01/31/2018,30.9,30.9,29.8,30.0,303560.0,189.0
02/01/2018,30.1,30.2,29.5,29.8,203395.0,133.0
02/04/2018,29.8,29.8,28.3,28.6,457983.0,172.0
02/05/2018,28.7,29.8,26.6,29.4,651757.0,241.0
02/06/2018,29.5,31.1,29.5,30.7,838733.0,247.0
02/07/2018,29.9,31.5,29.9,31.0,541346.0,381.0
02/08/2018,30.9,31.6,30.6,31.6,793800.0,243.0
02/11/2018,31.5,33.2,31.5,32.6,507139.0,292.0
02/12/2018,32.4,33.4,32.3,33.0,463731.0,206.0
02/13/2018,32.9,33.4,32.3,33.1,252548.0,170.0
02/14/2018,33.3,33.8,33.1,33.3,560989.0,191.0
02/15/2018,33.2,33.2,32.8,33.0,309651.0,113.0
02/18/2018,33.1,33.1,30.9,32.1,50482.0,51.0
02/19/2018,32.3,32.7,32.1,32.4,405678.0,153.0
02/20/2018,32.7,32.7,32.5,32.6,281235.0,108.0
02/22/2018,32.7,33.1,32.5,32.6,498620.0,213.0
02/25/2018,32.3,32.4,30.7,32.0,383650.0,171.0
02/26/2018,31.9,32.3,31.5,31.8,289179.0,114.0
02/27/2018,31.5,32.2,31.5,31.7,288256.0,100.0
02/28/2018,31.6,32.0,31.5,31.7,327086.0,130.0
03/01/2018,31.9,32.3,31.9,32.1,811294.0,145.0
03/04/2018,32.1,32.3,32.0,32.2,222404.0,98.0
03/05/2018,32.3,32.3,31.5,31.6,191696.0,94.0
03/06/2018,31.6,32.3,31.5,32.0,681200.0,130.0
03/07/2018,32.0,32.1,31.7,32.0,79378.0,46.0
