date,open,high,low,close,volume,trade
01/01/2018,972.0,972.0,969.0,971.0,53.0,9.0
01/02/2018,972.0,972.0,969.0,971.0,53.0,16.0
01/03/2018,975.0,975.0,970.0,971.0,101.0,7.0
01/04/2018,971.0,971.0,970.0,971.0,258.0,9.0
01/07/2018,972.0,972.0,971.0,971.0,130.0,3.0
01/08/2018,972.0,973.0,967.0,971.0,933.0,41.0
01/09/2018,970.0,970.0,970.0,970.0,34.0,4.0
01/10/2018,972.0,975.0,972.0,973.0,24.0,2.0
01/11/2018,972.0,973.0,972.0,973.0,520.0,21.0
01/14/2018,970.0,980.0,970.0,972.0,174.0,7.0
01/15/2018,971.0,979.0,971.0,976.0,406.0,31.0
01/16/2018,973.0,975.0,973.0,975.0,1677.0,26.0
01/17/2018,974.0,978.0,974.0,977.0,474.0,26.0
01/18/2018,980.0,980.0,976.0,976.0,941.0,40.0
01/21/2018,976.0,978.0,976.0,977.0,531.0,21.0
01/22/2018,978.0,994.0,978.0,986.0,2088.0,90.0
01/23/2018,992.0,1000.0,992.0,1000.0,6088.0,65.0
01/24/2018,1006.0,1009.0,997.0,1001.0,9485.0,219.0
01/25/2018,1000.0,1003.0,1000.0,1002.0,301.0,26.0
01/28/2018,1000.0,1003.0,994.0,1000.0,2194.0,49.0
01/29/2018,1000.0,1016.0,991.0,1007.0,3933.0,144.0
01/30/2018,1007.0,1019.0,1007.0,1014.0,1181.0,52.0
01/31/2018,1009.0,1009.0,1009.0,1009.0,8.0,1.0
02/01/2018,1000.0,1012.0,1000.0,1005.0,1440.0,48.0
02/04/2018,1005.0,1005.0,1000.0,1000.0,1173.0,36.0
02/05/2018,984.0,1005.0,984.0,1004.0,4762.0,102.0
02/06/2018,994.0,1003.0,994.0,995.0,714.0,20.0
02/07/2018,997.0,997.0,996.0,997.0,261.0,13.0
02/08/2018,997.0,1004.0,985.0,1001.0,542.0,29.0
02/11/2018,1000.0,1000.0,994.0,996.0,248.0,14.0
02/12/2018,1000.0,1000.0,994.0,997.0,578.0,23.0
02/13/2018,997.0,999.0,996.0,998.0,333.0,18.0
02/14/2018,994.0,994.0,988.0,988.0,741.0,42.0
02/15/2018,988.0,988.0,985.0,985.0,250.0,12.0
02/18/2018,982.0,984.0,969.0,974.0,651.0,33.0
02/19/2018,981.0,983.0,978.0,982.0,1232.0,48.0
02/20/2018,982.0,996.0,982.0,988.0,656.0,36.0
02/22/2018,985.0,987.0,970.0,986.0,1384.0,61.0
02/25/2018,1005.0,1012.0,988.0,993.0,1544.0,63.0
02/26/2018,992.0,993.0,981.0,987.0,1821.0,36.0
02/27/2018,988.0,991.0,988.0,988.0,286.0,10.0
02/28/2018,991.0,992.0,981.0,982.0,4283.0,51.0
03/01/2018,995.0,998.0,995.0,997.0,531.0,25.0
03/04/2018,1006.0,1012.0,994.0,996.0,2554.0,81.0
03/05/2018,995.0,997.0,988.0,989.0,211.0,26.0
03/06/2018,994.0,994.0,988.0,989.0,1293.0,66.0
03/07/2018,989.0,998.0,981.0,986.0,96.0,11.0
03/08/2018,1002.0,1002.0,978.0,981.0,1030.0,56.0
03/11/2018,979.0,987.0,978.0,980.0,578.0,30.0
03/12/2018,981.0,981.0,969.0,971.0,875.0,71.0
03/13/2018,972.0,975.0,953.0,962.0,285.0,33.0
03/14/2018,962.0,973.0,962.0,968.0,763.0,62.0
03/15/2018,954.0,976.0,954.0,975.0,362.0,38.0
03/18/2018,993.0,993.0,963.0,970.0,1334.0,142.0
03/19/2018,968.0,968.0,965.0,966.0,475.0,43.0
03/20/2018,966.0,975.0,966.0,968.0,1856.0,130.0
03/21/2018,966.0,975.0,966.0,968.0,1856.0,0.0
03/22/2018,956.0,956.0,935.0,935.0,4170.0,151.0
03/25/2018,937.0,937.0,919.0,920.0,1446.0,56.0
03/27/2018,938.0,944.0,934.0,942.0,453.0,23.0
03/28/2018,938.0,938.0,916.0,916.0,563.0,58.0
03/29/2018,903.0,916.0,900.0,908.0,1741.0,62.0
04/01/2018,901.0,936.0,901.0,934.0,805.0,36.0
04/02/2018,944.0,944.0,926.0,928.0,69.0,8.0
04/03/2018,926.0,931.0,922.0,924.0,144.0,17.0
04/04/2018,934.0,938.0,924.0,927.0,322.0,27.0
04/05/2018,928.0,934.0,928.0,934.0,192.0,14.0
04/08/2018,931.0,934.0,926.0,929.0,802.0,50.0
04/09/2018,925.0,928.0,925.0,927.0,59.0,11.0
04/10/2018,926.0,926.0,919.0,921.0,344.0,33.0
04/11/2018,918.0,918.0,911.0,914.0,669.0,46.0
04/12/2018,907.0,916.0,906.0,912.0,1077.0,36.0
04/15/2018,912.0,912.0,909.0,911.0,373.0,28.0
04/16/2018,911.0,934.0,909.0,929.0,2720.0,113.0
04/17/2018,928.0,937.0,925.0,928.0,898.0,43.0
04/18/2018,913.0,921.0,913.0,915.0,702.0,46.0
04/19/2018,916.0,925.0,911.0,918.0,821.0,88.0
04/22/2018,924.0,924.0,906.0,910.0,704.0,49.0
04/23/2018,913.0,919.0,912.0,917.0,349.0,21.0
04/24/2018,919.0,925.0,906.0,907.0,1453.0,93.0
04/25/2018,912.0,912.0,906.0,906.0,1893.0,48.0
04/26/2018,912.0,912.0,906.0,906.0,1533.0,67.0
04/30/2018,906.0,928.0,900.0,905.0,277.0,30.0
05/03/2018,901.0,912.0,901.0,902.0,341.0,42.0
05/06/2018,903.0,903.0,895.0,898.0,843.0,44.0
