date,open,high,low,close,volume,trade
01/26/2022,11.0,11.0,11.0,11.0,40265.0,58.0
01/27/2022,12.1,12.1,12.1,12.1,108537.0,154.0
01/30/2022,13.3,13.3,13.3,13.3,3918716.0,1262.0
01/31/2022,14.6,14.6,13.0,13.2,65931798.0,62619.0
02/01/2022,13.2,13.3,12.8,13.1,17690397.0,19765.0
02/02/2022,13.0,13.1,12.7,12.8,19290223.0,10861.0
02/03/2022,12.8,14.0,12.6,14.0,30513155.0,19003.0
02/06/2022,14.3,14.5,13.7,13.8,21990501.0,14939.0
02/07/2022,13.6,13.7,13.2,13.2,12002999.0,7638.0
02/08/2022,13.2,13.9,13.1,13.5,11632734.0,6292.0
02/09/2022,13.5,13.7,13.4,13.5,8361726.0,5410.0
02/10/2022,13.5,13.6,13.3,13.3,9135279.0,5327.0
02/13/2022,13.4,13.9,13.3,13.7,13319448.0,9424.0
02/14/2022,13.8,14.0,13.6,13.7,16926351.0,10728.0
02/15/2022,13.6,13.7,13.3,13.4,7803656.0,3530.0
02/16/2022,13.5,13.5,13.2,13.2,6559286.0,3587.0
02/17/2022,13.2,13.3,13.0,13.1,8509623.0,6745.0
02/20/2022,13.1,13.1,12.8,12.9,8025176.0,6544.0
02/22/2022,12.9,13.0,12.8,12.8,5474847.0,4329.0
02/23/2022,12.9,13.3,12.8,12.9,6647440.0,4994.0
02/24/2022,13.0,13.0,12.6,12.7,8017407.0,4961.0
02/27/2022,12.7,12.7,12.0,12.1,13927103.0,9761.0
02/28/2022,12.2,12.4,12.1,12.2,6288565.0,6040.0
03/01/2022,12.3,12.6,12.1,12.2,10418347.0,9588.0
03/02/2022,12.3,12.3,12.0,12.1,6266192.0,4701.0
03/03/2022,12.0,12.3,11.9,12.1,7797354.0,5478.0
03/06/2022,12.2,12.2,12.0,12.0,3235718.0,1416.0
03/07/2022,12.1,12.2,11.8,11.8,8779384.0,2854.0
03/08/2022,11.9,12.1,11.6,12.0,5753700.0,2260.0
03/09/2022,12.1,12.3,11.9,12.2,7414495.0,1683.0
03/10/2022,12.3,13.3,12.3,12.9,18045608.0,5467.0
03/13/2022,13.0,13.0,12.7,12.8,7715936.0,2410.0
03/14/2022,12.8,12.8,12.6,12.6,9918668.0,2450.0
03/15/2022,12.6,12.6,12.4,12.5,5621227.0,1653.0
03/16/2022,12.6,12.7,12.5,12.6,5489234.0,1612.0
03/20/2022,12.7,12.7,12.4,12.4,3845456.0,1259.0
03/21/2022,12.4,12.4,12.2,12.2,3496719.0,1257.0
03/22/2022,12.3,12.5,12.3,12.4,2712189.0,1139.0
03/23/2022,12.4,12.5,12.3,12.3,3429908.0,1383.0
03/24/2022,12.3,12.4,12.2,12.3,3188894.0,1214.0
03/27/2022,12.3,12.4,12.1,12.2,2937138.0,1159.0
03/28/2022,12.3,12.3,12.1,12.1,2099170.0,1104.0
03/29/2022,12.3,12.3,12.1,12.1,2816660.0,1418.0
03/30/2022,12.1,12.2,12.0,12.1,2032392.0,1160.0
03/31/2022,12.2,12.2,12.0,12.0,3126212.0,1237.0
04/03/2022,12.0,12.2,12.0,12.0,2084914.0,813.0
04/04/2022,12.0,12.1,11.9,11.9,2404131.0,772.0
04/05/2022,11.9,12.0,11.8,11.8,2006504.0,844.0
04/06/2022,11.8,11.9,11.7,11.8,1804372.0,876.0
04/07/2022,11.8,12.0,11.7,11.9,2260358.0,1159.0
04/10/2022,11.9,12.0,11.8,11.8,1745499.0,670.0
04/11/2022,11.8,11.9,11.7,11.7,1509672.0,701.0
04/12/2022,11.7,11.8,11.6,11.6,1579542.0,867.0
04/13/2022,11.6,11.7,11.5,11.6,1941737.0,1032.0
04/17/2022,11.7,11.7,11.6,11.6,1367864.0,1107.0
04/18/2022,11.6,11.6,11.4,11.4,2876174.0,2240.0
04/19/2022,11.4,11.5,11.2,11.5,2938795.0,1717.0
04/20/2022,11.5,11.9,11.5,11.9,3100874.0,1756.0
04/21/2022,11.9,12.1,11.7,12.0,4188830.0,2731.0
04/24/2022,12.1,12.6,12.0,12.3,6472301.0,3426.0
04/25/2022,12.3,12.4,12.0,12.1,4315163.0,2573.0
04/26/2022,12.1,12.2,11.9,12.0,3008970.0,1235.0
04/27/2022,12.0,12.1,11.9,12.1,2921810.0,1164.0
04/28/2022,12.1,12.1,11.7,11.8,4628055.0,2481.0
05/05/2022,12.0,12.1,11.7,11.9,3379421.0,1543.0
05/08/2022,11.9,12.0,11.6,11.7,6763806.0,3497.0
05/09/2022,11.7,11.8,11.7,11.8,4055618.0,2637.0
05/10/2022,11.8,11.9,11.7,11.7,4935704.0,2590.0
05/11/2022,11.7,11.8,11.6,11.6,4445081.0,2498.0
05/12/2022,11.6,11.6,11.4,11.4,4576122.0,3285.0
05/16/2022,11.4,11.5,11.1,11.2,6999604.0,6195.0
05/17/2022,11.3,11.3,11.0,11.2,5109638.0,2957.0
05/18/2022,11.3,11.3,10.9,11.0,4167037.0,2940.0
05/19/2022,11.0,11.0,10.8,11.0,3260954.0,1414.0
05/22/2022,10.8,11.0,10.7,10.8,4459396.0,2254.0
05/23/2022,11.0,11.1,10.8,11.0,2994539.0,1248.0
05/24/2022,11.0,11.1,10.9,10.9,3983867.0,1114.0
05/25/2022,10.9,11.0,10.8,10.9,3187939.0,1088.0
05/26/2022,10.9,11.0,10.8,10.9,4741906.0,2564.0
05/29/2022,11.0,11.3,11.0,11.2,5891429.0,2625.0
05/30/2022,11.0,11.3,11.0,11.2,5891429.0,0.0
05/31/2022,11.0,11.0,11.0,11.0,688470.0,251.0
06/01/2022,10.8,11.0,10.8,10.9,7746766.0,2151.0
06/02/2022,10.9,11.0,10.8,10.9,2500910.0,1216.0
06/05/2022,10.9,10.9,10.7,10.7,3715863.0,1048.0
06/06/2022,10.8,11.2,10.7,11.0,6885189.0,1360.0
06/07/2022,11.0,11.1,10.9,11.0,3413139.0,1028.0
06/08/2022,11.0,11.0,10.8,10.9,3286256.0,986.0
06/09/2022,10.9,11.0,10.8,10.8,1926188.0,856.0
06/12/2022,10.8,10.9,10.7,10.7,1473945.0,758.0
06/13/2022,10.7,10.8,10.6,10.6,2683657.0,1026.0
06/14/2022,10.6,10.7,10.5,10.5,2414427.0,977.0
06/15/2022,10.6,10.7,10.5,10.5,2400772.0,1013.0
06/16/2022,10.6,10.6,10.5,10.5,1998128.0,1020.0
06/19/2022,10.6,10.6,10.3,10.4,2609022.0,1420.0
06/20/2022,10.4,10.4,10.2,10.3,2558526.0,1412.0
06/21/2022,10.3,10.3,10.2,10.2,1748796.0,843.0
06/22/2022,10.2,10.4,10.2,10.2,1647734.0,920.0
06/23/2022,10.3,10.5,10.2,10.3,2165338.0,879.0
06/26/2022,10.3,10.4,10.2,10.2,1707584.0,736.0
06/27/2022,10.3,10.3,10.1,10.3,2989712.0,1027.0
06/28/2022,10.3,10.4,10.2,10.2,1536415.0,886.0
06/29/2022,10.3,10.5,10.2,10.3,2555675.0,744.0
06/30/2022,10.3,10.3,10.1,10.3,6726621.0,1826.0
07/03/2022,10.1,10.1,10.1,10.1,1454984.0,351.0
07/04/2022,9.9,9.9,9.9,9.9,666439.0,438.0
07/05/2022,9.8,9.8,9.8,9.8,455558.0,366.0
07/06/2022,9.7,9.7,9.7,9.7,562772.0,260.0
07/07/2022,9.6,10.2,9.6,9.9,13014973.0,2748.0
07/12/2022,9.9,10.0,9.8,9.8,2619049.0,961.0
07/13/2022,9.7,9.9,9.7,9.7,4940243.0,1281.0
07/14/2022,9.7,9.8,9.6,9.7,2080797.0,686.0
07/17/2022,9.7,9.8,9.7,9.7,2549860.0,731.0
07/18/2022,9.7,9.8,9.6,9.6,3937351.0,1356.0
07/19/2022,9.5,9.6,9.5,9.5,3614693.0,1146.0
07/20/2022,9.5,9.6,9.4,9.6,2366632.0,681.0
07/21/2022,9.6,9.7,9.5,9.5,2095013.0,983.0
07/24/2022,9.5,9.5,9.4,9.4,1935614.0,733.0
07/25/2022,9.3,9.5,9.3,9.4,2442652.0,887.0
07/26/2022,9.4,9.6,9.3,9.4,2464879.0,964.0
07/27/2022,9.5,9.5,9.3,9.3,1976851.0,711.0
07/28/2022,9.3,9.3,9.2,9.2,1532285.0,761.0
07/31/2022,9.3,9.4,9.3,9.3,1115087.0,519.0
08/01/2022,9.4,9.4,9.3,9.3,2095525.0,692.0
08/02/2022,9.3,9.5,9.3,9.5,3194602.0,970.0
08/03/2022,9.6,10.2,9.5,9.8,7070902.0,1733.0
08/04/2022,9.9,9.9,9.5,9.7,2927027.0,684.0
08/07/2022,9.7,9.8,9.5,9.5,3553222.0,615.0
08/08/2022,9.5,9.6,9.3,9.4,2425620.0,739.0
08/10/2022,9.4,9.5,9.3,9.3,1440313.0,753.0
08/11/2022,9.3,9.4,9.3,9.3,956747.0,524.0
08/14/2022,9.4,9.4,9.3,9.3,1563211.0,922.0
08/16/2022,9.3,9.4,9.3,9.3,2575112.0,1059.0
08/17/2022,9.4,9.4,9.3,9.3,2503191.0,1410.0
08/21/2022,9.3,9.4,9.3,9.3,2177482.0,1182.0
08/22/2022,9.3,9.4,9.3,9.3,1913208.0,1554.0
08/23/2022,9.3,9.4,9.3,9.3,2919891.0,1403.0
08/24/2022,9.3,9.3,9.3,9.3,465561.0,413.0
08/25/2022,9.3,9.3,9.3,9.3,1257418.0,685.0
08/28/2022,9.3,9.6,9.3,9.4,8064957.0,3070.0
08/29/2022,9.4,9.5,9.3,9.4,3452811.0,1292.0
08/30/2022,9.4,9.4,9.3,9.3,4335559.0,1261.0
08/31/2022,9.3,9.5,9.3,9.4,7330192.0,1898.0
09/01/2022,9.4,9.5,9.4,9.5,3581541.0,1566.0
09/04/2022,9.5,9.5,9.3,9.3,4327025.0,705.0
09/05/2022,9.3,9.4,9.3,9.3,3300751.0,1240.0
09/06/2022,9.3,9.4,9.3,9.3,1441435.0,613.0
09/07/2022,9.3,9.3,9.3,9.3,351905.0,139.0
09/08/2022,9.3,9.3,9.3,9.3,164655.0,114.0
09/11/2022,9.3,9.3,9.3,9.3,286742.0,125.0
09/12/2022,9.3,9.3,9.3,9.3,410460.0,133.0
09/13/2022,9.3,9.3,9.3,9.3,179927.0,272.0
09/14/2022,9.3,9.3,9.3,9.3,14316.0,24.0
09/15/2022,9.3,9.3,9.3,9.3,45390.0,31.0
09/18/2022,9.3,9.3,9.3,9.3,39828.0,40.0
09/19/2022,9.3,9.3,9.3,9.3,24745.0,40.0
09/20/2022,9.3,9.3,9.3,9.3,34945.0,48.0
09/21/2022,9.3,9.3,9.3,9.3,32716.0,43.0
09/22/2022,9.3,9.3,9.3,9.3,70288.0,43.0
09/25/2022,9.3,9.3,9.3,9.3,39657.0,36.0
09/26/2022,9.3,9.3,9.3,9.3,38605.0,30.0
09/27/2022,9.3,9.3,9.3,9.3,44100.0,46.0
09/28/2022,9.3,9.3,9.3,9.3,38406.0,33.0
09/29/2022,9.3,9.3,9.3,9.3,266590.0,74.0
10/02/2022,9.3,9.3,9.3,9.3,173004.0,112.0
10/03/2022,9.3,9.3,9.3,9.3,56510.0,43.0
10/04/2022,9.3,9.3,9.3,9.3,17660.0,25.0
10/06/2022,9.3,9.3,9.3,9.3,14662.0,19.0
10/10/2022,9.3,9.3,9.3,9.3,30734.0,28.0
10/11/2022,9.3,9.3,9.3,9.3,7082.0,22.0
10/12/2022,9.3,9.3,9.3,9.3,3899.0,16.0
10/13/2022,9.3,9.3,9.3,9.3,7421.0,10.0
10/16/2022,9.3,9.3,9.3,9.3,11780.0,23.0
10/17/2022,9.3,9.3,9.3,9.3,30303.0,18.0
10/18/2022,9.3,9.3,9.3,9.3,23910.0,14.0
10/19/2022,9.3,9.3,9.3,9.3,39685.0,23.0
10/20/2022,9.3,9.3,9.3,9.3,31656.0,51.0
10/23/2022,9.3,9.3,9.3,9.3,4838.0,11.0
10/24/2022,9.3,9.3,9.3,9.3,2327.0,9.0
10/25/2022,9.3,9.3,9.3,9.3,1515.0,9.0
10/26/2022,9.3,9.3,9.3,9.3,7460.0,24.0
10/27/2022,9.3,9.3,9.3,9.3,6192.0,21.0
10/30/2022,9.3,9.3,9.3,9.3,1526.0,15.0
10/31/2022,9.3,9.3,9.3,9.3,43114.0,55.0
11/01/2022,9.3,9.3,9.3,9.3,87694.0,40.0
11/02/2022,9.3,9.3,9.3,9.3,124418.0,125.0
11/03/2022,9.3,9.3,9.3,9.3,41861.0,61.0
11/06/2022,9.3,9.3,9.3,9.3,19942.0,36.0
11/07/2022,9.3,9.3,9.3,9.3,50449.0,88.0
11/08/2022,9.3,9.3,9.3,9.3,176542.0,228.0
11/09/2022,9.3,9.3,9.3,9.3,35512.0,34.0
11/10/2022,9.3,9.3,9.3,9.3,11431.0,13.0
11/13/2022,9.3,9.3,9.3,9.3,3851.0,13.0
11/14/2022,9.3,9.3,9.3,9.3,16577.0,14.0
11/15/2022,9.3,9.3,9.3,9.3,69796.0,20.0
11/16/2022,9.3,9.3,9.3,9.3,37474.0,28.0
11/17/2022,9.3,9.3,9.3,9.3,11515.0,8.0
11/20/2022,9.3,9.3,9.3,9.3,1.0,1.0
11/21/2022,9.3,9.3,9.3,9.3,2683.0,9.0
11/22/2022,9.3,9.3,9.3,9.3,571.0,3.0
11/23/2022,9.3,9.3,9.3,9.3,4617.0,7.0
11/24/2022,9.3,9.3,9.3,9.3,3567.0,13.0
11/27/2022,9.3,9.3,9.3,9.3,6770.0,14.0
11/28/2022,9.3,9.3,9.3,9.3,914.0,6.0
11/29/2022,9.3,9.3,9.3,9.3,14688.0,7.0
11/30/2022,9.3,9.3,9.3,9.3,1645.0,4.0
12/01/2022,9.3,9.3,9.3,9.3,14851.0,18.0
12/04/2022,9.3,9.3,9.3,9.3,523.0,6.0
12/05/2022,9.3,9.3,9.3,9.3,8390.0,16.0
12/06/2022,9.3,9.3,9.3,9.3,2159.0,7.0
12/07/2022,9.3,9.3,9.3,9.3,50.0,1.0
12/08/2022,9.3,9.3,9.3,9.3,3914.0,6.0
12/11/2022,9.3,9.3,9.3,9.3,595.0,4.0
12/12/2022,9.3,9.3,9.3,9.3,1562.0,6.0
12/13/2022,9.3,9.3,9.3,9.3,882.0,5.0
12/14/2022,9.3,9.3,9.3,9.3,12638.0,16.0
12/15/2022,9.3,9.3,9.3,9.3,1468.0,4.0
12/18/2022,9.3,9.3,9.3,9.3,3784.0,6.0
12/19/2022,9.3,9.3,9.3,9.3,7.0,1.0
12/20/2022,9.3,9.3,9.3,9.3,30708.0,11.0
12/21/2022,9.3,9.3,9.3,9.3,726.0,6.0
12/22/2022,9.3,9.3,9.3,9.3,42.0,5.0
12/26/2022,9.3,9.3,9.3,9.3,1235.0,6.0
12/27/2022,9.3,9.3,9.3,9.3,1162.0,10.0
12/28/2022,9.3,9.3,9.3,9.3,2179.0,12.0
12/29/2022,9.3,9.3,9.3,9.3,4180.0,5.0
01/01/2023,9.3,9.3,9.3,9.3,287.0,5.0
01/02/2023,9.3,9.3,9.3,9.3,3430.0,26.0
01/03/2023,9.3,9.3,9.3,9.3,5650.0,19.0
01/04/2023,9.3,9.3,9.3,9.3,9914.0,30.0
01/05/2023,9.3,9.3,9.3,9.3,1163.0,8.0
01/08/2023,9.3,9.3,9.3,9.3,299.0,5.0
01/09/2023,9.3,9.3,9.3,9.3,2134.0,5.0
01/10/2023,9.3,9.3,9.3,9.3,6001.0,2.0
01/11/2023,9.3,9.3,9.3,9.3,4976.0,14.0
01/12/2023,9.3,9.3,9.3,9.3,18672.0,9.0
01/15/2023,9.3,9.3,9.3,9.3,818.0,5.0
01/16/2023,9.3,9.3,9.3,9.3,1555.0,12.0
01/17/2023,9.3,9.3,9.3,9.3,7134.0,16.0
01/18/2023,9.3,9.3,9.3,9.3,13877.0,16.0
01/19/2023,9.3,9.3,9.3,9.3,4702.0,12.0
01/22/2023,9.3,9.3,9.3,9.3,5410.0,13.0
01/23/2023,9.3,9.3,9.3,9.3,2815.0,12.0
01/24/2023,9.3,9.3,9.3,9.3,2620.0,12.0
01/25/2023,9.3,9.3,9.3,9.3,1580.0,5.0
01/26/2023,9.3,9.3,9.3,9.3,4833.0,17.0
