date,open,high,low,close,volume,trade
01/16/2022,11.0,11.0,11.0,11.0,769.0,27.0
01/17/2022,12.1,12.1,12.1,12.1,618.0,26.0
01/18/2022,13.3,13.3,13.3,13.3,381.0,14.0
01/19/2022,14.6,14.6,14.6,14.6,711.0,27.0
01/20/2022,16.0,16.0,16.0,16.0,527.0,20.0
01/23/2022,17.6,17.6,17.6,17.6,843.0,27.0
01/24/2022,19.3,19.3,19.3,19.3,497.0,17.0
01/25/2022,21.2,21.2,21.2,21.2,660.0,26.0
01/26/2022,23.3,23.3,23.3,23.3,620.0,21.0
01/27/2022,25.6,25.6,25.6,25.6,1199.0,37.0
01/30/2022,28.1,28.1,28.1,28.1,2721.0,97.0
01/31/2022,30.9,30.9,30.9,30.9,7968.0,122.0
02/01/2022,33.9,33.9,33.9,33.9,7916.0,117.0
02/02/2022,37.2,37.2,37.2,37.2,3497.0,128.0
02/03/2022,40.9,40.9,40.9,40.9,27013.0,301.0
02/06/2022,44.9,44.9,44.9,44.9,19354.0,467.0
02/07/2022,49.3,49.3,49.3,49.3,20284.0,614.0
02/08/2022,54.2,54.2,54.2,54.2,49537.0,1275.0
02/09/2022,59.6,59.6,59.6,59.6,370972.0,8286.0
02/10/2022,65.5,65.5,65.5,65.5,1327156.0,31900.0
02/13/2022,65.4,68.0,61.0,64.0,4177506.0,89462.0
02/14/2022,62.4,63.9,60.4,60.7,1422619.0,25787.0
02/15/2022,60.1,60.1,58.1,58.5,1367718.0,13054.0
02/16/2022,58.0,58.8,54.5,54.7,1612533.0,9365.0
02/17/2022,54.2,56.3,53.9,54.7,750605.0,9701.0
02/20/2022,55.1,55.5,51.7,52.0,777180.0,7837.0
02/22/2022,52.1,54.8,52.1,53.8,895765.0,6164.0
02/23/2022,53.7,54.4,52.8,53.5,643273.0,3804.0
02/24/2022,53.5,53.6,49.5,50.3,733088.0,4262.0
02/27/2022,50.3,50.4,45.4,45.7,990876.0,5268.0
02/28/2022,45.5,47.5,45.5,46.2,525547.0,3154.0
03/01/2022,46.6,48.9,46.2,46.5,1116078.0,5056.0
03/02/2022,46.9,47.4,45.4,46.2,616457.0,3725.0
03/03/2022,45.9,48.2,45.8,46.9,891670.0,3968.0
03/06/2022,47.6,47.8,46.1,46.4,514348.0,1900.0
03/07/2022,46.6,47.1,44.5,44.7,759284.0,2080.0
03/08/2022,44.9,45.6,43.5,44.5,803241.0,1895.0
03/09/2022,45.1,47.0,45.1,46.7,782032.0,1803.0
03/10/2022,47.0,48.5,46.8,47.1,874297.0,2011.0
03/13/2022,47.8,47.8,46.2,46.6,610515.0,1644.0
03/14/2022,46.6,47.9,46.4,46.6,714232.0,2081.0
03/15/2022,46.6,46.9,45.9,46.0,622043.0,1455.0
03/16/2022,46.1,46.2,45.1,45.3,309232.0,1225.0
03/20/2022,45.1,45.4,44.4,44.4,240572.0,761.0
03/21/2022,44.1,44.6,43.6,43.7,402096.0,1193.0
03/22/2022,43.7,44.4,43.1,43.5,364576.0,1083.0
