date,open,high,low,close,volume,trade
01/01/2018,57.5,57.5,56.5,57.0,242256.0,337.0
01/02/2018,57.4,58.0,57.4,57.9,410112.0,1239.0
01/03/2018,59.9,60.0,58.5,58.9,402265.0,417.0
01/04/2018,59.1,59.2,57.0,57.7,341672.0,431.0
01/07/2018,57.7,58.2,57.0,57.1,235864.0,375.0
01/08/2018,57.9,57.9,55.7,56.1,469411.0,484.0
01/09/2018,56.9,56.9,55.2,55.6,548469.0,421.0
01/10/2018,55.7,56.5,55.4,55.8,440541.0,552.0
01/11/2018,56.0,56.9,55.1,56.4,303262.0,392.0
01/14/2018,56.5,56.5,55.7,55.8,119430.0,169.0
01/15/2018,55.6,56.0,54.6,54.6,242465.0,300.0
01/16/2018,55.5,56.0,54.4,55.7,255805.0,316.0
01/17/2018,55.4,56.2,55.2,55.4,166037.0,215.0
01/18/2018,55.3,55.7,54.8,54.9,153844.0,171.0
01/21/2018,55.1,56.9,55.1,56.4,477343.0,385.0
01/22/2018,57.2,58.1,56.8,57.5,1148924.0,1025.0
01/23/2018,57.5,57.9,56.9,57.3,514611.0,541.0
01/24/2018,57.3,57.6,56.3,56.7,372141.0,301.0
01/25/2018,56.6,57.2,56.2,56.5,374109.0,393.0
01/28/2018,56.4,56.4,55.0,55.0,225903.0,284.0
01/29/2018,55.4,57.7,55.3,56.6,591921.0,450.0
01/30/2018,56.8,56.8,55.6,55.9,258886.0,277.0
01/31/2018,56.6,56.6,54.5,54.7,269494.0,264.0
02/01/2018,55.5,55.5,54.0,54.1,161772.0,200.0
02/04/2018,54.3,54.8,53.3,54.3,143262.0,233.0
02/05/2018,53.5,55.0,53.4,54.6,204832.0,225.0
02/06/2018,55.3,57.2,55.0,56.8,773799.0,614.0
02/07/2018,57.0,57.3,55.9,56.7,663741.0,602.0
02/08/2018,56.7,57.0,56.4,56.8,291345.0,267.0
02/11/2018,56.5,57.7,56.3,57.4,402052.0,311.0
02/12/2018,57.4,57.4,56.3,56.5,305667.0,292.0
02/13/2018,56.5,58.2,56.5,57.9,1127683.0,984.0
02/14/2018,58.3,61.3,57.8,60.9,2902909.0,1932.0
02/15/2018,61.2,63.3,61.2,62.9,4428555.0,2884.0
02/18/2018,63.3,63.6,60.7,62.0,2354163.0,2111.0
02/19/2018,62.3,63.0,60.9,62.0,1932516.0,1614.0
02/20/2018,62.8,64.3,62.1,63.2,4400963.0,3125.0
02/22/2018,63.5,63.9,61.9,62.3,1346211.0,953.0
02/25/2018,62.4,63.7,61.6,63.4,2683174.0,1980.0
02/26/2018,63.9,64.2,61.5,61.9,1887906.0,1366.0
02/27/2018,62.6,62.6,59.2,59.6,1972924.0,1603.0
02/28/2018,59.8,60.6,58.1,58.3,1201627.0,1238.0
03/01/2018,58.6,60.9,58.1,60.5,1103622.0,1109.0
03/04/2018,60.8,61.2,59.6,60.1,1001989.0,879.0
03/05/2018,60.3,60.3,58.5,58.9,1356091.0,1227.0
03/06/2018,59.3,60.4,58.7,59.7,772434.0,849.0
03/07/2018,60.1,61.0,59.9,60.4,1317943.0,1293.0
03/08/2018,60.5,60.9,59.8,60.7,558400.0,602.0
03/11/2018,60.9,61.2,59.9,60.1,502866.0,570.0
03/12/2018,60.0,60.0,57.4,57.9,901823.0,744.0
03/13/2018,58.1,58.1,56.4,57.3,456282.0,454.0
03/14/2018,58.0,58.9,57.2,58.5,405236.0,483.0
03/15/2018,58.5,58.7,57.6,58.5,409126.0,448.0
03/18/2018,58.5,59.2,58.0,58.3,364994.0,429.0
03/19/2018,58.3,58.3,56.5,56.7,422957.0,503.0
03/20/2018,56.7,57.6,56.2,57.1,492008.0,551.0
03/21/2018,56.8,57.7,56.5,57.1,400111.0,512.0
03/22/2018,57.1,62.5,57.1,60.2,1603206.0,1166.0
03/25/2018,60.4,61.2,59.6,59.9,932361.0,687.0
03/27/2018,59.3,59.4,58.5,58.6,525460.0,526.0
03/28/2018,58.6,59.0,58.0,58.7,408684.0,393.0
03/29/2018,58.7,59.4,58.3,58.9,495666.0,466.0
04/01/2018,58.6,60.0,58.6,59.3,500775.0,457.0
04/02/2018,59.9,62.3,59.8,61.0,3064406.0,2019.0
04/03/2018,61.1,61.9,59.8,60.1,1561539.0,1329.0
04/04/2018,60.2,62.4,60.2,62.1,2108154.0,1551.0
04/05/2018,62.4,63.3,61.6,61.9,2434314.0,1851.0
04/08/2018,62.0,62.0,60.0,60.4,2473713.0,1720.0
04/09/2018,60.5,61.5,60.3,60.5,1191742.0,1009.0
04/10/2018,60.9,60.9,58.9,59.2,2857232.0,2116.0
04/11/2018,59.8,60.3,59.0,59.3,876839.0,959.0
04/12/2018,59.2,59.5,58.1,58.3,861593.0,917.0
04/15/2018,58.7,59.2,57.5,57.8,569997.0,651.0
04/16/2018,57.5,58.6,57.2,58.3,506340.0,617.0
04/17/2018,58.6,59.2,57.5,57.8,653748.0,748.0
04/18/2018,57.9,58.0,56.9,57.1,1307977.0,1037.0
04/19/2018,57.5,58.3,57.1,57.4,690651.0,684.0
04/22/2018,57.6,57.7,56.4,56.9,652938.0,545.0
04/23/2018,57.3,57.3,54.9,55.2,736978.0,949.0
04/24/2018,55.5,57.1,55.2,56.6,414762.0,620.0
04/25/2018,56.6,57.3,56.2,56.4,622127.0,651.0
04/26/2018,56.2,56.7,55.7,55.8,348095.0,424.0
04/30/2018,55.7,56.2,55.4,55.6,284677.0,332.0
05/03/2018,56.0,56.8,55.8,56.1,619889.0,647.0
05/06/2018,56.6,56.9,55.5,55.7,367336.0,480.0
05/07/2018,56.2,56.8,55.1,55.3,654343.0,815.0
05/08/2018,55.6,55.6,54.0,54.3,430972.0,524.0
05/09/2018,54.6,54.7,54.0,54.4,360332.0,350.0
05/10/2018,54.5,54.7,53.9,54.4,373974.0,464.0
05/13/2018,54.4,55.3,54.4,54.8,451122.0,643.0
05/14/2018,55.0,55.3,53.7,54.1,511368.0,486.0
05/15/2018,54.5,54.5,53.0,53.3,374181.0,542.0
05/16/2018,53.3,53.5,52.5,52.7,236664.0,387.0
05/17/2018,53.0,53.0,51.6,51.9,261111.0,402.0
05/20/2018,52.0,52.1,50.2,50.3,270011.0,316.0
05/21/2018,50.3,51.7,50.3,51.0,138180.0,237.0
05/22/2018,51.1,51.5,50.6,50.9,208064.0,290.0
05/23/2018,51.5,51.5,48.3,50.1,118705.0,225.0
05/24/2018,51.2,51.2,49.7,50.7,234832.0,333.0
05/27/2018,50.7,53.1,50.7,52.1,501055.0,585.0
05/28/2018,52.8,53.1,51.2,51.4,521944.0,684.0
05/29/2018,51.2,53.7,51.0,52.3,585408.0,608.0
05/30/2018,52.6,54.7,52.6,53.3,997028.0,1159.0
05/31/2018,53.7,56.5,53.7,54.2,913436.0,1012.0
06/03/2018,54.3,54.4,52.2,52.4,773930.0,592.0
06/04/2018,52.4,53.1,51.3,51.8,279815.0,381.0
06/05/2018,51.8,52.6,51.7,52.0,257448.0,412.0
06/06/2018,52.2,54.6,52.2,53.3,1194620.0,893.0
06/07/2018,54.3,54.3,52.0,52.2,323703.0,349.0
06/10/2018,52.5,52.5,51.1,51.2,321141.0,407.0
06/11/2018,51.5,51.9,51.1,51.3,219104.0,272.0
06/12/2018,51.4,51.8,50.8,51.4,202161.0,255.0
06/18/2018,52.2,52.4,51.0,51.5,282246.0,287.0
06/19/2018,51.3,52.4,51.3,52.0,265290.0,248.0
06/20/2018,52.2,53.4,52.0,53.1,531925.0,480.0
06/21/2018,53.0,53.7,52.1,52.6,615381.0,539.0
06/24/2018,53.0,53.2,51.6,52.6,492430.0,534.0
06/25/2018,53.0,53.9,52.5,52.8,568244.0,500.0
06/26/2018,53.0,56.6,53.0,55.8,2383596.0,2181.0
06/27/2018,56.5,59.0,52.0,54.2,1554760.0,1461.0
06/28/2018,54.2,54.4,51.8,52.2,588621.0,928.0
07/02/2018,52.2,52.5,50.7,51.0,514884.0,693.0
07/03/2018,52.3,53.5,50.2,50.4,459453.0,510.0
07/04/2018,51.4,51.5,50.1,50.9,620715.0,590.0
07/05/2018,50.7,52.7,50.7,51.7,905915.0,896.0
07/08/2018,52.3,52.7,51.2,51.4,654161.0,747.0
07/09/2018,51.8,53.8,51.4,52.8,857616.0,879.0
07/10/2018,53.8,55.0,53.2,54.3,1273392.0,1200.0
07/11/2018,54.3,56.0,52.6,53.2,1277531.0,1123.0
07/12/2018,54.0,54.7,52.5,53.3,1102688.0,850.0
07/15/2018,53.8,53.9,51.1,51.4,1445275.0,1253.0
07/16/2018,52.7,53.0,51.5,52.3,649765.0,759.0
07/17/2018,53.2,53.7,51.6,52.0,432167.0,654.0
07/18/2018,51.5,52.6,50.8,51.1,809175.0,981.0
07/19/2018,51.3,52.4,51.2,52.1,600050.0,669.0
07/22/2018,52.4,54.7,52.4,54.1,1734049.0,1482.0
07/23/2018,54.4,55.9,53.6,53.7,1245869.0,1187.0
07/24/2018,52.9,53.8,52.3,52.5,1149607.0,881.0
07/25/2018,52.9,53.5,52.3,52.5,750660.0,711.0
07/26/2018,53.0,53.0,51.5,51.9,961357.0,915.0
07/29/2018,52.5,52.5,51.3,51.5,502492.0,522.0
07/30/2018,51.5,52.4,51.2,51.4,373704.0,
07/31/2018,51.4,52.4,51.4,51.8,425644.0,472.0
08/01/2018,52.0,52.4,51.6,51.8,445833.0,452.0
08/02/2018,52.2,52.2,51.5,51.7,397581.0,387.0
08/05/2018,51.6,51.9,51.1,51.3,385251.0,427.0
08/06/2018,51.9,52.8,51.5,51.7,396658.0,353.0
08/07/2018,52.0,52.0,51.3,51.6,512866.0,412.0
08/08/2018,51.8,53.6,51.8,52.8,1328840.0,1179.0
08/09/2018,52.7,54.3,52.7,53.7,1421600.0,1204.0
08/12/2018,53.8,54.4,52.8,53.1,1115646.0,912.0
08/13/2018,52.9,53.3,52.3,52.6,470050.0,527.0
08/14/2018,52.3,53.4,52.3,52.7,216974.0,275.0
08/16/2018,53.2,53.3,52.7,53.0,191539.0,236.0
08/19/2018,52.7,53.3,51.9,52.1,244622.0,265.0
08/20/2018,52.4,52.5,51.9,52.0,217077.0,217.0
08/26/2018,52.5,52.5,51.9,52.1,152681.0,243.0
08/27/2018,52.4,53.0,52.1,52.5,567982.0,391.0
08/28/2018,53.0,53.6,52.4,52.6,501269.0,521.0
08/29/2018,52.7,53.4,52.6,52.9,371893.0,378.0
08/30/2018,53.3,53.7,52.9,53.2,692468.0,724.0
09/03/2018,53.4,56.9,53.4,56.5,3526663.0,2731.0
09/04/2018,56.6,57.0,54.9,56.4,1513647.0,1242.0
09/05/2018,56.7,59.1,56.7,58.1,4788196.0,3011.0
09/06/2018,58.3,58.4,56.1,56.5,1590011.0,1202.0
09/09/2018,56.3,56.3,54.4,54.8,1559609.0,1039.0
09/10/2018,54.9,56.5,54.7,56.1,811547.0,808.0
09/11/2018,56.3,56.6,55.1,55.5,946079.0,866.0
09/12/2018,55.5,55.7,54.0,54.5,1313682.0,807.0
09/13/2018,54.5,57.2,54.5,55.6,1352760.0,1044.0
09/16/2018,55.7,57.7,55.7,55.9,1126694.0,808.0
09/17/2018,57.0,57.0,53.6,53.9,1035511.0,709.0
09/18/2018,54.6,55.2,53.6,53.8,633019.0,487.0
09/19/2018,53.8,55.0,53.3,53.6,421976.0,381.0
09/20/2018,54.0,54.5,53.5,53.6,312508.0,323.0
09/23/2018,54.4,54.4,53.3,53.4,263449.0,211.0
09/24/2018,53.3,54.8,52.6,52.8,315283.0,383.0
09/25/2018,53.1,55.9,52.6,54.2,763819.0,507.0
09/26/2018,54.6,55.2,54.2,54.6,437842.0,385.0
09/27/2018,53.5,55.0,53.2,54.3,232491.0,317.0
09/30/2018,54.5,55.2,53.5,53.7,389064.0,354.0
10/01/2018,54.3,56.6,54.0,55.0,786155.0,354.0
10/02/2018,55.0,55.8,54.9,55.3,254340.0,321.0
10/03/2018,54.6,55.6,54.6,55.0,250096.0,337.0
10/04/2018,55.0,57.3,54.7,56.8,920448.0,786.0
10/07/2018,56.5,58.4,56.5,58.0,1282294.0,0.0
10/08/2018,57.0,58.4,56.1,56.3,530810.0,
10/09/2018,56.3,56.5,55.6,55.9,391179.0,
10/10/2018,56.7,56.8,55.7,55.9,365274.0,9.0
10/11/2018,56.5,58.2,55.9,57.6,1260694.0,876.0
10/14/2018,57.1,57.5,56.9,57.2,221963.0,291.0
10/15/2018,57.2,57.3,55.9,56.1,329662.0,327.0
10/16/2018,56.1,56.5,55.3,55.5,250695.0,246.0
10/17/2018,55.7,57.0,55.6,56.4,406775.0,363.0
10/18/2018,56.9,56.9,55.6,56.0,257128.0,229.0
10/21/2018,55.6,56.4,53.5,54.5,183766.0,243.0
