date,open,high,low,close,volume,trade
01/01/2018,22.6,22.8,22.4,22.6,113962.0,62.0
01/02/2018,22.8,22.8,22.6,22.6,9018.0,181.0
01/03/2018,23.0,23.2,22.9,23.1,391065.0,179.0
01/04/2018,23.2,24.0,23.0,23.0,265698.0,135.0
01/07/2018,23.0,23.2,22.4,22.5,195108.0,118.0
01/08/2018,22.7,22.9,22.3,22.4,197615.0,128.0
01/09/2018,22.4,22.5,22.2,22.4,147271.0,75.0
01/10/2018,22.4,22.9,22.3,22.6,89764.0,52.0
01/11/2018,22.6,22.9,22.3,22.4,121027.0,58.0
01/14/2018,22.4,22.8,22.3,22.3,62884.0,56.0
01/15/2018,22.4,22.7,22.2,22.2,117072.0,60.0
01/16/2018,22.3,22.7,21.9,22.2,150696.0,124.0
01/17/2018,22.3,22.7,22.2,22.5,87098.0,61.0
01/18/2018,22.3,22.3,21.9,22.0,160806.0,77.0
01/21/2018,22.0,22.3,22.0,22.2,50741.0,45.0
01/22/2018,22.5,22.6,22.2,22.3,78640.0,26.0
01/23/2018,22.2,22.4,22.0,22.1,154196.0,70.0
01/24/2018,22.1,22.4,22.1,22.4,64839.0,45.0
01/25/2018,22.4,22.9,22.3,22.6,315191.0,166.0
01/28/2018,22.4,22.6,22.2,22.4,111311.0,44.0
01/29/2018,22.7,22.7,22.2,22.3,52238.0,51.0
01/30/2018,22.3,22.5,22.2,22.3,21915.0,23.0
01/31/2018,22.1,22.2,21.9,22.0,92313.0,64.0
02/01/2018,22.1,22.1,21.7,21.8,129035.0,87.0
02/04/2018,21.6,21.9,20.6,20.8,240286.0,125.0
02/05/2018,20.0,21.0,20.0,20.7,53256.0,28.0
02/06/2018,21.2,21.3,20.9,21.1,44900.0,48.0
02/07/2018,21.0,21.2,20.8,21.0,20346.0,25.0
02/08/2018,21.0,21.1,20.8,21.0,124186.0,48.0
02/11/2018,21.1,21.6,21.0,21.4,30566.0,34.0
02/12/2018,21.4,21.6,21.1,21.2,119738.0,68.0
02/13/2018,21.2,21.3,21.2,21.3,24746.0,32.0
02/14/2018,21.6,21.6,21.0,21.1,103485.0,102.0
02/15/2018,21.1,21.2,20.9,21.0,98193.0,75.0
02/18/2018,20.9,21.0,20.5,20.5,49340.0,64.0
02/19/2018,20.5,20.5,20.0,20.2,49876.0,45.0
02/20/2018,20.3,20.5,20.0,20.2,41968.0,37.0
02/22/2018,20.3,20.5,20.2,20.3,49292.0,74.0
02/25/2018,20.6,20.9,20.0,20.1,98248.0,87.0
02/26/2018,20.1,20.1,19.0,19.4,144300.0,104.0
02/27/2018,19.3,19.7,19.3,19.5,44070.0,65.0
02/28/2018,19.6,19.8,19.4,19.5,109906.0,98.0
03/01/2018,19.5,19.8,19.4,19.7,76309.0,62.0
03/04/2018,19.7,20.0,19.7,19.8,45678.0,37.0
03/05/2018,19.8,19.9,19.5,19.7,20987.0,30.0
03/06/2018,19.2,19.8,19.2,19.5,22506.0,52.0
03/07/2018,19.5,19.6,19.3,19.4,48797.0,69.0
03/08/2018,19.6,19.6,19.1,19.2,346500.0,90.0
03/11/2018,19.3,19.4,19.0,19.3,125110.0,58.0
03/12/2018,19.2,19.6,18.6,19.4,238087.0,188.0
03/13/2018,19.3,19.6,18.4,18.6,257615.0,216.0
03/14/2018,18.8,19.0,18.2,18.5,95799.0,94.0
03/15/2018,18.7,19.6,18.6,19.4,233985.0,152.0
03/18/2018,18.7,19.6,18.6,19.4,233985.0,0.0
03/19/2018,19.3,19.3,17.9,18.0,193571.0,193.0
03/20/2018,18.0,18.0,17.8,18.0,58158.0,42.0
03/21/2018,17.9,18.5,17.9,17.9,110400.0,59.0
03/22/2018,17.8,17.8,17.5,17.8,67939.0,85.0
03/25/2018,18.2,18.2,17.7,17.8,57839.0,38.0
03/27/2018,17.5,17.6,17.2,17.5,42431.0,40.0
03/28/2018,17.8,17.8,17.1,17.2,54787.0,45.0
03/29/2018,17.2,18.1,17.2,17.8,335302.0,109.0
04/01/2018,18.0,19.0,18.0,18.7,132249.0,93.0
04/02/2018,18.9,19.5,18.7,19.2,147572.0,99.0
04/03/2018,19.2,19.2,18.3,18.4,63937.0,71.0
04/04/2018,18.9,19.1,18.5,19.0,100235.0,71.0
04/05/2018,19.0,19.0,18.6,18.9,15917.0,22.0
04/08/2018,19.2,20.0,18.7,18.9,99319.0,81.0
04/09/2018,18.8,19.0,18.6,18.6,76447.0,69.0
04/10/2018,18.7,18.9,18.5,18.6,200982.0,107.0
04/11/2018,18.7,18.9,18.5,18.6,37915.0,37.0
04/12/2018,18.6,18.8,17.5,17.8,699062.0,133.0
04/15/2018,17.9,18.0,16.3,16.7,413974.0,107.0
04/16/2018,16.7,17.3,16.7,17.2,549501.0,211.0
04/17/2018,17.3,17.5,17.0,17.4,341504.0,151.0
04/18/2018,17.4,17.9,17.2,17.7,184251.0,97.0
04/19/2018,17.9,17.9,17.8,17.8,96114.0,63.0
04/22/2018,18.0,18.0,17.5,17.7,41302.0,18.0
04/23/2018,17.9,18.0,17.8,18.0,160202.0,85.0
04/24/2018,18.0,18.2,17.9,18.0,168429.0,66.0
04/25/2018,18.3,18.5,17.6,18.2,140960.0,75.0
04/26/2018,18.5,18.5,18.0,18.2,234468.0,113.0
04/30/2018,17.7,18.0,17.0,17.4,77881.0,62.0
05/03/2018,17.6,17.7,17.3,17.4,29211.0,35.0
05/06/2018,17.3,17.7,17.1,17.4,74435.0,82.0
05/07/2018,17.6,17.6,17.2,17.3,36521.0,41.0
05/08/2018,17.2,17.5,17.0,17.1,92785.0,78.0
05/09/2018,17.1,17.6,17.0,17.5,48619.0,46.0
05/10/2018,17.3,17.3,16.8,17.0,104534.0,72.0
05/13/2018,17.4,17.4,17.0,17.1,52750.0,33.0
05/14/2018,17.1,17.3,16.9,17.0,68333.0,47.0
05/15/2018,17.1,17.4,16.9,17.0,37735.0,47.0
05/16/2018,17.0,17.2,16.9,17.1,128115.0,70.0
05/17/2018,17.0,17.1,16.9,17.0,232068.0,45.0
05/20/2018,17.0,17.0,16.7,16.8,75423.0,52.0
05/21/2018,16.8,17.2,16.8,17.1,93756.0,48.0
05/22/2018,17.0,17.2,16.9,17.1,48977.0,45.0
05/23/2018,16.9,17.3,16.9,17.0,44832.0,26.0
05/24/2018,18.7,18.7,17.0,17.2,79047.0,64.0
05/27/2018,17.3,17.5,17.1,17.2,18461.0,27.0
05/28/2018,17.2,17.2,16.9,17.0,61110.0,63.0
05/29/2018,17.0,17.2,16.9,17.0,28432.0,21.0
05/30/2018,17.4,17.4,16.9,17.1,55423.0,49.0
05/31/2018,17.0,17.2,16.9,17.1,88737.0,48.0
06/03/2018,17.1,17.1,17.0,17.0,33600.0,28.0
06/04/2018,17.0,17.2,16.9,17.0,32326.0,30.0
06/05/2018,17.2,17.3,17.1,17.3,50029.0,33.0
06/06/2018,17.3,17.4,17.2,17.3,15599.0,25.0
06/07/2018,17.3,17.3,17.0,17.3,8131.0,9.0
06/10/2018,17.4,17.4,17.1,17.2,13801.0,18.0
06/11/2018,17.3,17.3,17.0,17.1,27282.0,31.0
06/12/2018,16.9,17.3,16.9,17.3,34088.0,26.0
06/18/2018,17.1,17.3,16.8,17.1,9456.0,17.0
06/19/2018,17.1,17.1,16.8,17.1,32179.0,32.0
06/20/2018,17.0,17.3,16.5,16.9,158745.0,124.0
06/21/2018,17.2,17.4,17.0,17.1,77727.0,82.0
06/24/2018,17.1,18.2,17.1,18.1,214389.0,181.0
06/25/2018,17.6,17.7,17.3,17.4,59052.0,47.0
06/26/2018,17.2,17.5,16.8,16.9,159891.0,100.0
06/27/2018,17.2,17.3,16.9,17.1,94844.0,85.0
06/28/2018,17.0,17.0,16.8,16.9,58751.0,50.0
07/02/2018,16.8,17.1,16.6,16.6,31556.0,69.0
07/03/2018,16.7,17.0,16.6,16.6,49389.0,41.0
07/04/2018,16.6,17.0,16.5,16.6,35131.0,45.0
07/05/2018,16.8,16.9,16.5,16.7,113452.0,103.0
07/08/2018,16.8,17.1,16.6,16.8,127484.0,83.0
07/09/2018,16.9,17.0,16.6,16.8,155612.0,94.0
07/10/2018,16.8,17.2,16.7,17.2,248396.0,153.0
07/11/2018,17.3,18.4,17.2,17.4,523800.0,271.0
07/12/2018,17.3,17.8,17.3,17.7,74155.0,73.0
07/15/2018,17.4,17.7,16.7,17.0,107950.0,139.0
07/16/2018,16.8,17.2,16.8,17.0,100679.0,104.0
07/17/2018,17.0,17.1,16.9,17.0,61820.0,42.0
07/18/2018,17.0,17.2,16.8,16.8,28746.0,34.0
07/19/2018,17.0,17.1,16.7,16.9,141553.0,65.0
07/22/2018,16.6,17.0,16.4,16.6,316806.0,188.0
07/23/2018,16.5,17.4,16.5,17.3,55164.0,54.0
07/24/2018,17.0,17.0,16.9,17.0,116109.0,58.0
07/25/2018,16.9,17.5,16.4,17.2,125101.0,106.0
07/26/2018,17.2,17.2,16.3,16.4,268338.0,162.0
07/29/2018,16.6,16.7,16.3,16.4,146843.0,80.0
07/30/2018,16.6,16.7,16.4,16.5,57471.0,
07/31/2018,16.8,16.8,16.5,16.6,58994.0,28.0
08/01/2018,16.9,17.4,16.8,17.3,252121.0,172.0
08/02/2018,16.7,17.9,16.7,17.7,312740.0,225.0
08/05/2018,17.5,17.7,17.3,17.5,97174.0,54.0
08/06/2018,17.3,17.5,17.1,17.2,55642.0,30.0
08/07/2018,17.2,17.4,17.0,17.2,46697.0,37.0
08/08/2018,17.5,17.5,17.1,17.5,150246.0,85.0
08/09/2018,17.3,17.7,17.0,17.2,125659.0,105.0
08/12/2018,17.2,17.8,17.2,17.6,95526.0,93.0
08/13/2018,17.6,17.9,17.4,17.5,96627.0,98.0
08/14/2018,17.3,17.9,17.3,17.7,40091.0,48.0
08/16/2018,17.9,18.1,17.9,18.1,246270.0,177.0
08/19/2018,18.1,19.4,18.1,19.3,668376.0,550.0
08/20/2018,18.9,19.2,18.5,19.1,265384.0,212.0
08/26/2018,18.7,19.5,18.5,18.9,319190.0,204.0
08/27/2018,19.0,19.0,18.4,18.8,211636.0,145.0
08/28/2018,18.8,19.2,18.7,19.1,536981.0,332.0
08/29/2018,19.2,19.2,18.7,19.1,417677.0,267.0
08/30/2018,19.1,19.1,18.6,18.7,360821.0,232.0
09/03/2018,18.7,19.0,18.5,18.5,163300.0,124.0
09/04/2018,18.4,18.7,18.2,18.3,81125.0,76.0
09/05/2018,18.6,18.6,18.1,18.1,280856.0,173.0
09/06/2018,18.2,18.5,18.0,18.4,106428.0,74.0
09/09/2018,18.2,18.5,17.9,18.0,202317.0,114.0
09/10/2018,18.2,18.2,17.8,18.0,279080.0,144.0
09/11/2018,17.9,18.1,17.9,18.0,136198.0,125.0
09/12/2018,17.9,17.9,17.6,17.8,55348.0,71.0
09/13/2018,17.8,17.8,17.4,17.5,167452.0,110.0
09/16/2018,17.2,17.5,17.1,17.2,71467.0,56.0
09/17/2018,17.1,17.4,17.0,17.0,60485.0,58.0
09/18/2018,17.0,17.1,16.8,16.9,177206.0,88.0
09/19/2018,17.2,17.6,17.0,17.4,121499.0,85.0
09/20/2018,17.2,17.3,17.2,17.2,56881.0,45.0
09/23/2018,17.0,17.1,16.9,17.0,60500.0,42.0
09/24/2018,17.0,17.1,16.8,16.8,87894.0,39.0
09/25/2018,17.0,17.1,16.8,16.9,69500.0,37.0
09/26/2018,16.9,16.9,16.7,16.7,326851.0,110.0
09/27/2018,16.7,16.9,16.5,16.6,77704.0,52.0
09/30/2018,16.6,16.8,16.6,16.6,32079.0,22.0
10/01/2018,16.8,17.1,16.8,16.8,124091.0,22.0
10/02/2018,16.9,17.0,16.6,16.8,319780.0,163.0
10/03/2018,17.0,17.6,17.0,17.4,128574.0,108.0
10/04/2018,17.6,17.6,16.9,17.0,124893.0,90.0
10/07/2018,16.9,17.0,16.7,16.8,97477.0,0.0
10/08/2018,16.8,17.1,16.8,17.1,52607.0,
10/09/2018,17.1,17.1,16.8,16.9,60485.0,
10/10/2018,16.9,16.9,16.6,16.6,69145.0,0.0
10/11/2018,16.9,16.9,16.6,16.6,62038.0,28.0
10/14/2018,16.6,16.8,16.6,16.6,156931.0,78.0
10/15/2018,16.6,16.6,16.4,16.4,603190.0,186.0
10/16/2018,16.4,16.8,16.4,16.8,38547.0,51.0
10/17/2018,16.7,16.8,16.5,16.5,31421.0,53.0
10/18/2018,16.8,16.8,16.4,16.6,12400.0,17.0
10/21/2018,17.0,17.3,16.9,17.1,268420.0,213.0
10/22/2018,17.3,17.3,16.4,16.8,41830.0,63.0
10/23/2018,16.9,16.9,16.4,16.6,102915.0,106.0
10/24/2018,16.7,17.0,16.6,16.9,120659.0,97.0
10/25/2018,16.9,17.0,16.7,16.9,96612.0,
10/28/2018,16.7,17.1,16.7,17.0,232267.0,
10/29/2018,17.1,17.2,16.9,17.1,164376.0,
10/30/2018,17.2,17.5,17.0,17.0,238686.0,
10/31/2018,17.1,17.4,17.0,17.0,174598.0,
11/01/2018,17.0,17.2,16.7,16.8,129020.0,
11/04/2018,16.8,17.0,16.8,16.8,99380.0,
11/05/2018,17.1,17.2,16.8,16.9,224108.0,
11/06/2018,16.8,16.9,16.7,16.8,42782.0,
11/07/2018,17.1,17.1,16.8,16.8,74700.0,
11/08/2018,16.8,17.0,16.6,16.7,404267.0,164.0
11/11/2018,16.8,17.1,16.7,17.0,89562.0,116.0
11/12/2018,16.8,17.1,16.7,16.9,56784.0,50.0
11/13/2018,16.9,17.4,16.8,17.2,270457.0,153.0
11/14/2018,17.1,17.3,17.1,17.2,169865.0,73.0
11/15/2018,17.0,17.9,17.0,17.7,399525.0,242.0
11/18/2018,17.6,18.4,17.6,18.1,206465.0,196.0
11/19/2018,18.1,18.2,17.7,18.0,161716.0,110.0
11/20/2018,18.0,18.4,17.8,18.0,300756.0,163.0
11/22/2018,18.0,18.3,17.9,18.0,161288.0,93.0
11/25/2018,18.1,18.1,17.5,17.7,108817.0,73.0
11/26/2018,17.5,17.7,16.8,17.0,470909.0,249.0
11/27/2018,17.1,17.4,17.0,17.3,127819.0,112.0
11/28/2018,17.5,17.8,17.2,17.5,301445.0,108.0
11/29/2018,17.4,17.7,17.2,17.6,244832.0,57.0
12/02/2018,17.3,17.7,17.3,17.6,69638.0,40.0
12/03/2018,17.6,18.0,17.5,17.6,261700.0,122.0
12/04/2018,17.7,18.0,17.6,17.8,174053.0,95.0
12/05/2018,18.2,18.4,17.8,18.1,312293.0,154.0
12/06/2018,18.0,18.0,17.7,17.9,72862.0,53.0
12/09/2018,17.8,17.8,17.5,17.5,95156.0,67.0
12/10/2018,17.5,17.5,17.3,17.5,103345.0,49.0
12/11/2018,17.4,17.8,17.3,17.5,60937.0,30.0
12/12/2018,17.6,17.6,17.2,17.4,45369.0,38.0
12/13/2018,17.4,17.7,17.2,17.4,41762.0,44.0
12/17/2018,17.4,17.5,17.3,17.3,20850.0,22.0
12/18/2018,17.3,17.5,17.3,17.3,34980.0,42.0
12/19/2018,17.3,17.4,17.2,17.3,40585.0,43.0
12/20/2018,17.6,17.6,17.3,17.4,78874.0,68.0
12/23/2018,17.4,17.7,17.4,17.6,25056.0,30.0
12/24/2018,17.7,17.9,17.6,17.7,55537.0,56.0
12/26/2018,17.9,18.0,17.8,17.8,110980.0,77.0
12/27/2018,17.8,17.9,17.7,17.8,41598.0,45.0
01/01/2019,16.0,16.2,15.8,16.1,138585.0,112.0
01/02/2019,16.2,16.8,15.9,16.6,417204.0,211.0
01/03/2019,16.6,16.8,16.3,16.7,274856.0,133.0
01/06/2019,17.0,17.5,16.7,17.2,685578.0,351.0
01/07/2019,17.2,17.4,16.9,17.0,349505.0,151.0
01/08/2019,17.1,18.5,16.9,17.9,874010.0,394.0
01/09/2019,18.3,18.4,17.5,17.9,651487.0,331.0
01/10/2019,17.9,18.3,17.5,17.8,571117.0,268.0
01/13/2019,17.9,18.2,17.9,18.0,576951.0,285.0
01/14/2019,18.1,20.0,17.9,20.0,3504009.0,992.0
01/15/2019,22.2,22.2,21.1,22.2,6893167.0,1319.0
01/16/2019,24.5,24.5,22.3,24.0,7410894.0,3022.0
01/17/2019,23.7,26.2,23.4,25.5,8528941.0,3217.0
01/20/2019,25.5,27.4,24.6,24.9,7755782.0,3177.0
01/21/2019,25.0,25.5,24.0,24.5,4989722.0,2261.0
01/22/2019,24.8,25.4,23.7,24.0,4439426.0,2144.0
01/23/2019,24.2,26.6,23.9,26.6,7536301.0,2537.0
01/24/2019,27.3,29.4,27.2,29.4,12245301.0,4242.0
01/27/2019,30.7,30.8,26.4,27.4,9495973.0,4793.0
01/28/2019,27.5,28.1,25.5,26.0,5666003.0,3109.0
01/29/2019,26.2,28.6,26.2,27.8,4601266.0,2530.0
01/30/2019,28.1,29.0,26.4,27.0,6018798.0,3302.0
01/31/2019,27.5,27.5,25.6,26.0,3821437.0,2145.0
02/03/2019,26.2,27.0,24.2,24.7,3845201.0,2452.0
02/04/2019,25.4,26.0,24.5,24.7,3505478.0,1928.0
02/05/2019,25.1,25.2,23.4,23.7,2292051.0,1351.0
02/06/2019,24.0,24.5,22.7,22.9,2725385.0,1593.0
02/07/2019,23.4,24.5,23.4,23.5,3360077.0,1600.0
02/10/2019,23.8,24.1,21.3,22.0,2267311.0,1187.0
02/11/2019,22.1,23.6,22.0,23.5,2237674.0,
02/12/2019,23.8,24.1,21.6,22.0,2182867.0,1390.0
02/13/2019,22.3,23.4,22.2,22.7,2427192.0,1245.0
02/14/2019,22.8,23.3,21.9,22.0,2686920.0,1456.0
02/17/2019,22.4,23.0,22.1,22.3,1853618.0,901.0
02/18/2019,22.6,22.7,21.5,21.7,1909868.0,882.0
02/19/2019,21.9,22.0,21.1,21.3,1244800.0,704.0
02/20/2019,21.6,21.8,21.1,21.3,1019748.0,514.0
02/24/2019,20.6,21.0,19.3,19.4,2360393.0,1297.0
02/25/2019,19.4,20.4,19.0,20.2,1213536.0,750.0
02/26/2019,20.2,20.4,19.1,19.3,1216651.0,662.0
02/27/2019,19.4,19.6,18.2,18.4,1379366.0,929.0
03/03/2019,18.6,19.2,18.3,18.8,1336241.0,733.0
03/04/2019,18.9,19.7,18.5,18.7,1792291.0,899.0
03/05/2019,18.8,19.2,18.3,18.4,986863.0,560.0
03/06/2019,18.8,18.8,18.0,18.2,1056581.0,
03/07/2019,18.3,18.4,17.6,17.8,1019518.0,
03/10/2019,18.1,18.8,18.0,18.1,828394.0,
03/11/2019,17.9,18.8,17.9,18.4,1845380.0,
03/12/2019,18.6,18.8,17.8,17.9,1174400.0,
03/13/2019,17.9,18.0,17.2,17.3,1128101.0,
03/14/2019,17.3,17.7,17.1,17.2,972865.0,
03/18/2019,17.3,17.7,17.1,17.2,972865.0,
03/19/2019,17.5,17.5,16.7,17.3,2048315.0,
03/20/2019,17.5,18.1,17.4,17.8,1290984.0,
03/21/2019,17.8,17.8,17.2,17.2,431744.0,
03/24/2019,17.1,17.2,16.7,16.9,555905.0,
03/25/2019,17.0,17.3,16.7,16.8,683440.0,
03/27/2019,17.0,17.2,16.6,16.7,548872.0,
03/28/2019,16.9,17.2,16.7,16.9,563463.0,
03/31/2019,16.9,17.0,16.6,16.7,620927.0,
04/01/2019,16.8,17.0,16.7,16.8,611584.0,
04/02/2019,16.8,18.5,16.8,18.4,2819992.0,
04/03/2019,18.7,18.9,17.5,17.7,1385608.0,
04/04/2019,17.7,18.0,17.2,17.6,1009971.0,
04/07/2019,17.9,18.0,17.0,17.1,473814.0,
04/08/2019,17.2,17.2,16.6,16.7,626284.0,
04/09/2019,16.7,17.4,16.3,16.7,823685.0,
04/10/2019,16.8,17.3,16.7,16.8,470138.0,
04/11/2019,16.9,17.5,16.9,17.3,590522.0,
04/15/2019,17.4,17.4,16.8,16.9,288997.0,
04/16/2019,16.9,17.0,16.6,16.8,540739.0,
04/17/2019,16.9,17.0,16.5,16.7,353710.0,209.0
04/18/2019,16.7,17.1,16.6,16.9,537831.0,301.0
04/21/2019,16.9,17.2,16.7,16.9,388900.0,203.0
04/23/2019,16.9,16.9,16.0,16.2,644249.0,325.0
04/24/2019,16.2,16.3,15.8,15.9,470439.0,312.0
04/25/2019,16.1,16.3,15.9,15.9,332817.0,210.0
04/28/2019,16.0,16.1,15.3,15.4,492766.0,305.0
04/29/2019,15.3,15.4,15.1,15.2,370841.0,221.0
04/30/2019,15.5,15.6,15.3,15.4,438361.0,204.0
05/02/2019,15.4,16.2,15.5,16.1,509449.0,286.0
05/05/2019,16.3,17.3,16.3,17.1,1271355.0,552.0
05/06/2019,17.2,17.2,16.3,16.4,682047.0,424.0
05/07/2019,16.5,16.7,16.2,16.3,675966.0,279.0
05/08/2019,16.4,16.5,16.0,16.3,363210.0,159.0
05/09/2019,16.5,16.6,16.2,16.4,359389.0,138.0
05/12/2019,16.7,17.1,16.5,16.7,747050.0,372.0
05/13/2019,16.5,16.8,16.5,16.7,183970.0,104.0
05/14/2019,17.0,17.2,16.6,16.9,414331.0,193.0
05/15/2019,17.0,17.1,16.7,16.9,985937.0,274.0
05/16/2019,17.2,17.6,17.0,17.5,1024105.0,555.0
05/19/2019,17.6,18.7,17.6,18.3,1489907.0,775.0
05/20/2019,18.3,18.3,17.4,17.5,811835.0,475.0
05/21/2019,17.3,17.5,16.8,17.0,652941.0,346.0
05/22/2019,17.0,17.6,17.0,17.3,438447.0,311.0
05/23/2019,17.3,17.9,17.3,17.6,871394.0,509.0
05/26/2019,17.7,18.2,17.3,18.0,994473.0,505.0
05/27/2019,18.1,19.5,18.1,18.6,2754130.0,1357.0
05/28/2019,18.7,19.3,18.4,18.7,1592453.0,842.0
05/29/2019,18.7,19.1,18.5,18.7,831035.0,465.0
05/30/2019,18.6,19.9,18.6,19.6,2097335.0,916.0
06/09/2019,19.5,20.4,19.5,20.1,1419869.0,690.0
06/10/2019,20.1,20.1,19.3,19.7,1204374.0,559.0
06/11/2019,19.4,20.0,19.4,19.6,1107873.0,528.0
06/12/2019,19.6,19.8,19.2,19.6,1023612.0,498.0
06/13/2019,19.3,20.5,19.3,19.9,1573187.0,798.0
06/16/2019,20.0,20.1,18.2,18.5,1410713.0,826.0
06/17/2019,18.4,18.4,17.5,17.6,1527304.0,740.0
06/18/2019,17.6,18.5,17.6,18.3,1045226.0,535.0
06/19/2019,18.3,19.4,18.3,19.3,1613133.0,791.0
06/20/2019,19.4,19.5,18.5,18.7,590641.0,376.0
06/23/2019,18.8,18.8,18.0,18.1,396957.0,261.0
06/24/2019,18.2,18.4,18.1,18.2,442001.0,286.0
06/25/2019,18.4,18.5,18.1,18.2,291469.0,193.0
06/26/2019,18.2,18.6,18.2,18.4,481717.0,241.0
06/27/2019,18.3,18.5,17.9,18.0,771515.0,282.0
06/30/2019,18.1,18.1,17.6,17.8,585583.0,366.0
