date,open,high,low,close,volume,trade
01/01/2018,30.0,30.0,30.0,30.0,4660.0,10.0
01/02/2018,30.0,30.0,30.0,30.0,4660.0,0.0
01/03/2018,28.3,30.0,28.3,29.1,16629.0,35.0
01/04/2018,29.1,29.1,28.6,29.0,2514.0,3.0
01/07/2018,29.3,29.8,28.6,29.2,30070.0,34.0
01/08/2018,28.5,28.5,28.5,28.5,1010.0,3.0
01/09/2018,28.3,29.4,28.3,29.3,22876.0,40.0
01/10/2018,28.5,28.9,28.5,28.9,11010.0,12.0
01/11/2018,28.5,28.5,28.3,28.5,4350.0,10.0
01/14/2018,28.5,28.5,27.5,27.6,16470.0,31.0
01/15/2018,27.9,27.9,27.0,27.0,10208.0,25.0
01/16/2018,27.1,27.1,27.1,27.1,1.0,1.0
01/17/2018,27.3,27.4,27.3,27.3,75.0,5.0
01/18/2018,27.3,27.4,27.3,27.3,75.0,0.0
01/21/2018,27.3,28.9,27.1,28.8,9912.0,12.0
01/22/2018,27.2,29.8,27.2,29.8,10168.0,14.0
01/23/2018,28.0,28.5,28.0,28.1,6892.0,12.0
01/24/2018,28.0,28.0,28.0,28.0,2200.0,3.0
01/25/2018,27.4,27.5,27.4,27.5,1017.0,3.0
01/28/2018,27.5,27.5,27.2,27.5,525.0,4.0
01/29/2018,27.5,27.5,27.2,27.5,525.0,0.0
01/30/2018,28.0,28.0,28.0,28.0,85.0,3.0
01/31/2018,28.5,28.8,27.0,28.5,12793.0,18.0
02/01/2018,27.0,28.0,27.0,27.9,12986.0,7.0
02/04/2018,28.8,28.8,27.0,27.9,20105.0,18.0
02/05/2018,26.3,27.2,26.1,26.4,8249.0,30.0
02/06/2018,26.9,27.3,26.9,27.2,1661.0,4.0
02/07/2018,26.6,28.2,26.6,27.1,230.0,4.0
02/08/2018,26.6,28.2,26.6,27.1,230.0,0.0
02/11/2018,27.0,28.2,27.0,28.1,24643.0,22.0
02/12/2018,27.8,27.8,27.8,27.8,121.0,3.0
02/13/2018,27.2,27.2,27.2,27.2,50.0,1.0
02/14/2018,28.4,28.4,27.3,28.3,8200.0,15.0
02/15/2018,27.6,28.4,27.4,27.6,1124.0,11.0
02/18/2018,28.5,28.5,25.2,28.1,23756.0,20.0
02/19/2018,28.7,28.7,26.8,27.6,500.0,2.0
02/20/2018,27.6,27.6,27.3,27.3,1650.0,7.0
02/22/2018,27.3,27.3,27.3,27.3,400.0,1.0
02/25/2018,27.1,27.1,27.1,27.1,1032.0,2.0
02/26/2018,26.6,27.5,26.6,26.6,5070.0,12.0
02/27/2018,27.4,28.4,27.4,28.3,11430.0,12.0
02/28/2018,28.0,29.0,28.0,29.0,59414.0,40.0
03/01/2018,29.5,30.0,27.5,28.3,5699.0,8.0
03/04/2018,26.7,28.5,26.7,28.2,912.0,8.0
03/05/2018,28.8,28.9,27.0,28.6,11262.0,18.0
03/06/2018,28.0,29.9,28.0,28.9,11166.0,9.0
03/07/2018,29.7,29.7,29.7,29.7,10000.0,11.0
03/08/2018,29.7,29.7,29.7,29.7,10000.0,0.0
03/11/2018,28.1,28.5,28.1,28.3,2061.0,5.0
03/12/2018,28.0,29.0,27.2,27.7,951.0,6.0
03/13/2018,27.9,27.9,27.1,27.9,9800.0,3.0
03/14/2018,27.0,27.0,27.0,27.0,11.0,1.0
03/15/2018,27.0,27.5,26.5,26.6,7736.0,26.0
03/18/2018,26.1,28.0,26.0,26.0,28361.0,19.0
03/19/2018,26.0,26.4,26.0,26.0,2921.0,8.0
03/20/2018,26.0,27.7,26.0,26.6,37160.0,21.0
03/21/2018,26.1,26.5,26.0,26.4,11581.0,8.0
03/22/2018,25.7,25.8,25.7,25.8,3880.0,2.0
03/25/2018,26.0,26.0,26.0,26.0,1000.0,1.0
03/27/2018,27.9,27.9,26.8,27.8,113.0,4.0
03/28/2018,25.5,26.9,25.5,26.7,131.0,4.0
03/29/2018,25.5,26.5,25.5,26.2,137.0,2.0
04/01/2018,26.7,26.8,26.2,26.8,2243.0,9.0
04/02/2018,26.6,26.8,26.1,26.5,40.0,4.0
04/03/2018,26.5,26.8,26.5,26.5,6385.0,7.0
04/04/2018,26.5,26.5,26.2,26.4,908.0,8.0
04/05/2018,26.4,26.7,26.0,26.3,3136.0,16.0
04/08/2018,26.5,26.5,26.0,26.0,11398.0,35.0
04/09/2018,26.5,26.5,26.0,26.3,1551.0,14.0
04/10/2018,26.0,26.5,26.0,26.2,1772.0,10.0
04/11/2018,26.5,26.5,26.0,26.0,1404.0,4.0
04/12/2018,26.5,26.5,25.6,26.0,6387.0,17.0
04/15/2018,26.5,26.5,25.6,26.0,6387.0,0.0
04/16/2018,23.6,24.8,23.6,24.3,13607.0,43.0
04/17/2018,25.0,25.0,24.1,24.2,1320.0,5.0
04/18/2018,24.5,24.5,24.0,24.0,14561.0,23.0
04/19/2018,26.0,26.0,24.0,24.2,2320.0,9.0
04/22/2018,24.0,24.5,23.9,24.0,5980.0,17.0
04/23/2018,22.3,24.4,22.3,24.1,1520.0,6.0
04/24/2018,24.0,24.0,23.2,23.4,16878.0,34.0
04/25/2018,23.7,23.9,23.3,23.7,16836.0,32.0
04/26/2018,23.5,24.0,23.5,23.7,16130.0,11.0
04/30/2018,24.0,24.0,23.4,23.5,16054.0,30.0
05/03/2018,23.0,23.0,23.0,23.0,1000.0,3.0
05/06/2018,22.8,22.8,22.6,22.7,4170.0,9.0
05/07/2018,23.4,23.7,22.7,23.0,15805.0,38.0
05/08/2018,23.6,23.6,23.3,23.3,1989.0,10.0
05/09/2018,22.6,24.0,22.6,23.5,3008.0,8.0
05/10/2018,23.0,23.5,23.0,23.5,6001.0,5.0
05/13/2018,25.3,25.3,23.2,23.3,25155.0,26.0
05/14/2018,23.5,23.5,23.3,23.3,3601.0,14.0
05/15/2018,23.2,23.3,22.6,23.0,2205.0,12.0
05/16/2018,22.1,22.2,22.0,22.1,8541.0,15.0
05/17/2018,22.2,22.2,21.5,21.5,3272.0,12.0
05/20/2018,21.7,21.7,21.7,21.7,50.0,1.0
05/21/2018,21.6,21.6,21.0,21.1,68861.0,39.0
05/22/2018,22.2,22.2,21.1,21.1,2501.0,2.0
05/23/2018,21.1,21.1,21.1,21.1,300.0,2.0
05/24/2018,21.3,21.3,21.0,21.1,22502.0,10.0
05/27/2018,21.3,21.3,21.0,21.1,22502.0,0.0
05/28/2018,22.0,22.0,21.3,21.6,17778.0,20.0
05/29/2018,21.2,21.6,21.2,21.6,20109.0,12.0
05/30/2018,22.8,22.8,21.3,21.6,1907.0,8.0
05/31/2018,21.0,21.0,21.0,21.0,25.0,1.0
06/03/2018,21.0,21.0,21.0,21.0,4082.0,4.0
06/04/2018,21.0,21.3,21.0,21.0,2930.0,7.0
06/05/2018,21.0,21.1,20.8,21.1,7290.0,7.0
06/06/2018,21.0,21.0,21.0,21.0,1305.0,3.0
06/07/2018,21.0,21.0,21.0,21.0,8830.0,10.0
06/10/2018,21.0,21.0,21.0,21.0,10000.0,10.0
06/11/2018,21.1,21.2,21.1,21.2,941.0,3.0
06/12/2018,21.6,21.7,21.5,21.6,11001.0,17.0
06/18/2018,21.6,21.7,21.5,21.6,11001.0,0.0
06/19/2018,21.5,21.5,21.5,21.5,400.0,4.0
06/20/2018,21.8,21.8,21.0,21.3,47905.0,57.0
06/21/2018,21.5,21.5,21.3,21.5,20660.0,22.0
06/24/2018,21.8,22.0,21.5,21.7,69861.0,56.0
06/25/2018,22.5,22.7,21.2,21.9,7401.0,18.0
06/26/2018,22.2,22.2,21.1,22.2,1718.0,3.0
06/27/2018,21.1,22.0,21.0,21.7,16579.0,25.0
06/28/2018,21.8,22.3,21.5,22.0,12450.0,30.0
07/02/2018,21.6,21.6,21.2,21.4,7370.0,11.0
07/03/2018,21.3,21.3,21.0,21.2,12500.0,14.0
07/04/2018,21.3,21.4,21.1,21.2,7500.0,4.0
07/05/2018,21.3,21.4,21.3,21.3,3928.0,5.0
07/08/2018,21.4,21.6,19.3,21.5,92444.0,65.0
07/09/2018,20.5,21.6,20.5,21.6,29343.0,18.0
07/10/2018,21.0,21.6,21.0,21.6,20996.0,19.0
07/11/2018,21.8,21.8,21.6,21.7,10635.0,8.0
07/12/2018,21.2,22.6,21.0,21.7,64877.0,59.0
07/15/2018,21.3,21.8,21.3,21.5,7710.0,7.0
07/16/2018,21.5,23.0,21.5,22.1,43352.0,51.0
07/17/2018,21.7,21.7,21.7,21.7,3168.0,4.0
07/18/2018,21.4,21.4,21.4,21.4,265.0,3.0
07/19/2018,21.5,21.8,21.5,21.7,95150.0,41.0
07/22/2018,21.1,21.9,21.1,21.9,70464.0,54.0
07/23/2018,21.2,22.1,21.2,22.1,122025.0,56.0
07/24/2018,22.1,22.1,21.3,21.8,40395.0,18.0
07/25/2018,22.1,22.1,22.1,22.1,2000.0,1.0
07/26/2018,21.6,23.0,21.1,22.2,177499.0,33.0
07/29/2018,22.4,22.9,22.4,22.8,37456.0,22.0
07/30/2018,22.0,22.0,21.8,21.9,115.0,
07/31/2018,21.9,23.5,21.5,22.3,67731.0,23.0
08/01/2018,22.5,22.6,22.0,22.3,25600.0,18.0
08/02/2018,22.1,22.3,22.0,22.3,35250.0,24.0
08/05/2018,22.9,23.5,22.3,23.0,95351.0,41.0
08/06/2018,23.9,24.5,22.3,23.5,33780.0,18.0
08/07/2018,22.9,22.9,22.3,22.3,39400.0,49.0
08/08/2018,22.5,24.4,22.5,24.2,136724.0,47.0
08/09/2018,24.0,24.0,23.1,23.5,500.0,2.0
08/12/2018,23.7,24.4,22.6,23.8,35530.0,34.0
08/13/2018,23.4,24.2,22.9,23.8,43673.0,46.0
08/14/2018,23.2,25.1,23.1,23.6,98710.0,117.0
08/16/2018,25.4,25.4,23.5,24.8,26370.0,29.0
08/19/2018,23.9,24.6,23.6,23.7,16451.0,30.0
08/20/2018,23.4,24.4,23.3,23.4,6618.0,15.0
08/26/2018,23.2,23.9,23.2,23.3,2312.0,5.0
08/27/2018,23.4,23.5,23.1,23.2,9989.0,6.0
08/28/2018,23.0,23.4,22.8,22.9,32985.0,32.0
08/29/2018,22.7,22.8,22.6,22.8,20573.0,22.0
08/30/2018,23.5,23.5,22.4,22.7,33750.0,30.0
09/03/2018,23.0,23.0,22.1,22.4,23530.0,34.0
09/04/2018,21.2,23.0,21.2,22.3,8444.0,12.0
09/05/2018,22.8,22.9,21.7,22.9,2210.0,5.0
09/06/2018,23.0,23.6,20.7,22.2,17040.0,19.0
09/09/2018,21.7,22.7,21.7,22.4,759.0,3.0
09/10/2018,22.8,22.8,21.6,22.3,24550.0,34.0
09/11/2018,22.5,22.5,22.5,22.5,100.0,1.0
09/12/2018,22.3,22.3,21.5,21.8,60489.0,39.0
09/13/2018,22.1,22.1,21.4,21.7,21496.0,21.0
09/16/2018,22.3,22.3,21.2,21.6,21889.0,19.0
09/17/2018,21.3,21.3,21.2,21.3,19887.0,12.0
09/18/2018,21.4,22.9,21.2,22.7,158357.0,134.0
09/19/2018,22.8,22.8,21.7,21.8,39871.0,19.0
09/20/2018,22.1,23.5,21.6,22.9,64367.0,24.0
09/23/2018,23.0,23.0,23.0,23.0,100.0,1.0
09/24/2018,21.3,22.7,21.3,21.5,3962.0,8.0
09/25/2018,21.6,23.6,21.3,22.8,73935.0,49.0
09/26/2018,24.9,25.0,23.4,24.0,43294.0,29.0
09/27/2018,24.7,24.9,24.0,24.6,137919.0,63.0
09/30/2018,24.7,25.4,24.2,25.2,89005.0,88.0
10/01/2018,25.7,25.8,24.0,25.5,45294.0,88.0
10/02/2018,23.6,25.5,23.5,25.4,26798.0,23.0
10/03/2018,25.6,25.6,23.8,24.8,3400.0,17.0
10/04/2018,24.8,25.1,23.5,25.1,66944.0,26.0
10/07/2018,25.4,25.4,25.0,25.0,31300.0,0.0
10/08/2018,25.5,25.5,22.9,23.0,40330.0,
10/09/2018,25.0,25.0,24.5,25.0,101.0,
10/10/2018,23.0,23.0,23.0,23.0,11.0,0.0
10/11/2018,24.4,24.4,23.0,23.3,900.0,8.0
10/14/2018,24.3,24.3,24.1,24.1,27330.0,8.0
10/15/2018,24.2,24.2,22.6,23.0,830.0,6.0
10/16/2018,24.2,24.2,22.3,22.5,9100.0,25.0
10/17/2018,23.2,23.3,21.8,22.0,14600.0,23.0
10/18/2018,23.4,23.4,21.5,21.6,53000.0,9.0
10/21/2018,23.3,23.7,23.1,23.7,154673.0,48.0
10/22/2018,24.5,26.0,24.0,25.5,477329.0,160.0
10/23/2018,25.0,25.2,24.1,24.8,48926.0,51.0
10/24/2018,24.0,24.2,22.6,22.9,14166.0,47.0
10/25/2018,23.2,23.8,23.2,23.6,35719.0,
10/28/2018,24.3,24.5,23.6,24.2,96128.0,
10/29/2018,24.1,24.1,23.3,24.0,79400.0,
10/30/2018,24.1,26.4,23.5,26.4,1032314.0,
10/31/2018,27.3,27.5,25.6,27.3,235492.0,
11/01/2018,26.8,27.1,24.6,24.9,980685.0,
11/04/2018,24.9,25.5,23.8,24.7,89491.0,
11/05/2018,24.4,24.7,24.1,24.4,88810.0,
11/06/2018,24.2,24.7,23.9,24.2,98548.0,
11/07/2018,24.6,25.3,24.2,25.1,67380.0,
11/08/2018,25.1,25.2,24.2,24.6,78757.0,90.0
11/11/2018,24.5,24.9,24.0,24.2,15119.0,42.0
11/12/2018,24.9,24.9,23.6,23.7,17413.0,56.0
11/13/2018,24.0,24.0,23.2,23.6,15223.0,51.0
11/14/2018,24.2,24.2,23.0,23.4,49602.0,89.0
11/15/2018,22.8,24.0,22.8,23.7,34739.0,53.0
11/18/2018,23.9,25.0,23.6,24.5,53412.0,69.0
11/19/2018,24.5,25.2,23.9,24.7,83132.0,104.0
11/20/2018,25.1,25.1,23.9,24.8,36628.0,51.0
11/22/2018,25.9,25.9,24.5,24.7,25716.0,41.0
11/25/2018,25.3,25.3,24.2,24.5,61541.0,61.0
11/26/2018,24.5,24.5,23.2,23.5,25369.0,45.0
11/27/2018,24.3,24.3,23.2,23.6,29579.0,61.0
11/28/2018,24.2,24.2,23.0,23.2,50585.0,96.0
11/29/2018,23.4,23.5,22.0,22.4,43508.0,94.0
12/02/2018,23.0,23.2,22.3,22.7,45180.0,59.0
12/03/2018,23.0,23.0,22.5,22.7,15620.0,34.0
12/04/2018,22.9,23.1,22.3,22.6,29647.0,105.0
12/05/2018,23.2,24.3,22.5,23.5,106484.0,87.0
12/06/2018,24.3,24.3,23.2,23.4,19809.0,30.0
12/09/2018,23.4,23.4,22.1,22.3,82661.0,102.0
12/10/2018,22.5,23.0,22.3,22.7,15461.0,48.0
12/11/2018,23.0,23.1,22.8,23.0,7620.0,15.0
12/12/2018,23.2,23.2,22.5,22.7,5457.0,31.0
12/13/2018,23.0,24.0,22.8,23.7,103479.0,203.0
12/17/2018,23.9,24.0,23.0,23.3,14050.0,29.0
