date,open,high,low,close,volume,trade,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
01/01/2018,103.4,105.2,102.9,104.4,489976.0,752.0,,,,,,,,,
01/02/2018,104.5,106.3,104.5,106.0,538708.0,2487.0,,,,,,,,,
01/03/2018,107.3,110.4,107.3,109.7,4748127.0,3711.0,,,,,,,,,
01/04/2018,110.4,112.6,108.5,110.6,3462021.0,2813.0,,,,,,,,,
01/07/2018,110.3,110.9,108.5,110.5,3653323.0,3135.0,,,,,,,,,
01/08/2018,110.3,110.9,108.5,110.5,3653323.0,0.0,,,,,,,,,
01/09/2018,106.4,107.7,103.1,103.5,1698781.0,2330.0,,,,,,,,,
01/10/2018,104.3,105.3,103.9,104.4,619279.0,1046.0,,,,,,,,,
01/11/2018,105.2,105.4,102.8,103.5,757582.0,1289.0,,,,,,,,,
01/14/2018,104.6,105.2,102.4,103.0,677899.0,720.0,,,,,,,,,
01/15/2018,103.3,103.7,102.1,102.5,622101.0,513.0,,,,,,,,,
01/16/2018,102.7,104.2,102.4,103.9,946253.0,796.0,,,,,,,,,
01/17/2018,103.5,104.4,102.7,103.2,589077.0,398.0,,,,,,,,,
01/18/2018,103.9,104.3,102.6,103.4,359616.0,361.0,,,,,,,,,
01/21/2018,104.5,104.5,102.7,103.2,195082.0,323.0,,,,,,,,,
01/22/2018,104.2,104.2,103.2,103.3,281457.0,372.0,,,,,,,,,
01/23/2018,104.2,104.4,102.6,103.1,794105.0,793.0,,,,,,,,,
01/24/2018,103.9,103.9,102.0,102.3,460763.0,571.0,,,,,,,,,
01/25/2018,102.4,103.3,102.2,103.1,131131.0,246.0,,,,,,,,,
01/28/2018,103.7,103.7,101.9,102.0,154073.0,305.0,,,,,,,,,
01/29/2018,101.9,102.6,100.9,102.1,264108.0,391.0,,,,,,,,,
01/30/2018,102.7,102.7,100.8,101.1,292354.0,346.0,,,,,,,,,
01/31/2018,100.9,100.9,95.8,97.6,241039.0,541.0,,,,,,,,,
02/01/2018,98.6,98.6,96.5,97.3,139101.0,236.0,,,,,,,,,
02/04/2018,97.3,98.4,93.9,94.9,187613.0,448.0,,,,,,,,,
02/05/2018,94.9,97.0,93.7,95.3,170980.0,363.0,,,,,,,,,
02/06/2018,95.5,96.7,95.5,96.0,59149.0,264.0,,,,,,,,,
02/07/2018,96.0,96.8,95.7,96.5,164966.0,336.0,,,,,,,,,
02/08/2018,96.9,97.6,96.4,97.2,139517.0,422.0,,,,,,,,,
02/11/2018,98.9,98.9,97.9,98.1,334856.0,467.0,,,,,,,,,
02/12/2018,98.9,99.4,97.2,97.6,268752.0,552.0,,,,,,,,,
02/13/2018,98.3,98.3,97.0,98.0,115078.0,143.0,,,,,,,,,
02/14/2018,98.8,98.8,96.7,97.0,261327.0,640.0,,,,,,,,,
02/15/2018,97.0,97.0,96.0,96.1,173069.0,491.0,,,,,,,,,
02/18/2018,96.1,96.9,94.9,95.2,150071.0,438.0,,,,,,,,,
02/19/2018,96.7,97.4,94.9,95.2,168937.0,378.0,,,,,,,,,
02/20/2018,95.4,97.4,95.3,95.8,167808.0,418.0,,,,,,,,,
02/22/2018,96.4,101.4,96.2,100.9,375059.0,971.0,,,,,,,,,
02/25/2018,101.4,103.3,99.5,101.2,783846.0,1531.0,,,,,,,,,
02/26/2018,102.1,102.7,98.0,98.9,403826.0,806.0,,,,,,,,,
02/27/2018,100.2,101.4,97.0,97.2,782738.0,889.0,,,,,,,,,
02/28/2018,99.2,100.2,97.5,98.5,412162.0,542.0,,,,,,,,,
03/01/2018,99.7,100.7,98.0,100.3,253582.0,543.0,,,,,,,,,
03/04/2018,101.1,102.3,100.2,100.4,287122.0,620.0,,,,,,,,,
03/05/2018,100.4,101.4,99.5,99.7,264941.0,416.0,,,,,,,,,
03/06/2018,100.8,101.4,99.6,101.1,159004.0,355.0,,,,,,,,,
03/07/2018,101.4,101.4,100.7,101.3,159106.0,382.0,,,,,,,,,
03/08/2018,101.9,101.9,100.2,100.6,129084.0,358.0,,,,,,,,,
03/11/2018,100.2,101.4,99.5,100.3,78382.0,212.0,,,,,,,,,
03/12/2018,100.4,100.7,97.7,99.4,192777.0,393.0,,,,,,,,,
03/13/2018,99.5,100.5,98.3,99.6,142513.0,294.0,,,,,,,,,
03/14/2018,100.2,101.2,99.0,99.4,109520.0,223.0,,,,,,,,,
03/15/2018,99.5,100.5,99.2,100.1,156003.0,296.0,,,,,,,,,
03/18/2018,98.9,100.6,98.3,98.8,110909.0,321.0,,,,,,,,,
03/19/2018,99.4,99.4,98.5,98.6,70219.0,208.0,,,,,,,,,
03/20/2018,99.5,99.5,97.8,98.3,120222.0,229.0,,,,,,,,,
03/21/2018,98.4,99.5,96.5,97.1,127408.0,267.0,,,,,,,,,
03/22/2018,97.4,99.2,97.4,98.0,437193.0,256.0,,,,,,,,,
03/25/2018,98.6,100.0,97.7,98.1,487241.0,222.0,,,,,,,,,
03/27/2018,97.7,98.9,97.0,97.2,474647.0,231.0,,,,,,,,,
03/28/2018,98.3,98.9,97.2,98.4,80358.0,202.0,,,,,,,,,
03/29/2018,98.9,98.9,96.5,97.1,151018.0,423.0,,,,,,,,,
04/01/2018,98.6,98.8,97.4,97.8,141165.0,288.0,,,,,,,,,
04/02/2018,98.6,100.4,97.8,99.8,368504.0,542.0,,,,,,,,,
04/03/2018,99.2,101.9,99.2,100.1,462836.0,662.0,,,,,,,,,
04/04/2018,100.8,100.8,99.5,99.8,190082.0,410.0,,,,,,,,,
04/05/2018,99.7,100.8,99.7,100.4,202628.0,451.0,,,,,,,,,
04/08/2018,100.6,101.4,100.2,101.1,532017.0,1051.0,,,,,,,,,
04/09/2018,101.4,105.9,101.2,104.6,1475488.0,1725.0,,,,,,,,,
04/10/2018,105.2,106.0,102.9,103.6,490995.0,869.0,,,,,,,,,
04/11/2018,104.6,106.1,102.9,105.1,668276.0,989.0,,,,,,,,,
04/12/2018,105.2,106.1,104.3,104.4,168292.0,245.0,,,,,,,,,
04/15/2018,104.6,104.9,102.9,103.1,358461.0,529.0,,,,,,,,,
04/16/2018,102.6,106.1,102.6,105.3,427337.0,967.0,,,,,,,,,
04/17/2018,105.9,109.5,105.9,108.7,900713.0,1707.0,,,,,,,,,
04/18/2018,108.9,113.3,108.0,112.7,1621503.0,1774.0,,,,,,,,,
04/19/2018,112.4,113.9,109.7,111.8,1435180.0,1903.0,,,,,,,,,
04/22/2018,112.6,113.8,109.9,113.1,1682455.0,1961.0,,,,,,,,,
04/23/2018,112.1,113.3,110.3,112.8,843671.0,1051.0,,,,,,,,,
04/24/2018,113.3,117.3,113.1,116.5,2246714.0,2627.0,,,,,,,,,
04/25/2018,117.3,121.1,116.8,119.9,1879819.0,2165.0,,,,,,,,,
04/26/2018,121.0,125.0,119.9,124.0,2350150.0,2557.0,,,,,,,,,
04/30/2018,124.2,129.0,121.8,126.3,1222450.0,1937.0,,,,,,,,,
05/03/2018,126.3,127.5,124.4,125.3,787456.0,1071.0,,,,,,,,,
05/06/2018,126.7,128.3,124.6,125.1,1130863.0,1612.0,,,,,,,,,
05/07/2018,125.2,127.0,124.0,126.0,975973.0,1294.0,,,,,,,,,
05/08/2018,127.1,136.5,126.9,134.0,1393295.0,2215.0,,,,,,,,,
05/09/2018,135.2,140.2,133.4,139.1,1450663.0,2284.0,,,,,,,,,
05/10/2018,139.0,139.0,134.7,137.7,1390851.0,1967.0,,,,,,,,,
05/13/2018,137.7,139.5,132.2,133.0,1408347.0,2105.0,,,,,,,,,
05/14/2018,133.1,134.0,129.6,130.4,1276673.0,1982.0,,,,,,,,,
05/15/2018,132.4,136.6,132.4,135.2,1289267.0,1540.0,,,,,,,,,
05/16/2018,136.6,142.1,134.6,141.0,1560063.0,2251.0,,,,,,,,,
05/17/2018,139.4,143.4,138.9,139.7,1112837.0,1537.0,,,,,,,,,
05/20/2018,140.9,140.9,135.3,136.2,616757.0,1283.0,,,,,,,,,
05/21/2018,136.3,137.4,134.7,135.4,704330.0,1364.0,,,,,,,,,
05/22/2018,136.2,140.8,134.6,139.3,967824.0,1489.0,,,,,,,,,
05/23/2018,140.2,142.7,137.7,140.7,1098618.0,1394.0,,,,,,,,,
05/24/2018,139.0,141.2,137.2,139.6,1012763.0,1359.0,,,,,,,,,
05/27/2018,139.6,139.6,133.1,134.7,1059117.0,1285.0,,,,,,,,,
05/28/2018,134.0,134.5,126.6,128.4,1161958.0,1726.0,,,,,,,,,
05/29/2018,129.5,131.4,128.4,130.0,742670.0,1340.0,,,,,,,,,
05/30/2018,130.2,135.5,130.2,134.2,874716.0,1476.0,,,,,,,,,
05/31/2018,135.5,135.7,132.0,134.2,530664.0,858.0,,,,,,,,,
06/03/2018,134.4,134.6,132.3,132.9,292862.0,698.0,,,,,,,,,
06/04/2018,133.0,134.6,131.5,132.2,440006.0,825.0,,,,,,,,,
06/05/2018,134.2,134.2,132.1,132.7,409768.0,837.0,,,,,,,,,
06/06/2018,132.1,139.6,132.1,138.6,913328.0,1388.0,,,,,,,,,
06/07/2018,139.5,142.7,139.5,141.8,1384416.0,1869.0,,,,,,,,,
06/10/2018,142.1,145.9,141.3,144.6,1315701.0,1521.0,,,,,,,,,
06/11/2018,146.5,150.3,146.5,149.3,2196459.0,2243.0,,,,,,,,,
06/12/2018,150.3,155.9,149.0,154.8,1022792.0,1751.0,,,,,,,,,
06/18/2018,155.3,162.8,151.8,161.7,1450227.0,1867.0,,,,,,,,,
06/19/2018,162.8,167.8,162.2,166.2,1270689.0,1901.0,,,,,,,,,
06/20/2018,166.5,171.9,163.7,171.0,960920.0,1529.0,,,,,,,,,
06/21/2018,172.2,174.6,160.3,164.5,1640357.0,2070.0,,,,,,,,,
06/24/2018,165.2,169.9,163.1,165.2,1482231.0,1495.0,,,,,,,,,
06/25/2018,165.2,167.1,158.6,159.6,782445.0,1394.0,,,,,,,,,
06/26/2018,159.7,166.5,159.0,165.0,1078851.0,1585.0,,,,,,,,,
06/27/2018,165.8,169.0,162.5,163.6,658129.0,1134.0,,,,,,,,,
06/28/2018,165.9,165.9,155.6,156.3,1123537.0,1724.0,,,,,,,,,
07/02/2018,159.6,169.9,159.6,169.9,1070889.0,1025.0,,,,,,,,,
07/03/2018,172.8,184.5,172.2,177.4,2048236.0,2665.0,,,,,,,,,
07/04/2018,177.8,187.2,175.3,185.8,1134788.0,1824.0,,,,,,,,,
07/05/2018,189.6,194.0,187.2,191.8,1071579.0,1882.0,,,,,,,,,
07/08/2018,192.6,193.9,184.8,186.8,1552853.0,1945.0,,,,,,,,,
07/09/2018,187.2,188.8,183.1,186.6,1231134.0,1800.0,,,,,,,,,
07/10/2018,187.2,191.5,186.6,189.5,1228293.0,1642.0,,,,,,,,,
07/11/2018,191.0,193.4,187.1,188.8,1306631.0,1520.0,,,,,,,,,
07/12/2018,192.2,205.3,189.5,204.7,1970986.0,2116.0,,,,,,,,,
07/15/2018,207.6,209.7,199.1,200.7,1668040.0,2096.0,,,,,,,,,
07/16/2018,202.9,205.3,198.0,198.9,1005776.0,1462.0,,,,,,,,,
07/17/2018,196.7,199.7,192.3,194.2,710298.0,1189.0,,,,,,,,,
07/18/2018,195.0,195.6,191.0,191.7,947537.0,1840.0,,,,,,,,,
07/19/2018,192.3,200.4,192.3,199.0,993301.0,1708.0,,,,,,,,,
07/22/2018,199.1,201.6,193.0,197.2,738206.0,1443.0,,,,,,,,,
07/23/2018,195.3,199.0,194.1,194.6,529593.0,1153.0,,,,,,,,,
07/24/2018,194.7,195.9,191.6,193.0,515657.0,976.0,,,,,,,,,
07/25/2018,194.7,201.0,192.8,199.4,1103448.0,1610.0,,,,,,,,,
07/26/2018,200.4,201.3,195.0,197.3,598060.0,1142.0,,,,,,,,,
07/29/2018,196.0,197.4,192.5,193.1,244885.0,545.0,,,,,,,,,
07/30/2018,194.1,202.8,193.5,200.2,1177320.0,0.0,,,,,,,,,
07/31/2018,202.2,215.3,202.2,213.5,1688013.0,2363.0,,,,,,,,,
08/01/2018,215.8,218.3,211.6,212.5,1086500.0,2025.0,,,,,,,,,
08/02/2018,212.6,212.6,200.4,203.6,1654854.0,2547.0,,,,,,,,,
08/05/2018,206.6,211.0,200.4,206.2,1005664.0,1657.0,,,,,,,,,
08/06/2018,207.2,214.1,207.2,213.4,1105150.0,1853.0,,,,,,,,,
08/07/2018,215.4,217.9,208.5,210.9,1210315.0,1880.0,,,,,,,,,
08/08/2018,211.6,211.6,206.0,207.9,732464.0,1267.0,,,,,,,,,
08/09/2018,207.9,215.4,204.1,209.8,1129439.0,2005.0,,,,,,,,,
08/12/2018,211.2,212.1,201.0,203.9,616140.0,1204.0,,,,,,,,,
08/13/2018,204.1,205.9,199.8,203.5,513001.0,1183.0,,,,,,,,,
08/14/2018,203.5,211.5,203.5,210.1,578092.0,1066.0,,,,,,,,,
