date,open,high,low,close,volume,trade
01/01/2018,21.8,22.0,21.6,21.9,1277997.0,420.0
01/02/2018,21.6,21.8,21.6,21.7,89678.0,198.0
01/03/2018,21.8,22.3,21.7,22.2,849677.0,413.0
01/04/2018,22.3,22.3,21.8,21.8,762787.0,290.0
01/07/2018,21.8,21.8,21.5,21.6,594202.0,256.0
01/08/2018,21.5,21.6,21.3,21.3,768173.0,338.0
01/09/2018,21.3,21.6,21.3,21.3,689831.0,284.0
01/10/2018,21.4,21.5,21.1,21.2,435457.0,254.0
01/11/2018,21.1,21.2,20.9,21.0,629905.0,306.0
01/14/2018,21.0,21.0,20.4,20.5,551077.0,306.0
01/15/2018,20.5,20.7,19.8,19.9,950284.0,418.0
01/16/2018,19.9,20.5,19.6,20.4,402028.0,260.0
01/17/2018,20.4,20.7,19.9,20.1,760002.0,403.0
01/18/2018,20.0,20.1,19.8,19.9,256578.0,217.0
01/21/2018,19.9,20.2,19.9,20.1,331719.0,168.0
01/22/2018,20.1,20.4,19.9,19.9,650495.0,338.0
01/23/2018,19.8,20.2,19.8,19.8,366891.0,232.0
01/24/2018,19.9,20.0,19.6,19.7,305400.0,210.0
01/25/2018,19.8,20.1,19.6,20.0,396891.0,235.0
01/28/2018,19.9,19.9,19.4,19.6,830313.0,317.0
01/29/2018,19.4,19.7,19.1,19.4,795538.0,360.0
01/30/2018,19.6,19.8,19.2,19.3,574155.0,276.0
01/31/2018,19.3,19.3,18.3,18.7,974115.0,399.0
02/01/2018,19.0,19.1,18.3,18.5,460230.0,276.0
02/04/2018,18.3,18.3,17.4,17.5,828711.0,403.0
02/05/2018,17.6,17.7,16.9,17.4,1461295.0,440.0
02/06/2018,17.6,18.3,17.6,18.1,928349.0,378.0
02/07/2018,18.3,18.4,17.6,18.0,847154.0,322.0
02/08/2018,18.0,18.5,18.0,18.4,479759.0,277.0
02/11/2018,18.5,19.6,18.4,19.3,814928.0,435.0
02/12/2018,19.5,20.1,19.4,19.8,1397473.0,634.0
02/13/2018,19.7,20.1,19.4,19.9,733273.0,366.0
02/14/2018,20.1,21.3,20.1,20.7,2173909.0,895.0
02/15/2018,20.9,20.9,20.2,20.5,854210.0,320.0
02/18/2018,20.3,20.3,19.0,19.1,933762.0,451.0
02/19/2018,19.5,20.1,19.0,19.1,935767.0,418.0
02/20/2018,19.6,19.8,18.7,18.8,831849.0,422.0
02/22/2018,19.1,19.4,18.7,19.0,740396.0,381.0
02/25/2018,19.0,19.0,18.0,18.2,564208.0,359.0
02/26/2018,18.2,18.3,17.8,18.0,526854.0,327.0
02/27/2018,18.3,18.4,17.8,18.0,465572.0,242.0
02/28/2018,18.1,18.2,17.6,17.8,578593.0,236.0
03/01/2018,17.9,18.3,17.6,18.2,593051.0,320.0
03/04/2018,18.3,18.5,18.1,18.3,789955.0,352.0
03/05/2018,18.0,18.2,17.6,17.7,303557.0,238.0
03/06/2018,17.7,17.7,17.4,17.6,1043336.0,422.0
03/07/2018,17.5,17.7,17.3,17.4,730613.0,261.0
03/08/2018,17.4,17.7,17.2,17.6,698426.0,324.0
03/11/2018,17.7,17.9,17.1,17.2,471802.0,229.0
03/12/2018,17.2,17.2,16.8,16.9,711396.0,243.0
03/13/2018,17.1,17.1,16.3,16.5,869259.0,313.0
03/14/2018,16.6,16.8,16.4,16.5,672724.0,224.0
03/15/2018,16.4,17.7,16.3,17.4,1060711.0,398.0
03/18/2018,17.6,17.9,17.2,17.4,1163151.0,564.0
03/19/2018,17.4,17.4,17.0,17.1,938512.0,296.0
03/20/2018,16.9,17.2,16.8,17.1,822509.0,315.0
03/21/2018,16.8,17.1,16.3,16.4,748574.0,328.0
03/22/2018,16.5,16.7,16.0,16.6,1577126.0,485.0
03/25/2018,16.8,16.9,15.9,16.1,1380930.0,515.0
03/27/2018,16.1,16.1,15.3,15.5,1450601.0,382.0
03/28/2018,15.8,15.9,15.5,15.6,788338.0,311.0
03/29/2018,15.7,16.3,15.7,16.2,1244730.0,421.0
04/01/2018,16.5,17.3,16.5,17.2,1792284.0,674.0
04/02/2018,17.3,18.1,17.2,17.8,2913586.0,893.0
04/03/2018,17.9,18.0,17.3,17.4,1836224.0,524.0
04/04/2018,17.6,17.9,17.5,17.6,1313569.0,446.0
04/05/2018,17.6,17.6,17.2,17.4,950940.0,416.0
04/08/2018,17.4,17.7,16.7,16.9,1307057.0,544.0
04/09/2018,17.1,17.4,16.8,17.3,1749946.0,548.0
04/10/2018,17.4,17.4,17.1,17.2,2015821.0,550.0
04/11/2018,17.2,17.2,16.8,16.9,554778.0,273.0
04/12/2018,16.9,17.1,16.8,16.9,1152261.0,305.0
04/15/2018,16.9,16.9,16.3,16.5,781657.0,315.0
04/16/2018,16.5,16.6,16.2,16.5,1504583.0,317.0
04/17/2018,16.6,16.6,16.1,16.2,1192792.0,355.0
04/18/2018,16.3,16.8,16.3,16.8,1420322.0,336.0
04/19/2018,16.9,17.1,16.6,16.9,1408215.0,458.0
04/22/2018,16.6,17.1,16.6,16.8,1172910.0,377.0
04/23/2018,16.8,17.0,16.7,16.9,730778.0,234.0
04/24/2018,16.8,17.1,16.8,17.1,966786.0,325.0
04/25/2018,17.0,17.7,17.0,17.7,1994771.0,652.0
04/26/2018,17.5,17.5,17.3,17.4,501044.0,259.0
04/30/2018,17.3,17.4,17.0,17.1,1682315.0,482.0
05/03/2018,17.3,17.4,17.0,17.1,1682315.0,0.0
05/06/2018,16.5,16.5,15.5,15.6,1147432.0,564.0
05/07/2018,15.8,16.0,15.6,15.7,613116.0,287.0
05/08/2018,15.6,16.0,15.6,15.7,603240.0,294.0
05/09/2018,15.7,15.8,15.3,15.5,661521.0,250.0
05/10/2018,15.3,15.3,14.7,14.7,984996.0,419.0
05/13/2018,14.8,14.9,14.2,14.3,459674.0,256.0
05/14/2018,14.3,14.7,14.2,14.6,474335.0,222.0
05/15/2018,14.4,14.6,14.2,14.2,583096.0,268.0
05/16/2018,14.4,14.4,14.2,14.3,468772.0,184.0
05/17/2018,14.3,14.3,14.2,14.3,568206.0,207.0
05/20/2018,14.2,14.5,14.1,14.4,1090052.0,241.0
05/21/2018,14.4,14.8,14.3,14.7,742335.0,253.0
05/22/2018,14.7,14.9,14.6,14.9,462347.0,175.0
05/23/2018,14.9,14.9,14.6,14.7,350379.0,116.0
05/24/2018,14.7,14.9,14.7,14.9,352660.0,147.0
05/27/2018,14.9,15.0,14.7,14.9,300609.0,138.0
05/28/2018,14.9,14.9,14.7,14.7,154008.0,89.0
05/29/2018,14.7,14.9,14.6,14.6,319666.0,127.0
05/30/2018,14.6,14.7,14.6,14.7,228290.0,115.0
05/31/2018,14.6,14.6,14.3,14.4,630907.0,184.0
06/03/2018,14.3,14.4,14.2,14.2,468626.0,179.0
06/04/2018,14.3,14.4,14.2,14.2,303616.0,127.0
06/05/2018,14.4,14.4,14.2,14.4,295327.0,143.0
06/06/2018,14.5,15.2,14.4,15.1,943468.0,392.0
06/07/2018,15.3,15.3,14.8,14.9,683979.0,284.0
06/10/2018,14.9,14.9,14.5,14.6,455506.0,126.0
06/11/2018,14.4,14.6,14.4,14.5,412062.0,136.0
06/12/2018,14.6,15.0,14.5,14.9,355699.0,152.0
06/18/2018,14.8,15.0,14.8,14.9,408875.0,148.0
06/19/2018,14.8,15.0,14.7,14.9,782098.0,299.0
06/20/2018,14.5,15.0,14.5,14.9,629385.0,193.0
06/21/2018,15.0,15.3,15.0,15.2,658212.0,293.0
06/24/2018,15.2,16.1,15.2,15.9,1608681.0,564.0
06/25/2018,15.9,16.0,15.6,15.7,555571.0,311.0
06/26/2018,15.7,15.8,15.3,15.4,415965.0,211.0
06/27/2018,15.5,15.5,15.1,15.2,532943.0,230.0
06/28/2018,15.2,15.2,15.0,15.1,423068.0,199.0
07/02/2018,15.0,15.2,14.4,14.6,786085.0,365.0
07/03/2018,14.7,14.9,14.3,14.3,407315.0,255.0
07/04/2018,14.4,14.5,14.1,14.2,959725.0,363.0
07/05/2018,14.2,14.5,14.2,14.3,666713.0,293.0
07/08/2018,14.4,14.6,14.1,14.3,927690.0,310.0
07/09/2018,14.3,14.6,14.2,14.2,681843.0,216.0
07/10/2018,14.1,14.5,14.1,14.3,966395.0,232.0
07/11/2018,14.4,15.2,14.4,14.6,1133994.0,374.0
07/12/2018,14.6,14.7,14.4,14.4,727028.0,241.0
07/15/2018,14.5,14.9,14.4,14.6,1508076.0,592.0
07/16/2018,14.6,14.7,14.4,14.5,744940.0,179.0
07/17/2018,14.4,14.6,14.2,14.2,379823.0,189.0
07/18/2018,14.2,14.4,14.1,14.1,1133894.0,382.0
07/19/2018,14.4,14.7,13.9,14.4,1391542.0,358.0
07/22/2018,14.3,14.3,13.9,14.1,1388818.0,311.0
07/23/2018,14.1,14.6,14.0,14.4,708927.0,254.0
07/24/2018,14.4,14.5,14.2,14.3,449101.0,208.0
07/25/2018,14.3,14.3,14.1,14.2,627140.0,191.0
07/26/2018,14.1,14.2,13.9,13.9,880208.0,358.0
07/29/2018,13.9,14.2,13.9,14.1,748353.0,140.0
07/30/2018,14.1,14.2,14.1,14.2,297800.0,
07/31/2018,14.2,14.4,14.1,14.3,328919.0,180.0
08/01/2018,14.3,14.7,14.2,14.6,438298.0,230.0
08/02/2018,14.6,15.3,14.6,15.2,1320443.0,522.0
08/05/2018,14.9,15.1,14.7,15.0,287201.0,171.0
08/06/2018,14.8,14.9,14.6,14.7,372868.0,141.0
08/07/2018,14.7,15.2,14.7,15.0,348391.0,140.0
08/08/2018,14.7,15.5,14.7,15.4,755647.0,360.0
08/09/2018,15.3,15.9,15.3,15.7,2081440.0,700.0
08/12/2018,15.5,16.1,15.4,15.9,2664654.0,611.0
08/13/2018,16.1,16.5,15.9,16.1,2429687.0,763.0
08/14/2018,15.9,16.1,15.7,15.9,1176394.0,377.0
08/16/2018,16.1,16.8,16.1,16.6,1664120.0,657.0
08/19/2018,16.6,17.6,16.6,17.4,2028489.0,792.0
08/20/2018,17.6,17.6,17.0,17.4,1713897.0,570.0
08/26/2018,17.4,17.6,16.9,17.1,1013742.0,402.0
08/27/2018,17.1,17.2,16.6,16.7,1007913.0,499.0
08/28/2018,16.7,17.1,16.6,17.1,1489230.0,469.0
08/29/2018,17.1,17.4,16.8,16.9,806250.0,291.0
08/30/2018,16.9,17.4,16.8,16.9,1162395.0,411.0
09/03/2018,16.8,16.9,16.2,16.3,921238.0,454.0
09/04/2018,16.3,16.3,15.8,16.0,1151677.0,421.0
09/05/2018,16.3,16.3,15.5,15.6,1145789.0,530.0
09/06/2018,15.9,16.1,15.6,15.8,851216.0,455.0
09/09/2018,15.8,15.9,15.3,15.4,1060520.0,524.0
09/10/2018,15.5,15.5,15.2,15.3,771022.0,297.0
09/11/2018,15.3,15.8,15.2,15.5,454472.0,220.0
09/12/2018,15.3,15.7,15.2,15.4,930778.0,357.0
09/13/2018,15.3,15.4,15.0,15.1,865164.0,344.0
09/16/2018,15.0,15.2,14.7,14.7,924732.0,365.0
09/17/2018,14.9,15.0,14.7,14.9,421706.0,195.0
09/18/2018,14.9,15.2,14.8,14.9,684633.0,270.0
09/19/2018,15.0,15.4,14.9,15.3,649637.0,233.0
09/20/2018,15.3,15.3,14.9,15.0,569352.0,218.0
09/23/2018,14.9,15.2,14.8,14.9,447578.0,202.0
09/24/2018,14.9,15.2,14.7,15.1,557245.0,228.0
09/25/2018,15.1,15.3,15.0,15.2,417353.0,174.0
09/26/2018,15.2,15.6,15.1,15.3,683532.0,224.0
09/27/2018,15.3,15.5,15.0,15.0,527181.0,254.0
09/30/2018,15.2,15.3,15.0,15.3,210512.0,136.0
10/01/2018,15.5,15.5,15.2,15.3,444699.0,136.0
10/02/2018,15.5,15.5,15.3,15.5,268716.0,150.0
10/03/2018,15.5,15.9,15.5,15.8,770665.0,393.0
10/04/2018,15.8,15.9,15.4,15.5,352853.0,186.0
10/07/2018,15.9,16.3,15.3,15.7,628731.0,0.0
10/08/2018,15.6,16.5,15.6,16.4,2100838.0,
10/09/2018,16.3,16.6,16.3,16.5,3195599.0,
10/10/2018,16.6,17.9,16.3,17.6,3512711.0,37.0
10/11/2018,17.6,18.6,17.4,18.1,3895088.0,1374.0
10/14/2018,17.9,18.8,17.6,18.2,3181960.0,956.0
10/15/2018,18.3,18.5,17.6,17.7,1688319.0,637.0
10/16/2018,17.5,18.7,17.2,18.5,4372421.0,1286.0
10/17/2018,18.8,19.8,18.7,19.4,4129880.0,1580.0
10/18/2018,19.1,20.4,19.1,20.1,5859369.0,1499.0
