date,open,high,low,close,volume,trade
01/01/2018,69.3,69.3,68.8,68.9,66679.0,94.0
01/02/2018,68.7,69.2,68.7,69.2,1050.0,124.0
01/03/2018,69.5,70.2,69.0,70.0,22057.0,84.0
01/04/2018,70.0,70.2,69.2,69.6,24368.0,103.0
01/07/2018,70.0,70.5,69.4,69.9,80923.0,130.0
01/08/2018,69.0,69.7,68.9,69.2,33065.0,103.0
01/09/2018,70.1,70.1,69.2,69.8,102291.0,143.0
01/10/2018,69.8,70.2,69.4,69.5,37370.0,80.0
01/11/2018,69.0,69.9,69.0,69.3,10609.0,30.0
01/14/2018,68.9,69.5,68.8,69.0,25343.0,74.0
01/15/2018,68.7,69.0,68.5,68.6,141296.0,144.0
01/16/2018,68.1,69.0,67.8,68.5,27085.0,55.0
01/17/2018,68.3,68.8,68.2,68.3,7242.0,33.0
01/18/2018,68.2,68.4,67.7,68.2,17541.0,71.0
01/21/2018,68.1,68.3,67.8,67.9,10202.0,24.0
01/22/2018,68.0,68.5,67.8,68.0,26535.0,67.0
01/23/2018,69.5,69.5,67.6,68.0,63798.0,111.0
01/24/2018,67.7,68.0,67.6,67.8,19138.0,49.0
01/25/2018,67.8,69.1,67.6,69.0,28010.0,128.0
01/28/2018,67.9,68.6,67.4,67.5,11454.0,52.0
01/29/2018,67.6,68.4,67.5,68.0,13345.0,44.0
01/30/2018,68.0,68.1,67.3,67.6,14291.0,57.0
01/31/2018,66.9,66.9,65.9,66.1,17279.0,75.0
02/01/2018,66.0,66.4,65.6,66.1,26573.0,48.0
02/04/2018,65.7,66.1,64.8,64.9,33474.0,75.0
02/05/2018,63.9,64.9,61.0,64.6,54657.0,105.0
02/06/2018,65.2,66.9,64.6,66.0,22580.0,65.0
02/07/2018,63.4,66.7,63.4,66.2,17809.0,49.0
02/08/2018,68.4,70.2,65.2,66.8,8879.0,36.0
02/11/2018,68.6,69.5,67.6,67.8,55754.0,81.0
02/12/2018,68.6,68.6,67.0,67.3,87376.0,90.0
02/13/2018,68.5,68.5,67.1,67.3,93121.0,158.0
02/14/2018,67.6,68.0,66.6,67.2,26859.0,112.0
02/15/2018,66.8,67.1,64.9,65.7,33481.0,95.0
02/18/2018,65.7,65.7,64.4,64.7,20447.0,76.0
02/19/2018,65.2,65.2,64.8,64.8,34968.0,84.0
02/20/2018,65.3,66.2,62.9,65.2,41895.0,104.0
02/22/2018,65.2,66.6,64.3,64.7,8768.0,33.0
02/25/2018,65.7,69.5,63.3,65.9,58739.0,52.0
02/26/2018,63.9,67.0,63.8,65.0,17630.0,59.0
02/27/2018,66.6,67.4,65.0,66.4,14715.0,39.0
02/28/2018,66.9,67.0,65.0,65.1,23211.0,112.0
03/01/2018,65.0,65.9,64.6,65.7,9501.0,28.0
03/04/2018,64.4,66.2,64.4,65.5,7941.0,28.0
03/05/2018,66.0,66.2,65.0,65.0,45525.0,80.0
03/06/2018,65.7,65.7,64.8,65.0,22011.0,68.0
03/07/2018,65.9,65.9,64.6,64.8,22764.0,37.0
03/08/2018,65.7,65.8,64.6,64.8,6615.0,27.0
03/11/2018,64.9,66.6,64.4,66.4,95626.0,135.0
03/12/2018,64.6,65.5,64.5,64.7,5846.0,22.0
03/13/2018,64.6,64.8,63.1,63.5,25095.0,56.0
03/14/2018,62.1,63.2,62.0,63.1,31746.0,55.0
03/15/2018,64.3,64.3,63.1,63.8,46437.0,58.0
03/18/2018,64.0,64.9,63.7,63.9,11445.0,28.0
03/19/2018,64.0,64.8,63.8,64.4,9872.0,21.0
03/20/2018,64.3,65.0,64.3,64.8,34895.0,48.0
03/21/2018,64.1,66.7,64.1,65.1,63399.0,86.0
03/22/2018,63.3,65.2,63.3,65.0,1134512.0,71.0
03/25/2018,65.1,65.2,64.4,64.5,28193.0,44.0
03/27/2018,64.1,64.8,63.5,64.1,55868.0,59.0
03/28/2018,62.9,64.7,62.9,63.5,47864.0,48.0
03/29/2018,62.4,64.5,62.4,64.5,51562.0,43.0
04/01/2018,64.8,66.2,64.5,65.7,171066.0,169.0
04/02/2018,66.2,67.0,64.4,66.6,55619.0,134.0
04/03/2018,67.0,67.1,64.2,64.7,55928.0,158.0
