date,open,high,low,close,volume,trade
09/09/2018,26.7,29.8,22.5,23.5,9225924.0,14224.0
09/10/2018,23.7,25.5,23.3,23.7,2665970.0,4417.0
09/11/2018,23.7,24.3,21.3,21.5,4854845.0,4742.0
09/12/2018,21.6,22.3,20.3,20.9,2514371.0,2387.0
09/13/2018,21.0,21.7,20.3,20.4,2528928.0,2231.0
09/16/2018,20.6,22.4,20.4,22.4,3394827.0,2832.0
09/17/2018,22.6,23.4,20.5,20.8,3309644.0,2623.0
09/18/2018,21.1,21.2,19.8,19.9,1824392.0,1458.0
09/19/2018,20.3,21.1,19.7,20.6,2161935.0,1448.0
09/20/2018,20.9,22.2,20.7,21.9,2680650.0,1796.0
09/23/2018,22.0,22.0,19.9,20.3,1643862.0,1049.0
09/24/2018,20.3,20.6,19.1,19.4,1499206.0,980.0
09/25/2018,19.8,20.3,19.4,20.0,1291862.0,710.0
09/26/2018,20.1,21.9,20.0,21.4,2410245.0,1459.0
09/27/2018,21.8,22.6,21.4,22.2,2759025.0,1774.0
09/30/2018,22.8,24.1,22.5,23.7,2538440.0,1809.0
10/01/2018,23.7,24.4,22.6,22.8,2538045.0,1809.0
10/02/2018,23.1,25.1,22.8,25.1,5325010.0,2054.0
10/03/2018,25.5,27.3,25.2,26.4,4969160.0,2267.0
10/04/2018,26.6,28.7,25.9,28.0,6249793.0,2683.0
10/07/2018,28.3,30.6,27.6,29.7,4838224.0,0.0
10/08/2018,29.7,30.3,28.9,29.3,3383454.0,
10/09/2018,29.5,32.2,29.3,32.2,3138100.0,
10/10/2018,33.2,35.2,32.5,34.4,3224940.0,207.0
10/11/2018,34.4,35.0,32.9,34.2,2385114.0,1836.0
10/14/2018,34.6,35.5,32.3,33.2,3965670.0,1884.0
10/15/2018,33.0,33.1,31.1,32.6,3090957.0,1316.0
10/16/2018,33.2,35.5,33.2,35.3,3870830.0,1629.0
10/17/2018,35.5,36.2,34.6,35.0,2855897.0,1324.0
10/18/2018,35.2,38.4,35.2,38.1,2806139.0,1386.0
10/21/2018,38.6,39.5,37.8,38.2,2998714.0,1581.0
10/22/2018,38.4,38.8,35.1,37.1,2637944.0,1574.0
10/23/2018,37.4,38.1,35.4,35.7,1312000.0,821.0
10/24/2018,35.7,36.9,34.8,36.3,1090404.0,886.0
10/25/2018,36.4,38.7,36.4,38.4,1269304.0,
10/28/2018,38.2,39.6,37.1,38.4,2045172.0,
10/29/2018,38.9,38.9,36.8,37.9,1928202.0,
10/30/2018,38.2,41.6,38.2,41.6,2616278.0,
10/31/2018,42.6,44.8,42.5,43.8,2290841.0,
11/01/2018,43.6,45.3,43.2,44.2,2498347.0,
11/04/2018,44.3,44.9,43.2,43.4,2237505.0,
11/05/2018,43.5,43.7,40.6,41.3,2731508.0,
11/06/2018,41.4,45.5,41.4,45.5,4728883.0,
11/07/2018,46.6,49.5,45.5,47.5,3759114.0,
11/08/2018,47.4,50.0,43.2,44.9,3100330.0,1800.0
11/11/2018,45.1,46.2,43.3,43.9,895754.0,930.0
11/12/2018,43.9,44.2,40.9,41.1,820704.0,980.0
11/13/2018,41.3,41.6,38.7,39.3,698101.0,887.0
11/14/2018,39.7,41.2,39.5,40.0,1425923.0,1109.0
11/15/2018,39.7,41.2,39.5,40.0,1425923.0,0.0
11/18/2018,42.0,43.9,41.9,43.9,586535.0,191.0
11/19/2018,45.3,48.1,45.3,48.0,2014964.0,1245.0
11/20/2018,49.2,49.2,46.8,48.4,1658265.0,1188.0
11/22/2018,49.4,49.4,47.3,48.0,1482436.0,868.0
11/25/2018,47.2,47.7,44.6,45.5,1701863.0,1036.0
11/26/2018,44.6,46.8,44.6,45.1,704009.0,738.0
11/27/2018,44.6,48.0,44.0,47.7,2295946.0,2019.0
11/28/2018,47.7,49.3,46.3,47.5,1462233.0,1263.0
11/29/2018,47.7,51.4,47.3,50.5,3616663.0,2079.0
12/02/2018,51.3,52.0,48.1,48.8,2745875.0,1707.0
12/03/2018,48.8,50.8,48.3,49.8,1870828.0,1288.0
12/04/2018,50.4,51.9,50.3,50.7,2489196.0,1456.0
12/05/2018,50.7,50.9,48.6,49.5,1475507.0,933.0
12/06/2018,49.5,50.4,48.7,48.9,938981.0,665.0
12/09/2018,49.6,50.4,47.8,48.7,1426296.0,729.0
12/10/2018,48.4,50.4,48.4,49.0,1017875.0,809.0
12/11/2018,50.0,53.9,50.0,53.4,4435172.0,2028.0
12/12/2018,54.0,54.6,51.1,52.5,2336193.0,1363.0
12/13/2018,52.8,52.8,50.2,50.5,1144524.0,948.0
