date,open,high,low,close,volume,trade
01/01/2018,16.7,17.0,16.7,16.8,170415.0,0.0
01/02/2018,16.9,17.0,16.4,16.8,61328.0,0.0
01/03/2018,17.3,17.4,17.0,17.1,249051.0,0.0
01/04/2018,17.2,17.4,17.0,17.2,449400.0,0.0
01/07/2018,17.2,17.3,16.8,16.9,370245.0,0.0
01/08/2018,17.0,17.0,16.8,17.0,159521.0,0.0
01/09/2018,17.1,17.4,17.0,17.2,763519.0,0.0
01/10/2018,17.1,17.2,16.8,16.9,293760.0,0.0
01/11/2018,17.0,17.0,16.7,16.8,195165.0,0.0
01/14/2018,16.9,17.2,16.6,16.7,308384.0,0.0
01/15/2018,16.9,17.1,16.0,16.5,233805.0,0.0
01/16/2018,16.5,16.8,16.0,16.6,178799.0,0.0
01/17/2018,16.6,16.7,16.3,16.5,150121.0,0.0
01/18/2018,16.5,16.6,16.3,16.4,101387.0,0.0
01/21/2018,16.6,16.6,16.1,16.2,185247.0,0.0
01/22/2018,16.3,16.6,16.2,16.4,76520.0,0.0
01/23/2018,16.4,16.5,16.1,16.2,352330.0,0.0
01/24/2018,16.3,16.4,16.0,16.1,217836.0,0.0
01/25/2018,16.3,16.5,16.0,16.2,398737.0,0.0
01/28/2018,16.2,16.2,15.8,15.9,233605.0,0.0
01/29/2018,15.8,16.1,15.7,16.0,143393.0,0.0
01/30/2018,16.0,16.2,15.8,15.8,78340.0,0.0
01/31/2018,15.7,15.7,15.2,15.3,226628.0,0.0
02/01/2018,15.2,15.6,15.2,15.4,122385.0,0.0
02/04/2018,15.4,15.5,14.8,14.9,254004.0,0.0
02/05/2018,14.9,14.9,14.2,14.6,147106.0,0.0
02/06/2018,14.8,15.1,14.7,15.0,128612.0,0.0
02/07/2018,15.0,15.0,14.6,14.7,142499.0,0.0
02/08/2018,14.7,14.9,14.6,14.8,61477.0,0.0
02/11/2018,15.0,15.5,15.0,15.5,136875.0,0.0
02/12/2018,15.6,15.8,15.4,15.4,183832.0,0.0
02/13/2018,15.5,15.7,15.4,15.5,93150.0,0.0
02/14/2018,15.8,16.3,15.6,15.9,274877.0,0.0
02/15/2018,16.0,16.2,15.8,15.9,147993.0,0.0
02/18/2018,15.8,15.8,15.3,15.4,176156.0,0.0
02/19/2018,15.8,15.8,15.2,15.3,114594.0,0.0
02/20/2018,15.6,15.6,15.0,15.1,150686.0,0.0
02/22/2018,15.4,15.4,15.1,15.2,49550.0,0.0
02/25/2018,15.2,15.2,14.8,14.9,67442.0,0.0
02/26/2018,15.0,15.1,14.6,14.7,154977.0,0.0
02/27/2018,14.9,15.0,14.7,14.8,104796.0,0.0
02/28/2018,14.8,14.9,14.7,14.9,158609.0,0.0
03/01/2018,14.7,15.1,14.6,15.0,140508.0,0.0
03/04/2018,15.1,15.3,15.0,15.1,121155.0,0.0
03/05/2018,15.0,15.0,14.8,14.9,77654.0,0.0
03/06/2018,15.0,15.1,14.8,15.0,164530.0,0.0
03/07/2018,15.1,15.4,14.9,15.1,166345.0,0.0
03/08/2018,15.0,15.6,15.0,15.2,292277.0,0.0
03/11/2018,15.2,15.3,14.8,14.9,82715.0,0.0
03/12/2018,15.1,15.1,14.6,14.7,165106.0,0.0
03/13/2018,14.9,14.9,14.5,14.5,63991.0,0.0
03/14/2018,14.7,15.1,14.5,14.6,87897.0,0.0
03/15/2018,14.9,15.2,14.6,14.9,62949.0,0.0
03/18/2018,14.9,14.9,14.7,14.8,72519.0,0.0
03/19/2018,14.7,14.9,14.7,14.8,116626.0,0.0
03/20/2018,14.8,14.8,14.5,14.8,120341.0,0.0
03/21/2018,14.7,14.8,14.6,14.6,26128.0,0.0
03/22/2018,14.6,14.6,14.3,14.4,107698.0,0.0
03/25/2018,14.5,14.7,14.4,14.5,40450.0,0.0
03/27/2018,14.4,14.4,14.0,14.1,71047.0,0.0
03/28/2018,14.1,14.4,13.7,14.4,128660.0,0.0
03/29/2018,14.0,14.4,14.0,14.3,198545.0,0.0
04/01/2018,14.5,14.8,14.5,14.7,438046.0,0.0
04/02/2018,14.8,14.9,14.5,14.9,206723.0,0.0
04/03/2018,14.8,15.0,14.6,14.7,187386.0,0.0
04/04/2018,14.9,15.0,14.6,14.9,377592.0,0.0
04/05/2018,14.6,15.0,14.6,14.9,126622.0,0.0
04/08/2018,14.9,15.4,14.9,15.3,381821.0,0.0
04/09/2018,15.4,15.6,15.1,15.4,366906.0,0.0
04/10/2018,15.4,15.7,15.2,15.3,270634.0,0.0
04/11/2018,15.5,15.5,14.9,14.9,175724.0,0.0
04/12/2018,15.0,15.1,14.7,14.8,65848.0,65.0
04/15/2018,14.8,14.9,14.5,14.6,65762.0,70.0
04/16/2018,14.5,14.8,14.4,14.6,158408.0,104.0
04/17/2018,14.8,14.8,14.3,14.5,133720.0,86.0
04/18/2018,14.4,14.8,14.0,14.3,197944.0,141.0
04/19/2018,14.3,14.6,14.3,14.4,95775.0,59.0
04/22/2018,14.3,14.4,14.2,14.3,178413.0,107.0
04/23/2018,14.3,14.3,14.0,14.1,97697.0,105.0
04/24/2018,14.1,14.2,13.9,14.0,177132.0,97.0
04/25/2018,14.1,14.2,14.0,14.0,99412.0,65.0
04/26/2018,14.2,14.2,14.0,14.1,97479.0,63.0
04/30/2018,14.1,14.3,13.5,13.6,187846.0,169.0
05/03/2018,13.5,13.7,13.3,13.4,163516.0,129.0
05/06/2018,13.5,14.1,13.5,14.0,191549.0,146.0
05/07/2018,14.2,14.5,14.1,14.2,203640.0,162.0
05/08/2018,14.2,14.2,13.8,13.8,156580.0,103.0
05/09/2018,14.0,14.0,13.8,14.0,50800.0,56.0
05/10/2018,14.0,14.1,13.6,13.8,164145.0,106.0
05/13/2018,13.7,13.8,13.5,13.6,120167.0,80.0
05/14/2018,13.6,13.7,13.5,13.5,97712.0,68.0
05/15/2018,13.6,13.8,13.3,13.3,111834.0,103.0
05/16/2018,13.3,13.4,13.1,13.3,121935.0,97.0
05/17/2018,13.2,13.2,13.0,13.0,136302.0,96.0
05/20/2018,13.3,13.3,12.4,12.5,120045.0,129.0
05/21/2018,12.9,12.9,12.5,12.6,143957.0,107.0
05/22/2018,12.9,12.9,12.6,12.6,91403.0,84.0
05/23/2018,12.7,12.7,12.2,12.3,78307.0,89.0
05/24/2018,12.5,12.6,12.3,12.6,55067.0,48.0
05/27/2018,12.7,12.8,12.5,12.6,126514.0,111.0
05/28/2018,12.6,12.6,12.4,12.4,48174.0,37.0
