date,open,high,low,close,volume,trade
01/01/2018,70.0,76.7,70.0,74.4,2499.0,0.0
01/02/2018,75.7,77.9,75.7,76.0,1930.0,0.0
01/03/2018,75.5,75.7,73.5,73.7,4690.0,0.0
01/04/2018,74.9,75.9,73.0,74.0,4369.0,0.0
01/07/2018,74.5,75.5,71.5,72.1,7063.0,0.0
01/08/2018,71.3,72.0,70.1,70.3,9923.0,0.0
01/09/2018,72.9,73.6,70.9,71.9,5219.0,0.0
01/10/2018,72.1,74.9,72.1,74.2,9443.0,0.0
01/11/2018,75.3,77.9,74.7,76.1,11421.0,0.0
01/14/2018,74.2,76.0,73.3,73.8,4760.0,0.0
01/15/2018,72.7,74.7,70.5,71.8,4877.0,0.0
01/16/2018,74.0,74.2,69.0,70.0,11950.0,0.0
01/17/2018,71.1,71.1,68.0,70.0,8765.0,0.0
01/18/2018,70.0,71.0,66.0,69.1,13806.0,0.0
01/21/2018,70.0,72.2,70.0,72.0,9873.0,0.0
01/22/2018,73.0,75.0,73.0,73.6,8780.0,0.0
01/23/2018,74.0,74.0,71.1,71.8,10294.0,0.0
01/24/2018,71.8,73.0,69.9,70.6,6786.0,0.0
01/25/2018,72.9,73.1,72.2,72.9,11649.0,0.0
01/28/2018,72.9,73.0,72.4,72.9,6236.0,0.0
01/29/2018,68.6,70.1,68.0,69.6,6551.0,0.0
01/30/2018,72.0,72.0,70.0,70.2,6740.0,0.0
01/31/2018,70.5,70.7,70.5,70.7,518.0,0.0
02/01/2018,72.1,73.8,72.0,73.5,25327.0,0.0
02/04/2018,73.3,74.8,72.0,72.1,6592.0,0.0
02/05/2018,67.0,72.0,67.0,69.9,3076.0,0.0
02/06/2018,69.6,71.7,69.0,69.6,5341.0,0.0
02/07/2018,66.1,71.7,66.1,69.6,2741.0,0.0
02/08/2018,70.9,70.9,67.7,68.3,6852.0,0.0
02/11/2018,68.1,70.0,68.0,69.1,7546.0,0.0
02/12/2018,70.5,72.0,69.0,71.5,18779.0,0.0
02/13/2018,75.7,77.8,73.8,75.4,23064.0,0.0
02/14/2018,78.0,78.0,74.5,74.6,7848.0,0.0
02/15/2018,73.1,73.3,71.1,72.1,7745.0,0.0
02/18/2018,72.1,72.1,68.5,69.7,10887.0,0.0
02/19/2018,69.7,70.0,67.0,68.5,9334.0,0.0
02/20/2018,69.0,70.8,68.1,69.9,13255.0,0.0
02/22/2018,71.8,71.8,66.6,68.9,7040.0,0.0
02/25/2018,68.7,69.4,67.0,68.0,8106.0,0.0
02/26/2018,68.4,68.4,67.6,67.8,5523.0,0.0
02/27/2018,67.1,69.4,67.1,68.6,13816.0,0.0
02/28/2018,70.8,70.8,69.2,69.6,6615.0,0.0
03/01/2018,71.8,72.6,69.6,70.0,17740.0,0.0
03/04/2018,71.4,71.4,69.0,69.9,5720.0,0.0
03/05/2018,68.7,70.0,67.1,67.4,4881.0,0.0
03/06/2018,71.8,71.8,67.4,67.8,6650.0,0.0
03/07/2018,69.8,69.8,67.0,67.2,6332.0,0.0
03/08/2018,68.5,69.3,66.3,67.4,3650.0,0.0
03/11/2018,67.5,68.0,66.7,66.9,7194.0,0.0
03/12/2018,65.1,66.6,63.6,64.4,3655.0,0.0
03/13/2018,63.0,64.0,60.4,61.1,2307.0,0.0
03/14/2018,62.0,64.5,62.0,63.4,5125.0,0.0
03/15/2018,65.0,66.6,64.0,66.0,3734.0,0.0
03/18/2018,66.2,66.2,63.4,63.6,5620.0,0.0
03/19/2018,62.0,62.1,60.2,61.1,7614.0,0.0
03/20/2018,61.0,62.8,60.0,62.4,1350.0,0.0
03/21/2018,62.0,64.0,61.9,62.2,5276.0,0.0
03/22/2018,60.4,61.9,60.0,60.4,3263.0,0.0
03/25/2018,59.5,60.8,57.0,58.1,1153.0,0.0
03/27/2018,56.2,56.2,55.5,56.0,1802.0,0.0
03/28/2018,60.0,60.0,53.4,53.7,17713.0,0.0
03/29/2018,53.0,54.4,53.0,53.1,11335.0,0.0
04/01/2018,53.6,57.6,53.5,55.1,6151.0,0.0
04/02/2018,56.0,59.9,56.0,58.4,9116.0,0.0
04/03/2018,59.0,62.8,59.0,61.1,7432.0,0.0
04/04/2018,62.8,64.0,61.0,61.8,8982.0,0.0
04/05/2018,62.7,62.7,60.3,60.5,4187.0,0.0
04/08/2018,60.0,61.0,57.3,59.2,10154.0,0.0
04/09/2018,61.2,61.2,58.2,58.3,1103.0,0.0
04/10/2018,60.0,60.0,56.0,56.5,8214.0,0.0
04/11/2018,58.4,60.4,57.6,59.5,4953.0,0.0
04/12/2018,58.0,60.0,58.0,58.3,1141.0,12.0
04/15/2018,58.5,58.7,57.0,57.7,527.0,12.0
04/16/2018,59.8,59.8,55.4,55.5,3386.0,33.0
04/17/2018,57.0,58.5,55.7,55.9,155.0,4.0
04/18/2018,59.4,59.4,56.8,58.4,939.0,10.0
04/19/2018,59.9,60.0,59.0,59.6,8553.0,74.0
04/22/2018,62.0,62.2,60.0,60.5,7860.0,67.0
04/23/2018,63.0,63.0,61.2,61.8,6641.0,67.0
04/24/2018,62.2,62.2,59.2,60.1,4945.0,37.0
04/25/2018,60.1,63.2,58.0,58.9,1580.0,6.0
04/26/2018,61.2,61.2,58.4,58.7,1916.0,23.0
04/30/2018,57.2,57.2,56.0,56.4,3355.0,19.0
05/03/2018,56.9,56.9,53.0,53.1,6436.0,88.0
05/06/2018,54.6,58.4,54.5,57.4,10994.0,66.0
05/07/2018,59.1,59.1,55.0,57.7,6040.0,30.0
05/08/2018,56.2,56.2,55.4,55.7,4140.0,34.0
05/09/2018,55.6,58.0,55.4,57.0,5940.0,42.0
05/10/2018,57.1,58.0,55.1,55.4,3170.0,40.0
05/13/2018,56.0,58.1,54.4,55.5,1561.0,13.0
05/14/2018,55.6,56.7,55.5,55.7,5745.0,24.0
05/15/2018,57.9,57.9,55.0,55.4,7490.0,18.0
05/16/2018,55.7,57.6,54.0,55.8,11284.0,66.0
05/17/2018,56.0,58.1,55.0,55.0,25291.0,0.0
05/20/2018,56.0,57.6,55.0,55.1,8590.0,0.0
05/21/2018,55.5,55.5,55.1,55.3,1500.0,0.0
05/22/2018,55.3,55.3,51.6,51.7,1020.0,0.0
05/23/2018,51.7,55.4,48.6,50.4,9365.0,0.0
05/24/2018,48.0,49.3,46.6,47.0,13842.0,0.0
